Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Doupo Cangqiong: San Nian Zhi Yue,Fights Break Sphere: Three Year Agreement,8.56,7289,102,7,ONA,13,Finished Airing,"Oct 31, 2021 to Jan 16, 2022",Tencent Penguin Pictures,"None found, add some",Motion Magic,Novel,"Action, Fantasy",Martial Arts,24 min. per ep.,PG-13 - Teens 13 or older,184,,,
Shingeki no Kyojin,Attack on Titan,8.55,1,105,3,TV,25,Finished Airing,"Apr 7, 2013 to Sep 29, 2013","Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"Action, Award Winning, Drama, Suspense","Gore, Military, Survival",24 min. per ep.,R - 17+ (violence & profanity),"172,623",Spring 2013,Sundays at 01:58 (JST),Shounen
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Neon Genesis Evangelion: The End of Evangelion,8.55,174,106,938,Movie,1,Finished Airing,"Jul 19, 1997","TV Tokyo,       Toei Animation,       Kadokawa Shoten,       Movic,       Sega,       TV Tokyo Music,       King Records,       Audio Tanaka",GKIDS,"Gainax,       Production I.G",Original,"Action, Avant Garde, Drama, Sci-Fi, Suspense","Mecha, Psychological",1 hr. 26 min.,R+ - Mild Nudity,"29,247",,,
Natsume Yuujinchou Go,Natsume's Book of Friends Season 5,8.56,1285,103,187,TV,11,Finished Airing,"Oct 5, 2016 to Dec 21, 2016","TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha","None found, add some",Shuka,Manga,"Slice of Life, Supernatural","Iyashikei, Mythology",23 min. per ep.,PG-13 - Teens 13 or older,834,Fall 2016,Wednesdays at 01:35 (JST),Shoujo
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,JoJo's Bizarre Adventure: Golden Wind,8.57,152,101,1,TV,39,Finished Airing,"Oct 6, 2018 to Jul 28, 2019",Warner Bros. Japan,VIZ Media,David Production,Manga,"Action, Adventure, Supernatural",Organized Crime,23 min. per ep.,R - 17+ (violence & profanity),"32,043",Fall 2018,Saturdays at 01:05 (JST),Shounen
Shouwa Genroku Rakugo Shinjuu,Showa Genroku Rakugo Shinju,8.56,839,104,293,TV,13,Finished Airing,"Jan 9, 2016 to Apr 2, 2016","Starchild Records,       Mainichi Broadcasting System,       Kodansha,       DAX Production","None found, add some",Studio Deen,Manga,Drama,"Historical, Love Polygon, Performing Arts",26 min. per ep.,PG-13 - Teens 13 or older,"5,841",Winter 2016,Saturdays at 02:25 (JST),Josei
Yojouhan Shinwa Taikei,The Tatami Galaxy,8.55,502,107,453,TV,11,Finished Airing,"Apr 23, 2010 to Jul 2, 2010","Dentsu,       Kadokawa Shoten,       Fuji TV,       TOHO,       Asmik Ace,       Tohokushinsha Film Corporation,       Sony Music Entertainment,       Fujipacific Music",Funimation,Madhouse,Novel,"Award Winning, Comedy, Mystery, Romance, Suspense","Adult Cast, Psychological, Time Travel",22 min. per ep.,R - 17+ (violence & profanity),"18,263",Spring 2010,Fridays at 00:45 (JST),
Fate/Zero 2nd Season,Fate/Zero Season 2,8.55,132,108,1,TV,12,Finished Airing,"Apr 8, 2012 to Jun 24, 2012","Aniplex,       Nitroplus,       Seikaisha,       Notes",Aniplex of America,ufotable,Light novel,"Action, Fantasy, Supernatural",,24 min. per ep.,R - 17+ (violence & profanity),"20,399",Spring 2012,Sundays at 00:00 (JST),
Haikyuu!! To the Top Part 2,Haikyu!! To the Top 2nd-cour,8.55,224,109,822,TV,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020","Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha",Sentai Filmworks,Production I.G,Manga,Sports,"School, Team Sports",23 min. per ep.,PG-13 - Teens 13 or older,"6,188",Fall 2020,Saturdays at 02:25 (JST),Shounen
Nana,,8.55,306,112,675,TV,47,Finished Airing,"Apr 5, 2006 to Mar 28, 2007","VAP,       Nippon Television Network,       Shueisha","VIZ Media,       Sentai Filmworks",Madhouse,Manga,"Drama, Romance","Adult Cast, Love Polygon, Music",22 min. per ep.,R+ - Mild Nudity,"30,380",Spring 2006,Wednesdays at 23:25 (JST),Shoujo
