Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
"Haikyuu!! vs. ""Akaten""",,7.77,2170,1051,94,OVA,1,Finished Airing,"May 2, 2016","None found, add some","None found, add some",Production I.G,Manga,Sports,"School, Team Sports",Shounen,21 min.,PG-13 - Teens 13 or older,82,,
Hoozuki no Reitetsu,Hozuki's Coolheadedness,7.77,1714,1053,132,TV,13,Finished Airing,"Jan 10, 2014 to Apr 4, 2014","Starchild Records,       Mainichi Broadcasting System,       Kodansha",Sentai Filmworks,Wit Studio,Manga,"Comedy, Fantasy",Mythology,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,"1,306",Winter 2014,Fridays at 01:35 (JST)
Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),The Garden of Sinners Chapter 2: A Study in Murder - Part 1,7.77,1007,1054,242,Movie,1,Finished Airing,"Dec 29, 2007",Notes,Aniplex of America,ufotable,Light novel,"Action, Mystery, Romance, Supernatural, Suspense",,,1 hr.,R - 17+ (violence & profanity),469,,
Hidamari Sketch x SP,,7.77,5409,1052,15,TV Special,2,Finished Airing,"Oct 30, 2011 to Nov 6, 2011","Aniplex,       Lantis,       TBS,       Movic,       Houbunsha",Sentai Filmworks,Shaft,4-koma manga,Slice of Life,"CGDCT, Iyashikei, School, Visual Arts",,24 min. per ep.,PG-13 - Teens 13 or older,13,,
Hadashi no Gen,Barefoot Gen,7.77,2994,1050,54,Movie,1,Finished Airing,"Jul 21, 1983","RCC Chugoku Broadcasting,       Streamline Pictures","Discotek Media,       Geneon Entertainment USA",Madhouse,Manga,"Award Winning, Drama",Historical,Shounen,1 hr. 23 min.,PG-13 - Teens 13 or older,170,,
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,7.77,4967,1055,19,TV,373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004","Asatsu DK,       Fuji TV","None found, add some",Gallop,Manga,Comedy,"Adult Cast, Detective, Gag Humor",Shounen,25 min. per ep.,PG-13 - Teens 13 or older,189,Summer 1996,Sundays at 19:00 (JST)
Lupin III: Part II,,7.77,3769,1056,35,TV,155,Finished Airing,"Oct 3, 1977 to Oct 6, 1980","VAP,       Animax,       Studio Jack","Discotek Media,       Geneon Entertainment USA,       Streamline Pictures",Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,Seinen,25 min. per ep.,PG-13 - Teens 13 or older,373,Fall 1977,Mondays at 19:00 (JST)
Seitokai Yakuindomo Movie 2,,7.77,3922,1060,32,Movie,1,Finished Airing,"Jan 1, 2021","Glovision,       King Records",Sentai Filmworks,GoHands,4-koma manga,Comedy,"Gag Humor, School",Shounen,1 hr. 18 min.,R - 17+ (violence & profanity),51,,
Magic Kaito,,7.77,2532,1058,73,TV Special,12,Finished Airing,"Apr 17, 2010 to Dec 29, 2012","None found, add some","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Romance",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,354,,
Shingeki no Kyojin: Chronicle,Attack on Titan: Chronicle,7.77,2268,1061,88,Movie,1,Finished Airing,"Jul 17, 2020","Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises","None found, add some",Wit Studio,Manga,"Action, Drama, Suspense","Gore, Military, Survival",Shounen,2 hr.,R - 17+ (violence & profanity),232,,
