Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Chi's Sweet Home: Atarashii Ouchi,Chi's New Address,7.71,4049,1205,30,TV,104,Finished Airing,"Mar 30, 2009 to Sep 24, 2009",Spring 2009,Not scheduled once per week,"None found, add some",Discotek Media,Madhouse,Manga,"Comedy, Slice of Life",Pets,Seinen,3 min. per ep.,G - All Ages,111
Arakawa Under the Bridge x Bridge,,7.71,1430,1201,165,TV,13,Finished Airing,"Oct 4, 2010 to Dec 27, 2010",Fall 2010,Mondays at 01:35 (JST),"Square Enix,       Starchild Records,       TV Tokyo Music,       GANSIS","NIS America, Inc.",Shaft,Manga,"Comedy, Romance",,Seinen,23 min. per ep.,PG-13 - Teens 13 or older,420
Bishoujo Senshi Sailor Moon Cosmos Movie,Pretty Guardians Sailor Moon Cosmos the Movie,7.71,6192,1203,10,Movie,2,Finished Airing,"Jun 9, 2023 to Jun 30, 2023",,,"None found, add some","None found, add some","Toei Animation,       Studio Deen",Manga,Fantasy,Mahou Shoujo,Shoujo,1 hr. 20 min. per ep.,PG-13 - Teens 13 or older,82
Daicon Opening Animations,,7.71,4755,1206,21,Special,2,Finished Airing,"Aug 22, 1981 to Aug 20, 1983",,,"None found, add some","None found, add some",Gainax,Other,"Action, Adventure, Sci-Fi","Mecha, Music, Otaku Culture",,5 min. per ep.,PG - Children,194
Berserk: Ougon Jidai-hen I - Haou no Tamago,Berserk: The Golden Age Arc I - The Egg of the King,7.71,1064,1202,230,Movie,1,Finished Airing,"Feb 4, 2012",,,"VAP,       Hakusensha,       Movic,       Yahoo! Japan,       Lucent Pictures Entertainment,       Good Smile Company,       Beyond C.,       KDDI",VIZ Media,Studio 4°C,Manga,"Action, Adventure, Drama, Fantasy, Horror","Gore, Military",Seinen,1 hr. 16 min.,R+ - Mild Nudity,999
Break Blade Movie 2: Ketsubetsu no Michi,Broken Blade 2,7.71,2800,1204,62,Movie,1,Finished Airing,"Jun 26, 2010",,,"KlockWorx,       Flex Comix,       Fields",Sentai Filmworks,"Production I.G,       Xebec",Manga,"Action, Fantasy","Adult Cast, Mecha, Military",Shounen,51 min.,R - 17+ (violence & profanity),24
Death Note: Rewrite,Death Note: Relight,7.71,1175,1207,207,TV Special,2,Finished Airing,"Aug 31, 2007 to Aug 22, 2008",,,Shueisha,VIZ Media,Madhouse,Manga,"Supernatural, Suspense",Psychological,Shounen,1 hr. 52 min. per ep.,R - 17+ (violence & profanity),718
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",GATE Part 2,7.71,396,1209,557,TV,12,Finished Airing,"Jan 9, 2016 to Mar 26, 2016",Winter 2016,Saturdays at 01:05 (JST),"Genco,       Warner Bros. Japan,       KlockWorx,       Showgate,       Bandai Namco Games",Sentai Filmworks,A-1 Pictures,Light novel,"Action, Adventure, Fantasy","Isekai, Military",,23 min. per ep.,R - 17+ (violence & profanity),"1,893"
Enen no Shouboutai,Fire Force,7.71,98,1208,1,TV,24,Finished Airing,"Jul 6, 2019 to Dec 28, 2019",Summer 2019,Saturdays at 01:25 (JST),"Mainichi Broadcasting System,       Kodansha,       bilibili,       DMM pictures,       DMM Music",Funimation,David Production,Manga,"Action, Fantasy, Sci-Fi",Super Power,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"9,531"
Jinrui wa Suitai Shimashita,Humanity Has Declined,7.71,1259,1210,191,TV,12,Finished Airing,"Jul 2, 2012 to Sep 17, 2012",Summer 2012,Unknown,"AIC,       Sotsu,       Lantis,       Pony Canyon,       Movic,       Marvelous AQL",Sentai Filmworks,AIC ASTA,Light novel,"Adventure, Comedy, Fantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"1,933"
Joshikousei no Mudazukai,Wasteful Days of High School Girls,7.71,1797,1211,123,TV,12,Finished Airing,"Jul 5, 2019 to Sep 20, 2019",Summer 2019,Fridays at 21:30 (JST),"AT-X,       Kadokawa Media House,       Kadokawa",Sentai Filmworks,Passione,Web manga,Comedy,"CGDCT, Gag Humor, School",,24 min. per ep.,PG-13 - Teens 13 or older,701
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai","Miss Kobayashi's Dragon Maid: Valentine's, and Then Hot Springs! (Please Don't Get Your Hopes Up)",7.71,1126,1212,217,Special,1,Finished Airing,"Sep 20, 2017",,,"None found, add some",Funimation,Kyoto Animation,Manga,"Fantasy, Slice of Life",,,23 min.,PG-13 - Teens 13 or older,267
Kuroko no Basket 2nd Season NG-shuu,,7.71,2701,1213,66,Special,9,Finished Airing,"Jan 29, 2014 to Sep 24, 2014",,,"None found, add some","None found, add some",Production I.G,Manga,"Comedy, Sports",Team Sports,,2 min. per ep.,PG-13 - Teens 13 or older,125
Noragami OVA,,7.71,740,1215,326,OVA,2,Finished Airing,"Feb 17, 2014 to Jul 17, 2014",,,"Avex Entertainment,       Ai Addiction","None found, add some",Bones,Manga,"Comedy, Fantasy","Mythology, School",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,393
Ojamajo Doremi Dokkaan!,,7.71,5110,1216,17,TV,51,Finished Airing,"Feb 3, 2002 to Jan 26, 2003",Winter 2002,Unknown,Asahi Broadcasting,"None found, add some",Toei Animation,Original,"Comedy, Fantasy",Mahou Shoujo,,24 min. per ep.,G - All Ages,284
Macross Plus,,7.71,3168,1214,49,OVA,4,Finished Airing,"Aug 25, 1994 to Jun 25, 1995",,,"Bandai Visual,       Shogakukan-Shueisha Productions,       Mainichi Broadcasting System,       Studio Nue,       Big West",Manga Entertainment,Triangle Staff,Original,"Action, Drama, Romance, Sci-Fi","Adult Cast, Mecha, Military, Space",,39 min. per ep.,R - 17+ (violence & profanity),447
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,"One Piece: Episode of Sabo - Bond of Three Brothers, A Miraculous Reunion and an Inherited Will",7.71,3510,1217,41,TV Special,1,Finished Airing,"Aug 22, 2015",,,Fuji TV,Funimation,Toei Animation,Manga,"Action, Adventure, Fantasy",,Shounen,1 hr. 46 min.,PG-13 - Teens 13 or older,32
Princess Principal: Crown Handler Movie 2,Princess Principal: Crown Handler - Chapter 2,7.71,5257,1218,16,Movie,1,Finished Airing,"Sep 23, 2021",,,"None found, add some",Sentai Filmworks,Actas,Original,"Action, Mystery",Historical,,55 min.,R - 17+ (violence & profanity),32
Tenshi no Tamago,Angel's Egg,7.71,1510,1220,155,OVA,1,Finished Airing,"Dec 22, 1985",,,Tokuma Shoten,"Anchor Bay Films,       GKIDS",Studio Deen,Original,"Avant Garde, Drama, Fantasy",,,1 hr. 11 min.,PG-13 - Teens 13 or older,"3,511"
School Rumble: Ichi Gakki Hoshuu,School Rumble: Extra Class,7.71,2855,1219,60,OVA,2,Finished Airing,"Dec 22, 2005",,,Studio Jack,Funimation,Studio Comet,Manga,"Comedy, Romance",School,Shounen,25 min. per ep.,PG-13 - Teens 13 or older,106
Tetsuwan Birdy Decode:02,Birdy the Mighty: Decode 02,7.71,3058,1221,52,TV,12,Finished Airing,"Jan 10, 2009 to Mar 28, 2009",Winter 2009,Saturdays at 02:10 (JST),"Aniplex,       Shogakukan",Funimation,A-1 Pictures,Manga,"Action, Comedy, Sci-Fi",,Seinen,23 min. per ep.,R - 17+ (violence & profanity),261
Tsuki ga Michibiku Isekai Douchuu,Tsukimichi: Moonlit Fantasy,7.71,510,1222,445,TV,12,Finished Airing,"Jul 7, 2021 to Sep 22, 2021",Summer 2021,Wednesdays at 23:00 (JST),"Mainichi Broadcasting System,       Nippon Television Network,       Tokyo MX,       Medicos Entertainment,       Nichion,       A-Sketch,       DMM pictures,       BS NTV,       AQUA ARIS,       NetEase,       AlphaPolis","None found, add some",C2C,Light novel,"Action, Adventure, Comedy, Fantasy",Isekai,,23 min. per ep.,PG-13 - Teens 13 or older,"4,118"
Urusei Yatsura,,7.71,2248,1223,90,TV,195,Finished Airing,"Oct 14, 1981 to Mar 19, 1986",Fall 1981,Wednesdays at 19:30 (JST),"Kitty Films,       Fuji TV,       Shogakukan","AnimEigo,       Discotek Media","Pierrot,       Studio Deen",Manga,"Comedy, Romance, Sci-Fi",,Shounen,25 min. per ep.,PG-13 - Teens 13 or older,"1,230"
The iDOLM@STER Cinderella Girls: U149,,7.70,5408,1224,15,TV,12,Finished Airing,"Apr 6, 2023 to Jun 29, 2023",Spring 2023,Thursdays at 00:00 (JST),"Nippon Columbia,       Bandai Namco Entertainment,       Cygames","None found, add some",CygamesPictures,Web manga,,"Idols (Female), Music",,24 min. per ep.,PG-13 - Teens 13 or older,155
Xingchen Bian 5th Season,Legend of Immortals 5th Season,7.70,11774,1226,1,ONA,28,Finished Airing,"Dec 26, 2022 to Jul 31, 2023",,,Tencent Penguin Pictures,"None found, add some",Foch Films,Web novel,"Action, Adventure, Fantasy, Romance",Martial Arts,,25 min. per ep.,PG-13 - Teens 13 or older,28
Uramichi Oniisan,Life Lessons with Uramichi-Oniisan,7.70,1037,1225,235,TV,13,Finished Airing,"Jul 6, 2021 to Sep 28, 2021",Summer 2021,Tuesdays at 01:30 (JST),"WOWOW,       Movic,       KlockWorx,       King Records,       Ichijinsha,       Marui Group,       Bit grooove promotion",Funimation,Studio Blanc.,Web manga,Comedy,"Adult Cast, Gag Humor, Showbiz, Workplace",,23 min. per ep.,PG-13 - Teens 13 or older,"2,382"
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",My Teen Romantic Comedy SNAFU Climax! OVA,7.70,1962,1227,110,OVA,1,Finished Airing,"Apr 27, 2023",,,"Marvelous Entertainment,       TBS,       Movic,       NBCUniversal Entertainment Japan","None found, add some",feel.,Light novel,"Comedy, Romance","Love Polygon, School",,23 min.,PG-13 - Teens 13 or older,543
