Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Mo Dao Zu Shi Q,The Founder of Diabolism Q,8.18,4474,405,24,ONA,30,Finished Airing,"Jul 31, 2020 to Jan 29, 2021",Tencent Penguin Pictures,"None found, add some",B.CMAY PICTURES,Web novel,"Comedy, Fantasy","Historical, Mythology, Reincarnation",5 min. per ep.,PG-13 - Teens 13 or older,235,,,
Kotarou wa Hitorigurashi,Kotaro Lives Alone,8.18,1507,403,156,ONA,10,Finished Airing,"Mar 10, 2022","None found, add some","None found, add some",LIDENFILMS,Manga,Slice of Life,Childcare,26 min. per ep.,PG-13 - Teens 13 or older,"2,046",Seinen,,
No Game No Life: Zero,"No Game, No Life: Zero",8.18,200,406,874,Movie,1,Finished Airing,"Jul 15, 2017","Frontier Works,       Movic,       AT-X,       Kadokawa",Sentai Filmworks,Madhouse,Light novel,"Drama, Fantasy, Romance",Isekai,1 hr. 46 min.,PG-13 - Teens 13 or older,"7,748",,,
Horimiya: Piece,Horimiya: The Missing Pieces,8.18,746,401,324,TV,13,Finished Airing,"Jul 1, 2023 to Sep 23, 2023","Aniplex,       Square Enix,       Mainichi Broadcasting System,       Movic,       Kanetsu Investment,       Global Solutions,       Mirai-Kojo","None found, add some",CloverWorks,Manga,Romance,School,23 min. per ep.,PG-13 - Teens 13 or older,"2,653",Shounen,Summer 2023,Saturdays at 23:30 (JST)
Little Busters! Refrain,Little Busters! ~Refrain~,8.18,1415,404,167,TV,13,Finished Airing,"Oct 5, 2013 to Dec 28, 2013","Warner Bros. Japan,       Showgate",Sentai Filmworks,J.C.Staff,Visual novel,"Comedy, Drama, Romance, Supernatural",School,24 min. per ep.,PG-13 - Teens 13 or older,"2,107",,Fall 2013,Unknown
Hunter x Hunter: Greed Island,,8.18,1491,402,157,OVA,8,Finished Airing,"Feb 5, 2003 to Apr 16, 2003","None found, add some","None found, add some",Nippon Animation,Manga,"Action, Adventure, Fantasy",,22 min. per ep.,PG-13 - Teens 13 or older,296,Shounen,,
Non Non Biyori Repeat,,8.18,1200,407,201,TV,12,Finished Airing,"Jul 7, 2015 to Sep 22, 2015","TV Tokyo,       Lantis",Sentai Filmworks,SILVER LINK.,Manga,Slice of Life,"CGDCT, Iyashikei, School",23 min. per ep.,PG-13 - Teens 13 or older,"1,275",Seinen,Summer 2015,Tuesdays at 02:05 (JST)
Spy x Family Movie: Code: White,Spy x Family Code: White,8.18,1785,408,125,Movie,1,Finished Airing,"Dec 22, 2023","TOHO animation,       Shueisha","None found, add some","Wit Studio,       CloverWorks",Manga,"Action, Comedy",Childcare,1 hr. 50 min.,PG-13 - Teens 13 or older,459,Shounen,,
Yojouhan Time Machine Blues,The Tatami Time Machine Blues,8.18,3427,410,42,ONA,6,Finished Airing,"Sep 14, 2022 to Oct 12, 2022","Fuji TV,       Kadokawa","None found, add some",Science SARU,Novel,"Comedy, Mystery, Romance, Suspense","Adult Cast, Psychological, Time Travel",20 min. per ep.,PG-13 - Teens 13 or older,282,,,
Stand By Me Doraemon 2,,8.18,4459,409,24,Movie,1,Finished Airing,"Nov 20, 2020","Dentsu,       TV Asahi,       TOHO,       Shueisha,       Nagoya Broadcasting Network,       Asahi Broadcasting,       Shogakukan,       Abe Shuuji Jimusho,       Shizuoka Asahi Television","None found, add some","Shirogumi,       Shin-Ei Animation",Manga,"Comedy, Sci-Fi",Time Travel,1 hr. 35 min.,PG - Children,127,Kids,,
Yoru wa Mijikashi Arukeyo Otome,"Night Is Short, Walk on Girl",8.18,1755,412,127,Movie,1,Finished Airing,"Apr 7, 2017","Fuji TV,       TOHO,       BS Fuji,       Kadokawa",GKIDS,Science SARU,Novel,"Comedy, Romance",Adult Cast,1 hr. 32 min.,R+ - Mild Nudity,"1,718",,,
Yoru no Kurage wa Oyogenai,Jellyfish Can't Swim in the Night,8.18,2384,411,81,TV,12,Currently Airing,"Apr 7, 2024 to Jun 23, 2024","Movic,       KlockWorx,       Asmik Ace,       Tohokushinsha Film Corporation,       King Records,       Kansai Telecasting,       BS11","None found, add some",Doga Kobo,Original,,Music,23 min. per ep.,PG-13 - Teens 13 or older,522,,Spring 2024,Sundays at 01:00 (JST)
Yuukoku no Moriarty,Moriarty the Patriot,8.17,531,413,432,TV,11,Finished Airing,"Oct 11, 2020 to Dec 20, 2020","Mainichi Broadcasting System,       Shueisha,       Yomiuri TV Enterprise,       Bandai Namco Arts,       Bandai Spirits",Funimation,Production I.G,Manga,"Mystery, Suspense","Adult Cast, Historical, Organized Crime, Psychological",23 min. per ep.,R - 17+ (violence & profanity),"7,399",Shounen,Fall 2020,Sundays at 23:53 (JST)
Aria the Natural,,8.17,2414,414,79,TV,26,Finished Airing,"Apr 3, 2006 to Sep 25, 2006","Production I.G,       TV Tokyo,       Shochiku,       Mag Garden",Nozomi Entertainment,HAL Film Maker,Manga,"Fantasy, Sci-Fi, Slice of Life",Iyashikei,24 min. per ep.,G - All Ages,808,Shounen,Spring 2006,Mondays at 01:00 (JST)
Cardcaptor Sakura,,8.17,517,416,440,TV,70,Finished Airing,"Apr 7, 1998 to Mar 21, 2000","NHK,       Kodansha,       Sogo Vision","Nelvana,       NIS America, Inc.,       Geneon Entertainment USA",Madhouse,Manga,"Adventure, Comedy, Drama, Fantasy, Romance","Mahou Shoujo, School",25 min. per ep.,PG - Children,"13,554",Shoujo,Spring 1998,Tuesdays at 18:00 (JST)
Black Lagoon: The Second Barrage,,8.17,428,415,521,TV,12,Finished Airing,"Oct 3, 2006 to Dec 19, 2006","Shogakukan-Shueisha Productions,       Geneon Entertainment","Funimation,       Geneon Entertainment USA",Madhouse,Manga,Action,"Adult Cast, Organized Crime",23 min. per ep.,R - 17+ (violence & profanity),"3,153",Seinen,Fall 2006,Tuesdays at 01:59 (JST)
Digimon Adventure: Last Evolution Kizuna,,8.17,3324,417,45,Movie,1,Finished Airing,"Feb 21, 2020",Toei Animation,"None found, add some",Yumeta Company,Original,"Action, Adventure, Comedy, Drama",,1 hr. 34 min.,PG-13 - Teens 13 or older,318,,,
Dr. Stone: Ryuusui,Dr. Stone: Ryusui,8.17,836,418,295,TV Special,1,Finished Airing,"Jul 10, 2022","TOHO animation,       Shueisha","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Sci-Fi",,54 min.,PG-13 - Teens 13 or older,804,Shounen,,
Girls & Panzer: Saishuushou Part 3,Girls und Panzer das Finale – Part 3,8.17,4209,420,28,Movie,1,Finished Airing,"Mar 26, 2021","Bandai Visual,       Lantis,       Movic,       Q-Tec,       Hakuhodo DY Music & Pictures",Sentai Filmworks,Actas,Original,,"CGDCT, Military, School",48 min.,PG-13 - Teens 13 or older,113,,,
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,Legend of the Galactic Heroes: Die Neue These - Stellar War Part 2,8.17,4379,419,25,Movie,4,Finished Airing,"Oct 25, 2019",Shochiku,"None found, add some",Production I.G,Novel,"Drama, Sci-Fi","Adult Cast, Military, Space",25 min. per ep.,R - 17+ (violence & profanity),51,,,
Girls Band Cry,,8.17,3280,421,46,TV,13,Currently Airing,"Apr 6, 2024 to ?",agehasprings,"None found, add some",Toei Animation,Original,,Music,23 min. per ep.,PG-13 - Teens 13 or older,492,,Spring 2024,Saturdays at 00:30 (JST)
Higurashi no Naku Koro ni Kai,Higurashi: When They Cry – Kai,8.17,471,422,481,TV,24,Finished Airing,"Jul 6, 2007 to Dec 18, 2007","Frontier Works,       Sotsu,       Movic",Sentai Filmworks,Studio Deen,Visual novel,"Horror, Mystery, Supernatural, Suspense","Gore, Psychological",24 min. per ep.,R - 17+ (violence & profanity),"7,403",,Summer 2007,Fridays at 02:30 (JST)
Initial D Fourth Stage,,8.17,1271,423,189,TV,24,Finished Airing,"Apr 17, 2004 to Feb 18, 2006","OB Planning,       Studio Jack",Funimation,A.C.G.T.,Manga,"Action, Drama",Racing,27 min. per ep.,PG-13 - Teens 13 or older,"1,325",Seinen,Spring 2004,Unknown
Initial D Second Stage,,8.17,1094,424,222,TV,13,Finished Airing,"Oct 15, 1999 to Jan 21, 2000","OB Planning,       Fuji TV","Funimation,       Tokyopop",Pastel,Manga,"Action, Drama",Racing,23 min. per ep.,PG-13 - Teens 13 or older,"1,090",Seinen,Fall 1999,Fridays at 01:55 (JST)
Lycoris Recoil,,8.17,452,426,496,TV,13,Finished Airing,"Jul 2, 2022 to Sep 24, 2022","Aniplex,       BS11,       ABC Animation",Aniplex of America,A-1 Pictures,Original,Action,,24 min. per ep.,PG-13 - Teens 13 or older,"8,517",,Summer 2022,Saturdays at 23:30 (JST)
