Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Little Witch Academia (TV),Little Witch Academia,7.81,330,954,649,TV,25,Finished Airing,"Jan 9, 2017 to Jun 26, 2017",Winter 2017,Mondays at 00:00 (JST),"Ultra Super Pictures,       TOHO animation,       Good Smile Company","None found, add some",Trigger,Original,"Adventure, Comedy, Fantasy",School,24 min. per ep.,G - All Ages,"7,665",
Mairimashita! Iruma-kun 3rd Season,Welcome to Demon School! Iruma-kun Season 3,7.81,1252,956,192,TV,21,Finished Airing,"Oct 8, 2022 to Mar 4, 2023",Fall 2022,Saturdays at 18:25 (JST),"NHK,       NHK Enterprises","None found, add some",Bandai Namco Pictures,Manga,"Comedy, Fantasy","Isekai, School",24 min. per ep.,PG-13 - Teens 13 or older,"1,260",Shounen
Shanhe Jian Xin,Thousand Autumns,7.82,6367,951,10,ONA,16,Finished Airing,"Feb 8, 2021 to Mar 15, 2021",,,"Tencent Penguin Pictures,       Bytehoo","None found, add some",Motion Magic,Novel,"Action, Fantasy","Historical, Martial Arts",25 min. per ep.,PG-13 - Teens 13 or older,186,
Lupin III: The First,,7.81,3895,955,33,Movie,1,Finished Airing,"Dec 6, 2019",,,"TOHO,       HOTZIPANG,       Abe Shuuji Jimusho",GKIDS,"TMS Entertainment,       Marza Animation Planet",Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,1 hr. 32 min.,PG-13 - Teens 13 or older,170,Seinen
Jungle wa Itsumo Hare nochi Guu,Haré+Guu,7.81,3802,952,34,TV,26,Finished Airing,"Apr 3, 2001 to Sep 25, 2001",Spring 2001,Tuesdays at 18:00 (JST),"Bandai Visual,       Sotsu","Funimation,       AN Entertainment",Shin-Ei Animation,Manga,"Comedy, Slice of Life","Gag Humor, School",23 min. per ep.,PG-13 - Teens 13 or older,420,Shounen
Kokoro ga Sakebitagatterunda.,The Anthem of the Heart,7.81,718,953,333,Movie,1,Finished Airing,"Sep 19, 2015",,,"Aniplex,       Dentsu,       Fuji TV,       Lawson HMV Entertainment,       Shogakukan",Aniplex of America,A-1 Pictures,Original,"Drama, Romance","Performing Arts, School",1 hr. 59 min.,PG-13 - Teens 13 or older,"1,932",
New Initial D Movie: Legend 2 - Tousou,Initial D Legend 2 Racer,7.81,3998,957,31,Movie,1,Finished Airing,"May 23, 2015",,,"Shochiku,       Kodansha,       Ultra Super Pictures,       Avex Pictures,       Sammy",Sentai Filmworks,"SANZIGEN,       LIDENFILMS",Manga,,Racing,1 hr. 1 min.,PG-13 - Teens 13 or older,47,Seinen
Seto no Hanayome OVA,My Bride is a Mermaid OVA,7.81,3020,959,53,OVA,2,Finished Airing,"Nov 3, 2008 to Jan 5, 2009",,,"None found, add some","None found, add some","Gonzo,       AIC",Manga,"Comedy, Fantasy, Romance, Slice of Life","Parody, School",29 min. per ep.,PG-13 - Teens 13 or older,29,Shounen
Planetarian: Hoshi no Hito,Planetarian: Storyteller of the Stars,7.81,3150,958,49,Movie,1,Finished Airing,"Sep 3, 2016",,,Visual Arts,Funimation,David Production,Visual novel,"Drama, Sci-Fi",,1 hr. 56 min.,PG-13 - Teens 13 or older,214,
Yuanshen: Weixing zhi Lu,Genshin Impact: The Road Not Taken,7.81,12471,961,1,ONA,1,Finished Airing,"May 24, 2024",,,miHoYoAnime,"None found, add some","None found, add some",Game,"Drama, Fantasy","Isekai, Music, Mythology",3 min.,G - All Ages,7,
Yuru Yuri♪♪,YuruYuri: Happy Go Lily ♪♪,7.81,1286,962,187,TV,12,Finished Airing,"Jul 3, 2012 to Sep 18, 2012",Summer 2012,Unknown,"Sotsu,       Pony Canyon,       DAX Production","NIS America, Inc.",Doga Kobo,Manga,"Comedy, Girls Love","CGDCT, Gag Humor, School",23 min. per ep.,PG-13 - Teens 13 or older,964,
Yamada-kun to Lv999 no Koi wo Suru,My Love Story with Yamada-kun at Lv999,7.81,564,960,408,TV,13,Finished Airing,"Apr 2, 2023 to Jun 25, 2023",Spring 2023,Sundays at 00:30 (JST),"Aniplex,       Movic,       Tokyo MX,       BS11,       Egg Firm,       Kadokawa,       COMICSMART",Aniplex of America,Madhouse,Web manga,Romance,Video Game,23 min. per ep.,PG-13 - Teens 13 or older,"4,289",
