Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Tonikaku Kawaii 2nd Season,TONIKAWA: Over The Moon For You Season 2,7.6,1000,1501,245,TV,12,Finished Airing,"Apr 8, 2023 to Jun 24, 2023","Shogakukan-Shueisha Productions,       Warner Bros. Japan,       KlockWorx,       Shogakukan,       Crunchyroll","None found, add some",Seven Arcs,Manga,"Comedy, Romance",,23 min. per ep.,PG-13 - Teens 13 or older,2508,Spring 2023,Saturdays at 01:05 (JST),Shounen
Top wo Nerae 2! Diebuster,Gunbuster 2,7.6,2427,1502,79,OVA,6,Finished Airing,"Oct 3, 2004 to Aug 25, 2006",Bandai Visual,"Discotek Media,       Bandai Visual USA",Gainax,Original,"Action, Award Winning, Comedy, Drama, Sci-Fi","Mecha, Space",30 min. per ep.,R+ - Mild Nudity,871,,,
Uma Musume: Pretty Derby Season 3,,7.6,4882,1503,20,TV,13,Finished Airing,"Oct 5, 2023 to Dec 28, 2023","TOHO animation,       Kansai Telecasting,       Cygames,       Bandai Namco Music Live","None found, add some",Studio Kai,Game,Sports,"Anthropomorphic, Racing",23 min. per ep.,PG-13 - Teens 13 or older,82,Fall 2023,Thursdays at 00:00 (JST),
White Album 2,,7.6,994,1504,247,TV,13,Finished Airing,"Oct 6, 2013 to Dec 29, 2013",Starchild Records,"None found, add some",Satelight,Visual novel,"Drama, Romance","Love Polygon, Music",23 min. per ep.,PG-13 - Teens 13 or older,3315,Fall 2013,Unknown,
Yama no Susume Third Season,Encouragement of Climb Season 3,7.6,4313,1505,26,TV,13,Finished Airing,"Jul 3, 2018 to Sep 25, 2018","Tokyo MX,       Good Smile Company,       Yomiuri TV Enterprise,       Jinnan Studio,       Radio Osaka,       Top Marshal,       Aeon Entertainment","None found, add some",8bit,Manga,"Adventure, Slice of Life","CGDCT, Iyashikei",13 min. per ep.,PG-13 - Teens 13 or older,68,Summer 2018,Tuesdays at 01:40 (JST),
Yuuki Bakuhatsu Bang Bravern,Brave Bang Bravern!,7.6,4717,1506,21,TV,12,Finished Airing,"Jan 11, 2024 to Mar 28, 2024","Shochiku,       TBS,       Good Smile Company,       Fields,       Cygames,       Tencent Japan,       dugout,       Happinet Media Marketing","None found, add some",CygamesPictures,Original,"Action, Comedy, Sci-Fi","Adult Cast, Mecha, Military, Parody",23 min. per ep.,PG-13 - Teens 13 or older,162,Winter 2024,Thursdays at 23:56 (JST),
Ani ni Tsukeru Kusuri wa Nai! 4,,7.6,4096,1507,29,TV,12,Finished Airing,"Oct 2, 2020 to Dec 18, 2020","Imagineer,       Tencent Penguin Pictures,       Planet Cartoon","None found, add some",Fanworks,Web manga,Comedy,School,3 min. per ep.,PG-13 - Teens 13 or older,34,Fall 2020,Unknown,
Asobi Asobase Specials,,7.6,3269,1508,46,Special,2,Finished Airing,"Nov 28, 2018 to Dec 21, 2018","None found, add some","None found, add some",Lerche,Manga,Comedy,Gag Humor,6 min. per ep.,PG-13 - Teens 13 or older,20,,,Seinen
BanG Dream! Morfonication,,7.6,7833,1509,6,Special,2,Finished Airing,"Jul 28, 2022 to Jul 29, 2022","Ultra Super Pictures,       Bushiroad,       Tokyo MX,       Good Smile Company,       HoriPro International","None found, add some",SANZIGEN,Mixed media,,Music,23 min. per ep.,PG-13 - Teens 13 or older,45,,,
Bokura no,,7.6,1250,1510,192,TV,24,Finished Airing,"Apr 9, 2007 to Sep 25, 2007","Sotsu Music Publishing,       Future Vision Music",Discotek Media,Gonzo,Manga,"Action, Drama, Sci-Fi, Suspense","Mecha, Psychological, Survival",23 min. per ep.,R - 17+ (violence & profanity),1190,Spring 2007,Mondays at 01:30 (JST),Seinen
