Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,Fate/stay night [Unlimited Blade Works] Season 2: Sunny Day,7.47,1906,1952,114,Special,1,Finished Airing,"Oct 7, 2015","None found, add some",Aniplex of America,ufotable,Visual novel,"Action, Fantasy, Supernatural",9 min.,PG-13 - Teens 13 or older,220,,,,
High School DxD New,,7.47,187,1955,916,TV,12,Finished Airing,"Jul 7, 2013 to Sep 22, 2013","Genco,       Lantis,       Media Factory,       Movic,       AT-X,       Showgate,       Q-Tec,       Fujimi Shobo",Funimation,TNK,Light novel,"Action, Comedy, Fantasy, Romance, Ecchi",26 min. per ep.,R+ - Mild Nudity,"4,531",Summer 2013,Sundays at 20:30 (JST),"Harem, Mythology, School",
Gundam Build Divers Re:Rise 2nd Season,GUNDAM BUILD DIVERS Re:RISE,7.47,5801,1954,12,ONA,13,Finished Airing,"Apr 9, 2020 to Aug 27, 2020","Sunrise,       Sotsu",Nozomi Entertainment,Sunrise Beyond,Original,"Action, Sci-Fi",24 min. per ep.,G - All Ages,59,,,Mecha,
Elfen Lied,,7.47,77,1951,1,TV,13,Finished Airing,"Jul 25, 2004 to Oct 17, 2004","VAP,       Genco",ADV Films,Arms,Manga,"Action, Drama, Horror, Romance, Supernatural, Suspense",25 min. per ep.,R+ - Mild Nudity,"24,132",Summer 2004,Sundays at 22:30 (JST),"Gore, Psychological",Seinen
Grisaia no Kajitsu,The Fruit of Grisaia,7.47,353,1953,617,TV,13,Finished Airing,"Oct 5, 2014 to Dec 28, 2014","Frontier Works,       AT-X,       Bushiroad,       NBCUniversal Entertainment Japan,       Front Wing",Sentai Filmworks,8bit,Visual novel,"Drama, Romance, Suspense",23 min. per ep.,R+ - Mild Nudity,"4,398",Fall 2014,Sundays at 20:30 (JST),"Harem, Psychological, School",
Hokuto no Ken Zero: Kenshirou Den,Fist of the North Star: Legend of Kenshiro,7.47,5990,1956,11,Movie,1,Finished Airing,"Oct 11, 2008","None found, add some",Discotek Media,TMS Entertainment,Manga,Action,1 hr. 30 min.,R - 17+ (violence & profanity),23,,,Martial Arts,Shounen
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,Ascendance of a Bookworm: Side Story,7.47,3439,1957,42,OVA,1,Finished Airing,"Mar 10, 2020","None found, add some","None found, add some",Ajia-do,Light novel,Fantasy,24 min.,PG-13 - Teens 13 or older,26,,,"Isekai, Reincarnation",
Isekai Izakaya: Koto Aitheria no Izakaya Nobu,Isekai Izakaya: Japanese Food From Another World,7.47,3372,1958,43,ONA,24,Finished Airing,"Apr 13, 2018 to Sep 14, 2018",Kadokawa,"None found, add some",Sunrise,Light novel,"Fantasy, Gourmet",14 min. per ep.,PG-13 - Teens 13 or older,171,,,"Adult Cast, Isekai, Workplace",
Jashin-chan Dropkick',Dropkick on My Devil!! Dash,7.47,3127,1960,50,TV,11,Finished Airing,"Apr 6, 2020 to Jun 22, 2020","BookLive,       ibis Capital Partners,       Global Solutions","None found, add some",Nomad,Web manga,"Comedy, Supernatural",23 min. per ep.,PG-13 - Teens 13 or older,124,Spring 2020,Mondays at 20:30 (JST),"CGDCT, Gag Humor, Mythology",
Junjou Romantica,Junjo Romantica,7.47,959,1961,256,TV,12,Finished Airing,"Apr 11, 2008 to Jun 27, 2008","Frontier Works,       Kadokawa Shoten,       Kadokawa Pictures Japan,       KlockWorx,       Memory-Tech,       Romantica club !!",Nozomi Entertainment,Studio Deen,Manga,"Boys Love, Comedy, Drama",24 min. per ep.,PG-13 - Teens 13 or older,"4,409",Spring 2008,Fridays at 01:30 (JST),Adult Cast,
Isekai Quartet Movie: Another World,,7.47,2369,1959,82,Movie,1,Finished Airing,"Jun 10, 2022",Kadokawa,"None found, add some",Studio PuYUKAI,Original,"Comedy, Fantasy",1 hr. 52 min.,PG-13 - Teens 13 or older,121,,,"Isekai, Parody",
Kamisama no Memochou,Heaven's Memo Pad,7.47,1013,1962,240,TV,12,Finished Airing,"Jul 2, 2011 to Sep 24, 2011","Lantis,       AT-X,       Warner Bros. Japan,       KlockWorx,       ASCII Media Works",Sentai Filmworks,J.C.Staff,Light novel,"Drama, Mystery",26 min. per ep.,R - 17+ (violence & profanity),796,Summer 2011,Saturdays at Unknown,Detective,
Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers,Ghost in the Shell: Arise - Border 2: Ghost Whispers,7.47,3066,1963,52,Movie,1,Finished Airing,"Nov 30, 2013","Bandai Visual,       Dentsu,       Kodansha,       flying DOG,       TOHO animation",Funimation,Production I.G,Manga,"Action, Mystery, Sci-Fi",56 min.,R - 17+ (violence & profanity),47,,,"Adult Cast, Detective, Mecha, Psychological",
Oemojisangjuui,Lookism,7.47,2209,1966,92,ONA,8,Finished Airing,"Dec 8, 2022",Netflix,"None found, add some",Studio Mir,Web manga,"Action, Drama, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,553,,,School,
Major 2nd 2nd Season,,7.47,4676,1965,22,TV,25,Finished Airing,"Apr 4, 2020 to Nov 7, 2020","Shogakukan-Shueisha Productions,       NHK","None found, add some",OLM,Manga,Sports,24 min. per ep.,PG-13 - Teens 13 or older,68,Spring 2020,Saturdays at 17:35 (JST),Team Sports,Shounen
Kyoukaisenjou no Horizon II,Horizon in the Middle of Nowhere II,7.47,2345,1964,83,TV,13,Finished Airing,"Jul 8, 2012 to Sep 30, 2012","Bandai Visual,       Lantis,       ASCII Media Works,       Sony PCL",Sentai Filmworks,Sunrise,Light novel,"Action, Fantasy, Sci-Fi",24 min. per ep.,R+ - Mild Nudity,352,Summer 2012,Unknown,,
Pokemon Generations,Pokémon Generations,7.47,2868,1967,59,ONA,18,Finished Airing,"Dec 9, 2016 to Feb 2, 2017","None found, add some",The Pokemon Company International,OLM,Game,"Action, Adventure, Fantasy",4 min. per ep.,PG - Children,90,,,Strategy Game,Kids
Psycho-Pass: Sinners of the System Case.2 - First Guardian,,7.47,2130,1968,97,Movie,1,Finished Airing,"Feb 15, 2019","Dentsu,       Fuji TV,       Nitroplus,       Sony Music Entertainment,       TOHO animation,       MAGNET","None found, add some",Production I.G,Original,"Action, Sci-Fi",1 hr.,R - 17+ (violence & profanity),78,,,"Adult Cast, Detective, Psychological",
Saenai Heroine no Sodatekata,Saekano: How to Raise a Boring Girlfriend,7.47,313,1969,664,TV,12,Finished Airing,"Jan 16, 2015 to Mar 27, 2015","Aniplex,       Dentsu,       Fuji TV,       Half H.P Studio,       Cospa,       Fujipacific Music,       Good Smile Company,       Kyoraku Industrial Holdings,       Kansai Telecasting,       Fujimi Shobo",Aniplex of America,A-1 Pictures,Light novel,"Comedy, Romance, Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,"4,382",Winter 2015,Fridays at 00:50 (JST),"Harem, Otaku Culture, School",
Saint☆Oniisan,Saint☆Young Men,7.47,2194,1970,93,OVA,2,Finished Airing,"Dec 3, 2012 to Aug 23, 2013","None found, add some","None found, add some",A-1 Pictures,Manga,"Comedy, Slice of Life",20 min. per ep.,PG-13 - Teens 13 or older,282,,,,Seinen
Shen Lan Qi Yu Wushuang Zhu,The Land of Miracles,7.47,11639,1972,1,ONA,15,Finished Airing,"Jul 23, 2022 to Oct 15, 2022","iQIYI,       CG Year","None found, add some",High Energy Studio,Web novel,"Action, Fantasy",21 min. per ep.,PG-13 - Teens 13 or older,17,,,,
Shinryaku!! Ika Musume,The Squid Girl OVA,7.47,4201,1973,28,OVA,3,Finished Airing,"Aug 8, 2012 to Sep 8, 2014","Lantis,       Glovision",Sentai Filmworks,Diomedéa,Manga,Comedy,24 min. per ep.,PG-13 - Teens 13 or older,17,,,Anthropomorphic,Shounen
Sekaiichi Hatsukoi: Propose-hen,,7.47,4355,1971,26,Movie,1,Finished Airing,"Feb 21, 2020","None found, add some","None found, add some",Studio Deen,Manga,Boys Love,21 min.,PG-13 - Teens 13 or older,97,,,"Adult Cast, Workplace",
Shinryaku!? Ika Musume,The Squid Girl 2,7.47,2090,1974,99,TV,12,Finished Airing,"Sep 27, 2011 to Dec 25, 2011","TV Tokyo,       Lantis,       Pony Canyon,       TV Tokyo Music,       Studio Jack",Sentai Filmworks,Diomedéa,Manga,Comedy,24 min. per ep.,PG-13 - Teens 13 or older,176,Fall 2011,Tuesdays at 02:00 (JST),Anthropomorphic,Shounen
Shinseiki Evangelion Movie: Shi to Shinsei,Neon Genesis Evangelion: Death & Rebirth,7.47,928,1975,263,Movie,1,Finished Airing,"Mar 15, 1997","Movic,       Sega,       TV Tokyo Music,       Audio Tanaka","GKIDS,       Manga Entertainment","Gainax,       Production I.G,       Tatsunoko Production",Original,"Action, Drama, Sci-Fi, Suspense",1 hr. 44 min.,R - 17+ (violence & profanity),734,,,"Mecha, Psychological",
