Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Demographics,Themes,Premiered,Broadcast
Long Zhi Gu: Poxiao Qibing,Dragon Nest: Warriors' Dawn,7.21,8408,3153,5,Movie,1,Finished Airing,"Jul 31, 2014","None found, add some","None found, add some",Mili Pictures,Game,"Action, Adventure, Fantasy",1 hr. 30 min.,PG-13 - Teens 13 or older,26,,,,
Kara no Kyoukai Movie 8: Shuushou,The Garden of Sinners Chapter 8: Epilogue,7.21,1815,3151,121,Special,1,Finished Airing,"Feb 2, 2011","None found, add some",Aniplex of America,ufotable,Light novel,Mystery,33 min.,PG-13 - Teens 13 or older,323,,,,
Kindaichi Shounen no Jikenbo Specials,Kindaichi Case Files Special,7.21,10137,3152,2,TV Special,2,Finished Airing,"Nov 12, 2007 to Nov 19, 2007","Dentsu,       Magic Bus,       YTV","None found, add some",Toei Animation,Manga,Mystery,48 min. per ep.,PG-13 - Teens 13 or older,7,Shounen,,,
Long Zu,Dragon Raja -The Blazing Dawn-,7.21,4052,3154,30,ONA,16,Finished Airing,"Aug 19, 2022 to Nov 25, 2022",Tencent Penguin Pictures,"None found, add some",Garden Culture,Novel,"Adventure, Fantasy",22 min. per ep.,PG-13 - Teens 13 or older,171,,,,
"Love Hina: Motoko no Sentaku, Koi ka Ken... ""Naku na""",Love Hina: Motoko's Choice Between Love or Swords: Don't cry!,7.21,3634,3156,38,Special,1,Finished Airing,"Sep 27, 2000","TV Tokyo,       Yomiko Advertising","Funimation,       Bandai Entertainment",Xebec,Manga,"Drama, Romance",25 min.,PG-13 - Teens 13 or older,13,Shounen,,,
Love Hina Again,,7.21,2305,3155,86,OVA,3,Finished Airing,"Jan 26, 2002 to Mar 27, 2002","Starchild Records,       Audio Tanaka","Bandai Entertainment,       Discotek Media",Xebec,Manga,"Comedy, Romance, Ecchi",30 min. per ep.,PG-13 - Teens 13 or older,87,Shounen,,,
Meitantei Conan: Conan vs. Kid - Shikkoku no Sniper,Detective Conan: Conan vs. Kid - Jet Black Sniper,7.21,8365,3159,5,Movie,1,Finished Airing,"Jul 28, 2006","None found, add some","None found, add some","None found, add some",Manga,"Adventure, Comedy, Mystery",16 min.,PG - Children,1,Shounen,Detective,,
Lupin III: Chi no Kokuin - Eien no Mermaid,Lupin III: Blood Seal of the Eternal Mermaid,7.21,7074,3157,8,TV Special,1,Finished Airing,"Dec 2, 2011","None found, add some",Discotek Media,Telecom Animation Film,Manga,"Action, Adventure, Comedy",1 hr. 32 min.,PG-13 - Teens 13 or older,6,Seinen,Adult Cast,,
Mai Mai Shinko to Sennen no Mahou,Mai-Mai Miracle,7.21,5279,3158,16,Movie,1,Finished Airing,"Aug 15, 2009","Avex Entertainment,       Shochiku",NYAV Post,Madhouse,Novel,"Adventure, Award Winning, Drama",1 hr. 35 min.,PG - Children,21,,,,
Mermaid Melody Pichi Pichi Pitch Pure,,7.21,3280,3160,46,TV,39,Finished Airing,"Apr 3, 2004 to Dec 25, 2004","TV Aichi,       Tokyu Agency,       We've Inc.","None found, add some","Actas,       Synergy Japan",Manga,"Adventure, Comedy, Fantasy, Romance",24 min. per ep.,PG - Children,253,Shoujo,"Mahou Shoujo, Music",Spring 2004,Unknown
