Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes,Premiered,Broadcast
Bleach: Memories in the Rain,,7.18,1746,3351,128,Special,1,Finished Airing,"Dec 18, 2004","None found, add some","None found, add some",Pierrot,Manga,"Action, Adventure, Drama, Fantasy",Shounen,29 min.,PG-13 - Teens 13 or older,236,,,
Chuunibyou demo Koi ga Shitai! Ren Lite,"Love, Chunibyo & Other Delusions!: Heart Throb Lite Shorts",7.18,2252,3352,89,ONA,6,Finished Airing,"Dec 26, 2013 to Mar 16, 2014","None found, add some",Sentai Filmworks,Kyoto Animation,Light novel,Comedy,,4 min. per ep.,PG-13 - Teens 13 or older,67,School,,
Denki-gai no Honya-san,Denki-gai,7.18,1731,3355,130,TV,12,Finished Airing,"Oct 2, 2014 to Dec 18, 2014","Sotsu,       Pony Canyon,       DAX Production,       Comic Umenohone,       Mobcast",Ponycan USA,Shin-Ei Animation,Manga,Comedy,Seinen,23 min. per ep.,PG-13 - Teens 13 or older,280,"Otaku Culture, Workplace",Fall 2014,Thursdays at 22:30 (JST)
Date A Live II,,7.18,333,3354,643,TV,10,Finished Airing,"Apr 12, 2014 to Jun 14, 2014","Kadokawa Shoten,       AT-X,       Nippon Columbia",Funimation,Production IMS,Light novel,"Action, Fantasy, Romance, Sci-Fi",,28 min. per ep.,R - 17+ (violence & profanity),"2,235","Harem, School",Spring 2014,Saturdays at 01:35 (JST)
Dimension W,,7.18,817,3356,299,TV,12,Finished Airing,"Jan 10, 2016 to Mar 27, 2016","Bandai Visual,       Square Enix,       Lantis,       Tokyo MX,       Good Smile Company,       Q-Tec,       I Will",Funimation,"Orange,       Studio 3Hz",Manga,"Action, Sci-Fi",Seinen,24 min. per ep.,R - 17+ (violence & profanity),832,,Winter 2016,Sundays at 22:30 (JST)
Cybersix,,7.18,6113,3353,11,TV,13,Finished Airing,"Sep 6, 1999 to Nov 29, 1999",Tokyo Movie Shinsha,Discotek Media,Telecom Animation Film,Other,"Action, Adventure, Romance, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,72,,Fall 1999,Mondays at 20:30 (JST)
Dr. Slump: Arale-chan,,7.18,5243,3357,16,TV,243,Finished Airing,"Apr 8, 1981 to Feb 19, 1986","Fuji TV,       Harmony Gold","None found, add some",Toei Animation,Manga,"Comedy, Sci-Fi",Shounen,25 min. per ep.,PG-13 - Teens 13 or older,78,Gag Humor,Spring 1981,Wednesdays at 19:00 (JST)
Figure 17: Tsubasa & Hikaru,,7.18,5552,3359,14,TV,13,Finished Airing,"May 27, 2001 to May 26, 2002","Bandai Visual,       Genco,       MediaNet",Media Blasters,OLM,Original,"Sci-Fi, Slice of Life",,47 min. per ep.,PG-13 - Teens 13 or older,80,,Spring 2001,Unknown
Druaga no Tou: The Sword of Uruk,Tower of Druaga: The Sword of Uruk,7.18,2490,3358,75,TV,12,Finished Airing,"Jan 9, 2009 to Mar 27, 2009","Sotsu Music Publishing,       Future Vision Music",Funimation,Gonzo,Game,"Action, Adventure, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,89,,Winter 2009,Fridays at 01:30 (JST)
Hetalia Axis Powers Fan Disc,,7.18,5672,3362,13,OVA,1,Finished Airing,"May 25, 2010",Frontier Works,Funimation,Studio Deen,Web manga,Comedy,,10 min.,PG-13 - Teens 13 or older,20,"Historical, Parody",,
Futari wa Precure: Splash☆Star,,7.18,5534,3360,14,TV,49,Finished Airing,"Feb 5, 2006 to Jan 28, 2007",Asahi Broadcasting,"None found, add some",Toei Animation,Original,"Action, Comedy, Fantasy",,24 min. per ep.,G - All Ages,83,Mahou Shoujo,Winter 2006,Unknown
Ganbarist! Shun,,7.18,9230,3361,3,TV,30,Finished Airing,"Jul 1, 1996 to Mar 10, 1997",Yomiuri Telecasting,"None found, add some",Sunrise,Manga,"Comedy, Sports",Shounen,26 min. per ep.,PG-13 - Teens 13 or older,13,,Summer 1996,Mondays at 19:00 (JST)
Hikikomari Kyuuketsuki no Monmon,The Vexations of a Shut-In Vampire Princess,7.18,2088,3363,100,TV,12,Finished Airing,"Oct 7, 2023 to Dec 30, 2023","NBCUniversal Entertainment Japan,       Tokyo MX,       DMM.com,       Kadokawa Media House,       BS NTV,       Good Smile Film,       Bit grooove promotion,       SB Creative,       Yostar",Sentai Filmworks,Project No.9,Light novel,"Comedy, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,741,Vampire,Fall 2023,Saturdays at 22:30 (JST)
Ihatov Gensou: Kenji no Haru,Spring and Chaos,7.18,6561,3365,9,Movie,1,Finished Airing,"Dec 14, 1996","None found, add some",Tokyopop,Group TAC,Novel,"Drama, Slice of Life",,56 min.,PG-13 - Teens 13 or older,48,"Anthropomorphic, Historical",,
Hoshikuzu Telepath,Stardust Telepath,7.18,3115,3364,50,TV,12,Finished Airing,"Oct 9, 2023 to Dec 25, 2023","Movic,       AT-X,       Nippon Columbia,       KlockWorx,       Asmik Ace,       Studio Mausu,       Houbunsha,       Hakuhodo DY Music & Pictures,       BS NTV,       San Blas Animation","None found, add some",Studio Gokumi,4-koma manga,"Comedy, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,331,"CGDCT, School",Fall 2023,Mondays at 21:00 (JST)
Irregular Hunter X: The Day of Sigma,Megaman X - The Day of Sigma,7.18,5921,3366,12,OVA,1,Finished Airing,"Dec 15, 2005","None found, add some",Capcom,Xebec,Game,"Action, Sci-Fi",,30 min.,PG - Children,56,,,
