Name,Anime_url,Review
Shaonian Ge Xing: Feng Hua Xue Yue Pian Special,https://myanimelist.net/anime/52105/Shaonian_Ge_Xing__Feng_Hua_Xue_Yue_Pian_Special,[]
Qin Shi Mingyue: Junlin Tianxia,https://myanimelist.net/anime/29936/Qin_Shi_Mingyue__Junlin_Tianxia,[]
Ookami Shoujo to Kuro Ouji Recap,https://myanimelist.net/anime/29129/Ookami_Shoujo_to_Kuro_Ouji_Recap,[]
Sakura Taisen: Gouka Kenran,https://myanimelist.net/anime/1166/Sakura_Taisen__Gouka_Kenran,"['One of the problems that faces all studios, regardless of their medium, is how to build on success. The most obvious solution is to create a sequel, however as most people know, the sequel is rarely on par with the original, and it\'s unfortunate that following the success of the Sakura Taisen game and the OVA Ouka Kenran, the follow-up anime is guilty as charged.Released in 1999, Sakura Taisen: Gouka Kenran is set between the first two games and follows the lives of the members of the Imperial Assault Force - Flower Division. The Demon Wars have ended, and the members of Teikoku Kagekidan Hanagumi...are finally able to rest, recuperate, and focus on their work in the theatre.Unlike the first OVA though, Gouka Kenran (which actually translates to The Radiant Gorgeous Blooming Flowers - the first OVA was called The Gorgeous Blooming Cherry Blossoms), focuses on the characters in a much more direct manner. Because of this, the second OVA is often called a ""character study"", and while there are nods in that direction, in truth this is nothing  more than a secondary introduction to the characters. Each episode is about one or more of the characters, and contain a mixture of drama and comedy, with little in the way of action over the course of the OVA.Deviating slightly from the main review here, there is one major factor that affects every aspect of this OVA, and it needs to be mentioned. The second OVA is not simply a sequel in the same sense as something like the Aria series, and the main reason for this is because of the owners of the franchise - Red Entertainment and Sega. The success of the game and first OVA caused them to try and capitalise on the franchise. Unfortunately they decided to do this by changing not only the series director, but the animation studio as well. This change has played a pivotal role in the creation of the OVA, and for those who have watched Ouka Genran, the differences are obvious and, at times, extreme.Going back to the review, there is a distinct lack of focus in Gouka Kenran. The decision to replace the original director, Ishiyama Takaaki, with Kudo Susumu, was a poor one indeed. That is no criticism of Kudo\'s skills as a director however, it simply means that it would have been preferable to have someone familiar with the characters at the helm. The change from one director to another impacts greatly on the pacing and style of Gouka Kenran, in particular the elements that made Sakura Taisen such a popular series. Kudo has tried to stamp his mark on the series whilst remaining true to the original game and OVA, and it\'s unfortunate that it hasn\'t worked for the most part. The plot tends to drag, or be overly dramatic at times, and without any real action to balance it, the OVA can become a chore to watch for some.Another aspect that has been adversely affected by the produciton changes is the art and animation. Where the orginal OVA was produced by Madhouse, Gouka Kenran was made by ANIMATE, and the difference is telling. The animation in the second OVA is a definite step down for the series, especially as the characters move in decidely rigid, and at times robotic, manner. The colours are as bright and cheery as they were in the first OVA, however the backgrounds have a far more ""cartoon"" feel to them. The only thing that couldn\'t really be changed was the character design, however the implementation makes them look odd at times.It\'s strange, but the one area that seems not to have suffered from the production changes is the sound and music. This may be partly due to the fact that the cast from the original OVA reprised their roles in the sequel, but on the whole the sound throughout the anime is of a decent standard. The music is well chosen, although some of the comedic scenes could have done without the comedic music. The effects are well used for the most part, however there are occasions when the vocals take a back seat.On the whole though, the sound is reasonably good.One would think that, given that this is supposed to be a character study, there would be some good characterisations and development. Unfortunately this is not the case. The fact that the series tries to focus on almost all of the members of Teikoku Kagekidan Hanagumi precludes any substantial development for any of them, and is the reason why I called this more of a secondary introduction rather than a study. If the intent was to study the characters, then the series should have been at least 26 episodes instead of 6 as there just isn\'t enough time to go into any kind of detail. That doesn\'t mean that the characters are bad though, as they are all likable in their own way. No, the problem is that there just isn\'t enough time spent with each character to make the audience relate to them.As with the original OVA, this is a tough one to recommend to any but fans of the franchise. It\'s unfortunate, but also true, that one should watch the original OVA before watching this as well, as this way the viewer will at least have an idea of what\'s going on, who each character is, and why they are in the anime. Although it lacks the same kind of pace and punch as the first OVA, the fact that the characters are effectively allowed to ""step out"" of their roles is an interesting approach that, due to time issues, doesn\'t actually work out.Ultimately though, the entire OVA is effectively all ""filler"", which is a shame as it could have been so much more. are finally able to rest, recuperate, and focus on their work in the theatre.Unlike the first OVA though, Gouka Kenran (which actually translates to The Radiant Gorgeous Blooming Flowers - the first OVA was called The Gorgeous Blooming Cherry Blossoms), focuses on the characters in a much more direct manner. Because of this, the second OVA is often called a ""character study"", and while there are nods in that direction, in truth this is nothing  more than a secondary introduction to the characters. Each episode is about one or more of the characters, and contain a mixture of drama and comedy, with little in the way of action over the course of the OVA.Deviating slightly from the main review here, there is one major factor that affects every aspect of this OVA, and it needs to be mentioned. The second OVA is not simply a sequel in the same sense as something like the Aria series, and the main reason for this is because of the owners of the franchise - Red Entertainment and Sega. The success of the game and first OVA caused them to try and capitalise on the franchise. Unfortunately they decided to do this by changing not only the series director, but the animation studio as well. This change has played a pivotal role in the creation of the OVA, and for those who have watched Ouka Genran, the differences are obvious and, at times, extreme.Going back to the review, there is a distinct lack of focus in Gouka Kenran. The decision to replace the original director, Ishiyama Takaaki, with Kudo Susumu, was a poor one indeed. That is no criticism of Kudo\'s skills as a director however, it simply means that it would have been preferable to have someone familiar with the characters at the helm. The change from one director to another impacts greatly on the pacing and style of Gouka Kenran, in particular the elements that made Sakura Taisen such a popular series. Kudo has tried to stamp his mark on the series whilst remaining true to the original game and OVA, and it\'s unfortunate that it hasn\'t worked for the most part. The plot tends to drag, or be overly dramatic at times, and without any real action to balance it, the OVA can become a chore to watch for some.Another aspect that has been adversely affected by the produciton changes is the art and animation. Where the orginal OVA was produced by Madhouse, Gouka Kenran was made by ANIMATE, and the difference is telling. The animation in the second OVA is a definite step down for the series, especially as the characters move in decidely rigid, and at times robotic, manner. The colours are as bright and cheery as they were in the first OVA, however the backgrounds have a far more ""cartoon"" feel to them. The only thing that couldn\'t really be changed was the character design, however the implementation makes them look odd at times.It\'s strange, but the one area that seems not to have suffered from the production changes is the sound and music. This may be partly due to the fact that the cast from the original OVA reprised their roles in the sequel, but on the whole the sound throughout the anime is of a decent standard. The music is well chosen, although some of the comedic scenes could have done without the comedic music. The effects are well used for the most part, however there are occasions when the vocals take a back seat.On the whole though, the sound is reasonably good.One would think that, given that this is supposed to be a character study, there would be some good characterisations and development. Unfortunately this is not the case. The fact that the series tries to focus on almost all of the members of Teikoku Kagekidan Hanagumi precludes any substantial development for any of them, and is the reason why I called this more of a secondary introduction rather than a study. If the intent was to study the characters, then the series should have been at least 26 episodes instead of 6 as there just isn\'t enough time to go into any kind of detail. That doesn\'t mean that the characters are bad though, as they are all likable in their own way. No, the problem is that there just isn\'t enough time spent with each character to make the audience relate to them.As with the original OVA, this is a tough one to recommend to any but fans of the franchise. It\'s unfortunate, but also true, that one should watch the original OVA before watching this as well, as this way the viewer will at least have an idea of what\'s going on, who each character is, and why they are in the anime. Although it lacks the same kind of pace and punch as the first OVA, the fact that the characters are effectively allowed to ""step out"" of their roles is an interesting approach that, due to time issues, doesn\'t actually work out.Ultimately though, the entire OVA is effectively all ""filler"", which is a shame as it could have been so much more.']"
Queen Emeraldas,https://myanimelist.net/anime/1553/Queen_Emeraldas,"[""It's hard to really write a review, the last 2 OVA ep3-4. Are hard to find items.. in any form. For what was seen ep1-2.  This is worth the ownership, Great if a fan of any of the Harlock-Galaxy 999 Fans.  Again i feel i can not write a true review untill i see ep3-4 "", 'I’m going to start off this review with a disclaimer: If you’re thinking about using this OVA as a starting point for getting into Captain Harlock, turn away right now. With that said, for anyone who’s already a fan you’ll probably enjoy this OVA just because it’s loosely Harlock related and that you’ve probably come to expect very little from anything beyond the original series anyway.First off, the few good things the series has:1. The story. Despite the shortcomings of basically everything else, the story itself is actually quite good. The series has great pacing, fun characters, and an interesting overarching plot.2. The action...sequences. Although a little uninspired the fighting throughout is some of the best in Harlock. There are cosmo guns, gravity sabres, cloaking fields, energy shields, lasers, missiles, space battles, and a giant robot horse.Now, onto the bad:1. It’s not actually about Emeraldas. Despite what the title may have lead you to believe the series is actually about a young boy named Hiroshi who dreams of building his own spaceship. Emeraldas acts as his watchful guardian and that’s about it. If you were thinking you’d get to finally see a series with some focus on Harlock’s most alluring and mysterious ally you were wrong.2. Being an OVA you might assume its self-contained, well it’s not. The series doesn’t end on a cliff hanger or anything but it’s pretty obvious the plot was intended to continue on.3. The animation sucks (kind of). The first two episodes are pretty solid but the studio was switched halfway through and the latter 2 episodes are visibly worse. Especially the characteristic Leiji Matsumoto eyes which the second studio never seemed to get right. The series also has a penchant for 90’s 3D animation which I assume was all the rage at the time but now looks hilariously bad.4. The dialogue is terrible. By the end of this 4 episode OVA I estimate you will have heard Emeraldas say “I am Emeraldas” about 14 times. I don’t know what happened but the show really fell flat in this regard.Ultimately this is a series that you should only watch when you’ve exhausted all other Harlock options. In that regard it’s enjoyable enough, I certainly didn’t hate it but it leaves a lot to be desired. The real tragedy however is simply pondering what could have been. Emeraldas was a fairly underdeveloped character before this OVA and she continues to be afterward but it’s obvious they were setting up for something big. I’ll let you see how it plays out but there’s a lot of foreshadowing and then it seems to end before it even really gets started. sequences. Although a little uninspired the fighting throughout is some of the best in Harlock. There are cosmo guns, gravity sabres, cloaking fields, energy shields, lasers, missiles, space battles, and a giant robot horse.Now, onto the bad:1. It’s not actually about Emeraldas. Despite what the title may have lead you to believe the series is actually about a young boy named Hiroshi who dreams of building his own spaceship. Emeraldas acts as his watchful guardian and that’s about it. If you were thinking you’d get to finally see a series with some focus on Harlock’s most alluring and mysterious ally you were wrong.2. Being an OVA you might assume its self-contained, well it’s not. The series doesn’t end on a cliff hanger or anything but it’s pretty obvious the plot was intended to continue on.3. The animation sucks (kind of). The first two episodes are pretty solid but the studio was switched halfway through and the latter 2 episodes are visibly worse. Especially the characteristic Leiji Matsumoto eyes which the second studio never seemed to get right. The series also has a penchant for 90’s 3D animation which I assume was all the rage at the time but now looks hilariously bad.4. The dialogue is terrible. By the end of this 4 episode OVA I estimate you will have heard Emeraldas say “I am Emeraldas” about 14 times. I don’t know what happened but the show really fell flat in this regard.Ultimately this is a series that you should only watch when you’ve exhausted all other Harlock options. In that regard it’s enjoyable enough, I certainly didn’t hate it but it leaves a lot to be desired. The real tragedy however is simply pondering what could have been. Emeraldas was a fairly underdeveloped character before this OVA and she continues to be afterward but it’s obvious they were setting up for something big. I’ll let you see how it plays out but there’s a lot of foreshadowing and then it seems to end before it even really gets started.', 'As one of the more mysterious and sufficiently badass women residing in the vast Leijiverse, her boundaries as a side-character rarely failed to aggravate me in her various cameos as the sincere fanboy I identify myself as. I\'m talking about the space pirate Emeraldas who had to wait for 1998 to come before she finally got an OVA of her own. I just finished watching it and hopefully this review will provide a considerably more objective assessment than my rampaging fanboyism logically would allow.Story: 5/10The Leiji Matsumoto pattern has made it clear that a young and ambitious male protagonist is likely to emerge whenever...a story needs to be told and Queen Emeraldas proves to be no exception. This time, the tale concerns Hiroshi Umino who ironically gets more screen-time than the titular character herself. Basically, the story is comprised of a series of coincidental encounters these two characters have with each other and the opponents they more or less face co-operatively as Umino aspires to grow stronger and explore the universe in the liberal spirit he shares with Galaxy Express 999\'s Tetsuro.I\'d like to make it clear that this OVA seems to exist in order to provide some background information on a popular heroine and as such does not bother too much on developing its narrative. There is a troublesome lack of continuity present and it seems like Umino\'s repeated meetings with Emeraldas are just random plot devices created to establish a friendly relationship based on coincidence. All in all the story is not particularly strong but comes off as decent.Animation: 6/10For the first time I got to witness a Leijiverse title with detailed scenery, fluid movement and wonderful character designs. A most welcome delight! Queen Emeraldas applies a few instances of horrible CGI but generally maintains a great and stylistic approach that qualifies to the contemporary standards.Sound: 7/10Emeraldas was apparently deemed awesome enough to get her own theme song and, musical appeal aside, it does match her personality and epic characteristics quite a lot. The rest of the soundtrack is decent but seems to be a lot more timid.As far as voice acting goes, the two protagonists are portrayed in praise-worthy manners and Emeraldas in particular has the virtue of being voiced by the same woman who starred as Oscar from Rose of Versailles.Characters: 7/10Sigh. Assigning a 7 to the ""character section"" of an anime in which one of my favourite characters of fiction resides doesn\'t quite seem right. However, as much as I\'d like to call Queen Emeraldas character-driven, even that term feels strangely out of place. There\'s nothing particularly wrong with the characterization, it\'s just that there isn\'t any in abundance. We get to witness Emeraldas\'s inner feelings; her motives and a past that has shaped her as the cynical heroine she has become. But those who watched Captain Harlock and Galaxy Express already knew those things about her and little of the material is actually new. Then there\'s the modernized Tetsuro and a few diabolic villains that create a diversity that\'s not as amazing as expected.All in all, the characters in this OVA aren\'t bad at all (look at the 7 damnit!) but given that most titles in the Leijiverse seem to be character driven, it certainly doesn\'t reach the standard.Overall: 6/10Despite my harshness I\'d like to emphasize that I greatly enjoyed this title as an opportunity to watch one of my favorite heroines show off in a story that seems to be designed in favor of her awesomeness. It quite accurately falls into the ""Guilty pleasure"" category with a heavy focus on space battles and fencing but still reaches at least mediocre heights of story-telling and disappointing yet sufficient character portraits. Recommended to somewhat initiated Matsumoto fans but might not work quite as well as a gateway drug. a story needs to be told and Queen Emeraldas proves to be no exception. This time, the tale concerns Hiroshi Umino who ironically gets more screen-time than the titular character herself. Basically, the story is comprised of a series of coincidental encounters these two characters have with each other and the opponents they more or less face co-operatively as Umino aspires to grow stronger and explore the universe in the liberal spirit he shares with Galaxy Express 999\'s Tetsuro.I\'d like to make it clear that this OVA seems to exist in order to provide some background information on a popular heroine and as such does not bother too much on developing its narrative. There is a troublesome lack of continuity present and it seems like Umino\'s repeated meetings with Emeraldas are just random plot devices created to establish a friendly relationship based on coincidence. All in all the story is not particularly strong but comes off as decent.Animation: 6/10For the first time I got to witness a Leijiverse title with detailed scenery, fluid movement and wonderful character designs. A most welcome delight! Queen Emeraldas applies a few instances of horrible CGI but generally maintains a great and stylistic approach that qualifies to the contemporary standards.Sound: 7/10Emeraldas was apparently deemed awesome enough to get her own theme song and, musical appeal aside, it does match her personality and epic characteristics quite a lot. The rest of the soundtrack is decent but seems to be a lot more timid.As far as voice acting goes, the two protagonists are portrayed in praise-worthy manners and Emeraldas in particular has the virtue of being voiced by the same woman who starred as Oscar from Rose of Versailles.Characters: 7/10Sigh. Assigning a 7 to the ""character section"" of an anime in which one of my favourite characters of fiction resides doesn\'t quite seem right. However, as much as I\'d like to call Queen Emeraldas character-driven, even that term feels strangely out of place. There\'s nothing particularly wrong with the characterization, it\'s just that there isn\'t any in abundance. We get to witness Emeraldas\'s inner feelings; her motives and a past that has shaped her as the cynical heroine she has become. But those who watched Captain Harlock and Galaxy Express already knew those things about her and little of the material is actually new. Then there\'s the modernized Tetsuro and a few diabolic villains that create a diversity that\'s not as amazing as expected.All in all, the characters in this OVA aren\'t bad at all (look at the 7 damnit!) but given that most titles in the Leijiverse seem to be character driven, it certainly doesn\'t reach the standard.Overall: 6/10Despite my harshness I\'d like to emphasize that I greatly enjoyed this title as an opportunity to watch one of my favorite heroines show off in a story that seems to be designed in favor of her awesomeness. It quite accurately falls into the ""Guilty pleasure"" category with a heavy focus on space battles and fencing but still reaches at least mediocre heights of story-telling and disappointing yet sufficient character portraits. Recommended to somewhat initiated Matsumoto fans but might not work quite as well as a gateway drug.', ""You could argue that she's a supporting character in her own OVA. You could ding the animation for looking dated.That aside, I liked what I saw. She's a mysterious character. We were never going to see 2 hours' worth of an over the shoulder look at her life. It was always going to be her playing off of another character.That said, I liked where this story went. I like that the story wasn't her welcoming a stranger into her ship and into her heart within 2 minutes, or ever. She is heartbroken and it's almost like she's dead already. Her fearlessness in the...face of death and quiet acceptance of what will likely be her death at a pivotal point shows how dark some of the chapters of her life have been, and yet I wouldn't call it dystopian. She helps when she can, she has strong morals and is willing to die for them, and she is gregarious when it is called for. I'd call this a character study from a distance.I think she got the name Pirate Queen Emeraldas because she's presents as evil but she is clearly decent. Her morality is her guiding light, and she persistently walks towards that light. She's a good egg. face of death and quiet acceptance of what will likely be her death at a pivotal point shows how dark some of the chapters of her life have been, and yet I wouldn't call it dystopian. She helps when she can, she has strong morals and is willing to die for them, and she is gregarious when it is called for. I'd call this a character study from a distance.I think she got the name Pirate Queen Emeraldas because she's presents as evil but she is clearly decent. Her morality is her guiding light, and she persistently walks towards that light. She's a good egg.""]"
Shaonu Qianxian: Renxing Xiao Juchang 2,https://myanimelist.net/anime/42949/Shaonu_Qianxian__Renxing_Xiao_Juchang_2,"[""Girls' Frontline Healing Chapter Season 2!They've added RO635, AK-12, AN-94, Scarecrow, Executioner and Hunter to the cast and the rest of AR Team and Squad 404 return for more shenanigans. The episodes are longer this time around (like 5-6 minutes I believe) and the stories are far more entertaining in my opinion (One of the episodes is about the girls engaging in a race and it was perfection). The art style is the same as before (very cute and precious), Vanguard Sound still does the BGM and all of the JP voice actors from the game return, so everything feels and sound as it...should (especially if you are familiar with the original game). I honestly wouldn't mind if MICA just made a 1:1 adaptation of the game's story but with the chibi style intact, haha.This is an anime for the fans of the game and series, so if you haven't checked it out yet, I recommend you do so. It shouldn't take you too long to go through all the episodes.I love this chibi anime, please make more in the future Yuzhong should (especially if you are familiar with the original game). I honestly wouldn't mind if MICA just made a 1:1 adaptation of the game's story but with the chibi style intact, haha.This is an anime for the fans of the game and series, so if you haven't checked it out yet, I recommend you do so. It shouldn't take you too long to go through all the episodes.I love this chibi anime, please make more in the future Yuzhong"", 'story 1while there is no real story compared to the first one this more tries slices of life cute girls doings thing rout while the first focus more on comedy and this completely took the show in the wrong direction and killed absolutely anything good the first season had the funny comedy scenes about game mechanics gone and even worse there really next to no scenes showing comedy or battle  and the slice of life ends up not really having any real energy so it ends up being that dull painfully boring slice of life that is so mundane it hurts...art 3the art might be the best part not saying it was good but the scenes that did stuff sometimes got my mild interest but one is the first episodes had a absolutely different kind of anime style that badly did not fit the designs were  more fitting in a romance anime but it eventually went to the style more like the first season but another issue while there is movement it is clear that the budget was possible even less then the first as it does everything it can to limit the movement as much as possiblesound 1this is another thing that really helps bring it down while the first season the voice acting had energy really keep a energetic feel that matches goofy comedy the voice acting in this season is very monotone and mostly lack any energy this is bad as specially with slice of life when it is focused on normal things having some energy in the voice acting can  avoid making it feel so mundane it  feels dullcharacters 2they feel even more bland then the first season only here and there does it even feel like then have the one dimensional character that they had in the first now they they have no separate character  there all just one which is what fits the scene and before the one dimensional character could pass by when it was a short episode comedy but going more slice of life rout would mean maybe more then any other genre the characters need to be strong as they are what generally hold everything together and there not but there was still mild enough there to not be a 1enjoyment 1while i rated the first a 5 not great but there was enough there that i felt if it focused the comedy more around the game and less slice of life with the energy the voice acting gave it i felt it would greatly improve while at first i thought it would be another of those  zero effort  short episode shows it oddly felt like some one put some care into it and i got some enjoyment out of it sadly the season ended up be everything i thought the first would be this got rid of everything good in the first and replaced it with slice of life girls doing things that had no real energy and ended up boring its just sad to see something that really had potential throw that all away art 3the art might be the best part not saying it was good but the scenes that did stuff sometimes got my mild interest but one is the first episodes had a absolutely different kind of anime style that badly did not fit the designs were  more fitting in a romance anime but it eventually went to the style more like the first season but another issue while there is movement it is clear that the budget was possible even less then the first as it does everything it can to limit the movement as much as possiblesound 1this is another thing that really helps bring it down while the first season the voice acting had energy really keep a energetic feel that matches goofy comedy the voice acting in this season is very monotone and mostly lack any energy this is bad as specially with slice of life when it is focused on normal things having some energy in the voice acting can  avoid making it feel so mundane it  feels dullcharacters 2they feel even more bland then the first season only here and there does it even feel like then have the one dimensional character that they had in the first now they they have no separate character  there all just one which is what fits the scene and before the one dimensional character could pass by when it was a short episode comedy but going more slice of life rout would mean maybe more then any other genre the characters need to be strong as they are what generally hold everything together and there not but there was still mild enough there to not be a 1enjoyment 1while i rated the first a 5 not great but there was enough there that i felt if it focused the comedy more around the game and less slice of life with the energy the voice acting gave it i felt it would greatly improve while at first i thought it would be another of those  zero effort  short episode shows it oddly felt like some one put some care into it and i got some enjoyment out of it sadly the season ended up be everything i thought the first would be this got rid of everything good in the first and replaced it with slice of life girls doing things that had no real energy and ended up boring its just sad to see something that really had potential throw that all away']"
Shen Wu Tianzun,https://myanimelist.net/anime/50898/Shen_Wu_Tianzun,[]
Shi Fang Wu Sheng,https://myanimelist.net/anime/56981/Shi_Fang_Wu_Sheng,"[""his donghua is an adaptation of novel by the same (Chinese) name. I haven't read the novel so I won't be speaking to how this does as an adaptation.Plot Summary: Wei He, the youngest of 3 siblings, is a sheltered and somewhat naive young man. His family is supported by his eldest sister's reputation as a fierce martial artist of the slums. Believing that their parents are still alive despite their disappearance, his eldest sister regularly goes out on searches to find clues about their whereabouts. Before one of these trips, Wei He has a bad prenomination, prompting him to join his eldest sister. On...this trip, they encounter an accident leading to his sister going missing. Once without their protective shield, he and his second eldest sister are at the mercy of thugs around the slums. Faced with these new harsh realities, Wei He joins a martial arts school in order to become stronger so he can protect his family and continue to search for his parents.Plot and SettingOur MC (implied to be a transmigrator), first starts off as a sheltered and naive young man, who quickly mans up to protect his family once tragedy strikes. The transition is a bit abrupt, but given the condition the world is in, makes sense. While the story and plot are mostly focused on the MC, there is a factional war going on in the background over control of the city, which the MC becomes an unintentional catalyst in escalating the conflict. In regards the the ongoing factional war, it is a bit difficult to understand the web of alliances at first, but as you get furthur into the season, we can get a clearer picture. The highlight of the show is really the MC's growth and character.The setting of this donghua is fairly typical, set in an ancient world during a chaotic time (modeled after ancient China). However, what really stands out is the mature depiction of the world: casual murder, attempted kidnapping, attempted s**ual assault, selling one's children for food, etc are all depicted in the opening episodes. There are also rather gruesome displays and gore, though they tend to tone down some of this (likely for censorship reasons). All of these explicit depictions are quite unusual for donghua.CharactersThe main character of importance is, of course, the MC. He starts off as a bit sheltered and naive, but quickly steps up and grows once he loses his shelter. His growth throughout the season, his compassion for friends, cunning, and ruthlessness towards enemies makes him a compelling and relatable main character. As for the other characters, they have their own unique quirks and traits; there isn't anything that breaks the mold, but they flesh out the world.AnimationThe animation and character modeling is done very well for this donghua. The character models are detailed, reflecting a high budget style, and has the usual xianxia/ancient world type style. The models for characters are both unique and uniform, allowing viewers to easily identify characters and factions. The animation for normal movements is smooth and the choreography for the fights is good, though there are times when there are minor kinks in this fluidity.Final ThoughtsThis donghua was much more enjoyable than I anticipated. The story was engaging and characters likable. There was a greater conspiracy plot that gets a full reveal at the end (it does get hinted at throughout the show if you pay close attention). If you are looking for a cultivation style donghua with a more mature tone and world depiction, this is a highly recommended watch.Score: 8/10 this trip, they encounter an accident leading to his sister going missing. Once without their protective shield, he and his second eldest sister are at the mercy of thugs around the slums. Faced with these new harsh realities, Wei He joins a martial arts school in order to become stronger so he can protect his family and continue to search for his parents.Plot and SettingOur MC (implied to be a transmigrator), first starts off as a sheltered and naive young man, who quickly mans up to protect his family once tragedy strikes. The transition is a bit abrupt, but given the condition the world is in, makes sense. While the story and plot are mostly focused on the MC, there is a factional war going on in the background over control of the city, which the MC becomes an unintentional catalyst in escalating the conflict. In regards the the ongoing factional war, it is a bit difficult to understand the web of alliances at first, but as you get furthur into the season, we can get a clearer picture. The highlight of the show is really the MC's growth and character.The setting of this donghua is fairly typical, set in an ancient world during a chaotic time (modeled after ancient China). However, what really stands out is the mature depiction of the world: casual murder, attempted kidnapping, attempted s**ual assault, selling one's children for food, etc are all depicted in the opening episodes. There are also rather gruesome displays and gore, though they tend to tone down some of this (likely for censorship reasons). All of these explicit depictions are quite unusual for donghua.CharactersThe main character of importance is, of course, the MC. He starts off as a bit sheltered and naive, but quickly steps up and grows once he loses his shelter. His growth throughout the season, his compassion for friends, cunning, and ruthlessness towards enemies makes him a compelling and relatable main character. As for the other characters, they have their own unique quirks and traits; there isn't anything that breaks the mold, but they flesh out the world.AnimationThe animation and character modeling is done very well for this donghua. The character models are detailed, reflecting a high budget style, and has the usual xianxia/ancient world type style. The models for characters are both unique and uniform, allowing viewers to easily identify characters and factions. The animation for normal movements is smooth and the choreography for the fights is good, though there are times when there are minor kinks in this fluidity.Final ThoughtsThis donghua was much more enjoyable than I anticipated. The story was engaging and characters likable. There was a greater conspiracy plot that gets a full reveal at the end (it does get hinted at throughout the show if you pay close attention). If you are looking for a cultivation style donghua with a more mature tone and world depiction, this is a highly recommended watch.Score: 8/10""]"
Shutsugeki! Machine Robo Rescue,https://myanimelist.net/anime/3098/Shutsugeki_Machine_Robo_Rescue,"[""I think it's good to watch a kodomo, shounen anime even in adulthood, because of two reasons:1. A good shounen anime would remind the adult fan their teenager motivations, and even is they are disappointed in life, they might rethink, what can they do in their life to make the most of it.2. Watching children's animations might bring us back to our childhood. Every time, when I watch an animation for children, I always imagine, if I could watch it as child, or not? Would I offer it to my child, (if I would have) or not?Well, Shutsugeki! Machine Robo Rescue is not the very...best children's anime, but worth to give a try to it.12 children are chosen to the Machine Robo Rescue program. In this program robots and the 12 children work together to save the people from the dangers and disaster. Oozora Taiyou (what an expressive name...) is late from the first training, when he goes for a rescue work with his JETROBO. Every 12 children are approved, and they are separated in 3 groups: Red Wings, Blue Sirens and Yellow Gears, and rescue the people from danger. The story isn't big, there are smaller stories in every episodes. Some episodes were made interesting with the children's background story, but those are only for curiosity, they don't give anything to the main story.The big mistake of the anime is the antagonist itself. I don't know, why is he revealed in about the 40th episode, otherwise, he's really ridiculous. I think, even children can't take him seriously. He just disappeares before the end of the anime. But why if he there? He hasn't any function in the anime.What I really liked in the anime, is the music. I'm a big JAM Project fan, so, I don't need to explain, why I like it. The opening is cute, Kitadani Hiroshi took his lovable childish self into the song, and it makes the opening good to listen. But the ending... is like masterpiece! That's an Endoh Masaaki solo, and as always, he takes seriously this song as well. The title is expressive, it's really like a march. I can imagine Endoh Masaaki as fire colonel, who leads the group with this great song. Anyway I think, Endoh Masaaki is the greatest japanese male singer, and this song confirmed this feeling inside me.So yes... I started to watch this anime because of the JAM Project opening and ending song (I know them for years), but I offer to give a try to this anime. Simple, yet lovely and if you let your child self go, you might enjoy this anime. best children's anime, but worth to give a try to it.12 children are chosen to the Machine Robo Rescue program. In this program robots and the 12 children work together to save the people from the dangers and disaster. Oozora Taiyou (what an expressive name...) is late from the first training, when he goes for a rescue work with his JETROBO. Every 12 children are approved, and they are separated in 3 groups: Red Wings, Blue Sirens and Yellow Gears, and rescue the people from danger. The story isn't big, there are smaller stories in every episodes. Some episodes were made interesting with the children's background story, but those are only for curiosity, they don't give anything to the main story.The big mistake of the anime is the antagonist itself. I don't know, why is he revealed in about the 40th episode, otherwise, he's really ridiculous. I think, even children can't take him seriously. He just disappeares before the end of the anime. But why if he there? He hasn't any function in the anime.What I really liked in the anime, is the music. I'm a big JAM Project fan, so, I don't need to explain, why I like it. The opening is cute, Kitadani Hiroshi took his lovable childish self into the song, and it makes the opening good to listen. But the ending... is like masterpiece! That's an Endoh Masaaki solo, and as always, he takes seriously this song as well. The title is expressive, it's really like a march. I can imagine Endoh Masaaki as fire colonel, who leads the group with this great song. Anyway I think, Endoh Masaaki is the greatest japanese male singer, and this song confirmed this feeling inside me.So yes... I started to watch this anime because of the JAM Project opening and ending song (I know them for years), but I offer to give a try to this anime. Simple, yet lovely and if you let your child self go, you might enjoy this anime.""]"
Soukyuu no Fafner: Dead Aggressor - Behind the Line,https://myanimelist.net/anime/50675/Soukyuu_no_Fafner__Dead_Aggressor_-_Behind_the_Line,[]
