Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Tantei Opera Milky Holmes: Summer Special,,6.93,7301,4504,7,TV Special,1,Finished Airing,"Aug 25, 2011","Bushiroad,       Chrono Gear Creative","None found, add some","J.C.Staff,       Artland",Original,"Comedy, Mystery",Super Power,23 min.,PG-13 - Teens 13 or older,2,,,
T.P BON,,6.93,8244,4503,5,ONA,Unknown,Currently Airing,"May 2, 2024 to Jul 17, 2024",Netflix,"None found, add some",Bones,Manga,"Action, Adventure, Sci-Fi","Historical, Time Travel",28 min.,R - 17+ (violence & profanity),19,,,
Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo,Space Pirate Captain Harlock: Riddle of the Arcadia Episode,6.93,7915,4506,6,Movie,1,Finished Airing,"Jul 22, 1978","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Drama, Sci-Fi",Space,35 min.,PG-13 - Teens 13 or older,7,,,
Shoujo☆Kageki Revue Starlight Specials,Revue Starlight Specials,6.93,6891,4501,8,Special,3,Finished Airing,"Oct 24, 2018 to Feb 27, 2019",Bushiroad,Sentai Filmworks,Kinema Citrus,Original,Comedy,Performing Arts,8 min. per ep.,PG-13 - Teens 13 or older,7,,,
Starmyu in Halloween,,6.93,9459,4502,3,OVA,1,Finished Airing,"Oct 24, 2018",NBCUniversal Entertainment Japan,"None found, add some","None found, add some",Original,,"Idols (Male), Music, Performing Arts, School",26 min.,None,13,,,
Tsukuyomi: Moon Phase,,6.93,2465,4505,77,TV,25,Finished Airing,"Oct 5, 2004 to Mar 29, 2005","None found, add some",Funimation,Shaft,Manga,"Comedy, Fantasy, Romance",Vampire,24 min. per ep.,PG-13 - Teens 13 or older,270,Fall 2004,Tuesdays at 01:30 (JST),Seinen
World Destruction: Sekai Bokumetsu no Rokunin,Sands of Destruction,6.93,3065,4508,52,TV,13,Finished Airing,"Jul 8, 2008 to Sep 30, 2008","Sega,       Geneon Entertainment",Funimation,Production I.G,Game,"Adventure, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,112,Summer 2008,Unknown,
VS Knight Lamune & 40 Fire,,6.93,9373,4507,3,TV,26,Finished Airing,"Apr 3, 1996 to Sep 25, 1996","TV Tokyo,       Asatsu DK","Directions,       Discotek Media",Ashi Productions,Original,"Action, Comedy, Fantasy",Mecha,23 min. per ep.,PG-13 - Teens 13 or older,21,Spring 1996,Wednesdays at 18:30 (JST),
Wu Geng Ji 4th Season,,6.93,12010,4509,1,ONA,24,Finished Airing,"Jul 22, 2021 to Dec 23, 2021",Tencent Penguin Pictures,"None found, add some",Sparkly Key Animation Studio,Manga,"Action, Fantasy, Supernatural","Historical, Martial Arts",17 min. per ep.,PG-13 - Teens 13 or older,12,,,
You Shou Yan,Fabulous Beasts,6.93,15106,4512,645,ONA,12,Finished Airing,"Apr 14, 2023 to Jun 23, 2023",bilibili,"None found, add some",Fenz,Manga,"Comedy, Fantasy",,6 min. per ep.,PG-13 - Teens 13 or older,10,,,
Xi You Ji,Journey to the West: Legends of the Monkey King,6.93,13348,4511,1,TV,52,Finished Airing,"Jul 23, 1999 to Jan 15, 2000",CCTV Animation,"None found, add some","None found, add some",Novel,"Adventure, Fantasy",,22 min. per ep.,PG - Children,7,Summer 1999,Unknown,
Xi Xing Ji: Jijie Pian,The Westward 2nd Season,6.93,12997,4510,1,ONA,22,Finished Airing,"Sep 28, 2019 to Jan 31, 2020",Tencent Penguin Pictures,"None found, add some",BYMENT,Manga,"Action, Adventure, Fantasy","Historical, Martial Arts",14 min. per ep.,PG-13 - Teens 13 or older,6,,,
"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",Beast Tamer,6.93,1238,4514,194,TV,13,Finished Airing,"Oct 2, 2022 to Dec 25, 2022","Square Enix,       Nippon Columbia,       Nikkatsu,       Crunchyroll,       Yomiuri TV Enterprise,       Jinnan Studio,       Hakuhodo,       Muse Communication","None found, add some",EMT Squared,Web manga,"Action, Fantasy",Harem,23 min. per ep.,PG-13 - Teens 13 or older,"1,033",Fall 2022,Sundays at 22:00 (JST),
Yu☆Gi☆Oh! 5D's: Shinkasuru Kettou! Stardust vs. Red Demon's,,6.93,6265,4513,10,Special,1,Finished Airing,"Sep 21, 2008 to Nov 23, 2008","None found, add some","None found, add some",Gallop,Manga,"Fantasy, Sci-Fi",Strategy Game,28 min.,PG-13 - Teens 13 or older,7,,,
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",I've Been Killing Slimes for 300 Years and Maxed Out My Level,6.92,610,4516,384,TV,12,Finished Airing,"Apr 10, 2021 to Jun 26, 2021","Square Enix,       Movic,       AT-X,       Nippon Columbia,       KlockWorx,       Studio Mausu,       Bushiroad,       Hakuhodo DY Music & Pictures,       Medicos Entertainment,       BS11,       DMM.com,       SB Creative","None found, add some",Revoroot,Light novel,"Comedy, Fantasy","CGDCT, Isekai, Reincarnation",23 min. per ep.,PG-13 - Teens 13 or older,"2,137",Spring 2021,Saturdays at 21:00 (JST),
Shinpi no Sekai El-Hazard (TV),El-Hazard: The Wanderers,6.92,5036,4515,18,TV,26,Finished Airing,"Oct 6, 1995 to Mar 29, 1996","TV Tokyo,       SoftX,       Pioneer LDC,       TV Tokyo Music,       Atelier Musa","Nozomi Entertainment,       Geneon Entertainment USA",AIC,Original,"Adventure, Comedy, Fantasy, Romance",Isekai,23 min. per ep.,PG-13 - Teens 13 or older,37,Fall 1995,Fridays at 18:30 (JST),
Taiyou no Yuusha Fighbird,Brave of the Sun Fighbird,6.92,9010,4518,4,TV,48,Finished Airing,"Feb 2, 1991 to Feb 1, 1992","Nagoya Broadcasting Network,       Tokyu Agency","None found, add some",Sunrise,Original,"Action, Sci-Fi",Mecha,23 min. per ep.,G - All Ages,12,Winter 1991,Unknown,
Strike the Blood: Kieta Seisou-hen,,6.92,4042,4517,30,OVA,1,Finished Airing,"Jan 29, 2020","Movic,       Magic Capsule,       Warner Bros. Japan,       KlockWorx,       Hakuhodo DY Music & Pictures,       Kadokawa","None found, add some",Connect,Light novel,"Action, Fantasy, Ecchi","Harem, Vampire",26 min.,R+ - Mild Nudity,29,,,
