Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
Friends: Mononoke Shima no Naki,Friends: Naki of Monster Island,6.88,12474,4754,1,Movie,1,Finished Airing,"Dec 17, 2011","Sony Music Entertainment,       Yahoo! Japan","None found, add some","Shirogumi,       Robot Communications",Novel,"Comedy, Fantasy",Kids,1 hr. 27 min.,PG - Children,7,,,
Croket!,,6.88,12135,4751,1,TV,104,Finished Airing,"Apr 7, 2003 to Mar 27, 2005","TV Tokyo,       Shogakukan-Shueisha Productions","None found, add some",OLM,Manga,"Action, Adventure, Comedy, Fantasy",Kids,20 min. per ep.,G - All Ages,4,Spring 2003,Mondays at 18:30 (JST),
"Futsuu no Joshikousei ga [Locodol] Yattemita.: Nagarekawa, Annai Shitemita.",,6.88,6347,4756,10,Special,1,Finished Airing,"Sep 24, 2014","None found, add some","None found, add some",feel.,4-koma manga,"Comedy, Slice of Life",,23 min.,PG-13 - Teens 13 or older,3,,,Idols (Female)
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,Fate/Grand Order: Divine Realm of the Round Table - Camelot Wandering; Agateram,6.88,2229,4752,90,Movie,1,Finished Airing,"Dec 5, 2020","Production I.G,       Aniplex,       Notes,       Delightworks",Aniplex of America,Signal.MD,Game,"Action, Fantasy, Supernatural",,1 hr. 29 min.,PG-13 - Teens 13 or older,157,,,
Futsuu no Joshikousei ga [Locodol] Yattemita.,Locodol,6.88,3266,4755,46,TV,12,Finished Airing,"Jul 4, 2014 to Sep 19, 2014","TBS,       DAX Production,       Nippon Columbia,       Overlap,       Fuji Creative,       Ichijinsha",Sentai Filmworks,feel.,4-koma manga,"Comedy, Slice of Life",,24 min. per ep.,PG-13 - Teens 13 or older,76,Summer 2014,Fridays at 02:16 (JST),Idols (Female)
Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials,Fate/Kaleid Liner Prisma Illya 2Wei Herz! Shorts,6.88,3670,4753,37,Special,5,Finished Airing,"Sep 25, 2015 to Jan 29, 2016","Lantis,       DAX Production",Sentai Filmworks,SILVER LINK.,Manga,"Comedy, Ecchi",,6 min. per ep.,PG-13 - Teens 13 or older,20,,,Mahou Shoujo
Girls & Panzer: Kore ga Hontou no Anzio-sen desu! - Fushou Akiyama Yukari no Sensha Kouza,,6.88,8685,4759,4,Special,1,Finished Airing,"Jul 25, 2014","None found, add some","None found, add some","None found, add some",Original,,,13 min.,PG-13 - Teens 13 or older,2,,,"Educational, Military, School"
Girigiri Warukunai Watame,Watame Did Borderline Nothing Wrong,6.88,12913,4758,1,ONA,Unknown,Currently Airing,"Jan 7, 2022 to ?","None found, add some","None found, add some",Hololive Production,Original,Comedy,,20 sec.,PG-13 - Teens 13 or older,4,,,
Guilty Crown: Lost Christmas - An Episode of Port Town,Guilty Crown: Lost Christmas,6.88,2106,4761,98,OVA,1,Finished Airing,"Jul 26, 2012",Nitroplus,"None found, add some",Production I.G,Original,"Action, Drama, Sci-Fi",,14 min.,R - 17+ (violence & profanity),72,,,Super Power
Genjitsu no Yohane: Sunshine in the Mirror,Yohane the Parhelion: Sunshine in the Mirror,6.88,3662,4757,37,TV,13,Finished Airing,"Jul 2, 2023 to Sep 24, 2023","Lantis,       Bushiroad,       Kadokawa,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some",Sunrise,Other,Fantasy,,23 min. per ep.,PG-13 - Teens 13 or older,177,Summer 2023,Sundays at 22:30 (JST),"Idols (Female), Music"
