Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Demographics,Themes
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job",6.81,786,5101,307,TV,12,Finished Airing,"Oct 5, 2013 to Dec 21, 2013",Fall 2013,Saturdays at 01:30 (JST),"Lantis,       Kadokawa Shoten,       Rakuonsha,       KlockWorx,       chara-ani.com,       Docomo Anime Store,       Fujimi Shobo",Sentai Filmworks,asread.,Light novel,"Comedy, Fantasy, Romance, Ecchi",24 min. per ep.,R+ - Mild Nudity,547,,
Toaru Kagaku no Railgun S: Daiji na Koto wa Zenbu Sentou ni Osowatta,A Certain Scientific Railgun S: All the Important Things I Learned in a Bathhouse,6.80,3864,5105,33,OVA,1,Finished Airing,"Mar 25, 2014",,,"None found, add some","None found, add some",J.C.Staff,Manga,Comedy,6 min.,PG-13 - Teens 13 or older,21,,
The☆Doraemons: The Mysterious Thief Dorapan The Mysterious Cartel,,6.80,10387,5104,2,Movie,1,Finished Airing,"Mar 8, 1997",,,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Comedy, Fantasy, Sci-Fi",31 min.,PG - Children,2,"KidsKids,         ShounenShounen",
Tsubasa to Hotaru,,6.80,5328,5106,16,Special,1,Finished Airing,"Mar 16, 2014",,,Shueisha,"None found, add some",J.C.Staff,Manga,Romance,14 min.,G - All Ages,18,Shoujo,School
Taimadou Gakuen 35 Shiken Shoutai,Anti-Magic Academy: The 35th Test Platoon,6.80,769,5103,313,TV,12,Finished Airing,"Oct 8, 2015 to Dec 24, 2015",Fall 2015,Thursdays at 01:05 (JST),"KlockWorx,       MAGES.,       Glovision,       Kadokawa Media House,       Kadokawa,       Heiwa",Discotek Media,SILVER LINK.,Light novel,"Action, Fantasy, Romance, Ecchi",23 min. per ep.,R - 17+ (violence & profanity),484,,"Harem, Military"
Shinmai Maou no Testament Burst,The Testament of Sister New Devil: Burst,6.80,574,5102,402,TV,10,Finished Airing,"Oct 10, 2015 to Dec 12, 2015",Fall 2015,Saturdays at 01:40 (JST),"Kadokawa Shoten,       Nippon Columbia","Funimation,       Crunchyroll",Production IMS,Light novel,"Action, Fantasy, Romance, Ecchi",23 min. per ep.,R+ - Mild Nudity,590,,"Harem, Mythology"
UFO Princess Valkyrie: Shichiten Battou Hanayome Shuugyou,,6.80,9107,5107,4,Special,1,Finished Airing,"Aug 23, 2003",,,"Media Factory,       Nippon Columbia,       KlockWorx,       Toshiba Entertainment",ADV Films,TNK,Manga,"Comedy, Romance, Sci-Fi",24 min.,PG-13 - Teens 13 or older,1,,
Xing Wushen Jue 2nd Season,,6.80,13576,5108,1,ONA,40,Finished Airing,"Jun 24, 2022 to Oct 28, 2022",,,iQIYI,"None found, add some",Ruo Hong Culture,Web novel,"Action, Fantasy",7 min. per ep.,PG-13 - Teens 13 or older,2,,Martial Arts
Zuori Qing Kong,Crystal Sky of Yesterday,6.80,6008,5109,11,Movie,1,Finished Airing,"Oct 26, 2018",,,"Beijing Enlight Pictures,       Horgos Coloroom Pictures Co., Ltd.","None found, add some","Nice Boat Animation,       Guton Animation Studio",Manga,"Drama, Romance, Slice of Life",1 hr. 22 min.,PG-13 - Teens 13 or older,22,,School
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,I’m Standing on a Million Lives Season 2,6.80,1444,5110,164,TV,12,Finished Airing,"Jul 10, 2021 to Sep 25, 2021",Summer 2021,Saturdays at 00:30 (JST),Warner Bros. Japan,"None found, add some",Maho Film,Manga,"Action, Drama, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,623,Shounen,Isekai
Ace wo Nerae! Final Stage,,6.80,10074,5111,3,OVA,12,Finished Airing,"Oct 25, 1989 to Apr 25, 1990",,,"None found, add some","None found, add some",Tokyo Movie Shinsha,Manga,"Drama, Sports",24 min. per ep.,PG-13 - Teens 13 or older,10,Shoujo,
Armitage III: Dual-Matrix,,6.80,4997,5112,19,Movie,1,Finished Airing,"Jun 25, 2002",,,Pioneer LDC,"Funimation,       Geneon Entertainment USA",AIC,Original,"Action, Sci-Fi",1 hr. 30 min.,R+ - Mild Nudity,22,,Mecha
Atom: The Beginning,,6.80,4001,5113,31,TV,12,Finished Airing,"Apr 15, 2017 to Jul 8, 2017",Spring 2017,Saturdays at 23:00 (JST),"NHK,       Tezuka Productions,       Studio Mausu,       NBCUniversal Entertainment Japan,       Hakuhodo DY Music & Pictures,       Fields",Sentai Filmworks,"Production I.G,       OLM,       Signal.MD",Manga,"Action, Sci-Fi",25 min. per ep.,PG-13 - Teens 13 or older,39,Seinen,
Baja no Studio: Baja no Mita Umi,,6.80,11573,5114,1,OVA,1,Finished Airing,"Feb 21, 2020",,,"None found, add some","None found, add some",Kyoto Animation,Original,,27 min.,G - All Ages,4,Kids,
Bem Movie: Become Human,,6.80,6098,5115,11,Movie,1,Finished Airing,"Oct 2, 2020",,,"TV Tokyo,       Pony Canyon,       KlockWorx,       flying DOG,       Glovision,       ADK","None found, add some",Production I.G,Original,"Action, Horror, Supernatural",1 hr. 30 min.,None,15,,Mythology
Crayon Shin-chan Movie 20: Arashi wo Yobu! Ora to Uchuu no Princess,,6.80,7970,5118,5,Movie,1,Finished Airing,"Apr 14, 2012",,,"None found, add some","None found, add some",Shin-Ei Animation,Manga,Comedy,1 hr. 50 min.,G - All Ages,0,Seinen,
Boku to Roboko,Me & Roboco,6.80,7087,5117,7,TV,28,Finished Airing,"Dec 5, 2022 to Jun 19, 2023",Winter 2023,Mondays at 00:30 (JST),Shueisha,"None found, add some",Gallop,Manga,"Comedy, Sci-Fi",3 min. per ep.,PG-13 - Teens 13 or older,30,Shounen,"Gag Humor, Parody"
Black★Rock Shooter (TV),Black Rock Shooter,6.80,673,5116,354,TV,8,Finished Airing,"Feb 3, 2012 to Mar 23, 2012",Winter 2012,Fridays at 00:45 (JST),"Aniplex,       Dentsu,       Fuji TV,       TOHO,       Ultra Super Pictures,       Sony Music Entertainment,       Fujipacific Music,       MAGES.,       Good Smile Company",Discotek Media,"Ordet,       SANZIGEN",Other,"Action, Drama, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,"2,243",,"School, Super Power"
Fumetsu no Anata e: Fushi no Tabiji,,6.80,5260,5120,16,TV Special,1,Finished Airing,"Jul 5, 2021",,,"NHK,       NHK Enterprises","None found, add some",Brain's Base,Manga,"Adventure, Drama, Supernatural",25 min.,R - 17+ (violence & profanity),102,Shounen,
Di Gi Charat,,6.80,4377,5119,25,TV,16,Finished Airing,"Nov 30, 1999 to Dec 24, 1999",Fall 1999,Not scheduled once per week,Broccoli,"Sentai Filmworks,       Synch-Point",Madhouse,Original,"Comedy, Fantasy, Sci-Fi",4 min. per ep.,G - All Ages,201,,"Gag Humor, Workplace"
Fushigi Yuugi: Eikouden,Mysterious Play: Eikoden,6.80,5074,5121,18,OVA,4,Finished Airing,"Dec 21, 2001 to Jun 25, 2002",,,"None found, add some","Media Blasters,       Geneon Entertainment USA",Pierrot,Manga,"Adventure, Drama, Fantasy, Romance",30 min. per ep.,PG-13 - Teens 13 or older,40,Shoujo,Isekai
Kannazuki no Miko,Destiny of the Shrine Maiden,6.80,2565,5123,72,TV,12,Finished Airing,"Oct 2, 2004 to Dec 18, 2004",Fall 2004,Saturdays at 00:30 (JST),"Studio Fantasia,       Remic,       Front Line,       Kodansha,       Rondo Robe,       Memory-Tech,       Toshiba Entertainment,       Geneon Entertainment","Sentai Filmworks,       Geneon Entertainment USA",TNK,Manga,"Drama, Girls Love, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,720,Shounen,Mecha
