,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
0,Classroom☆Crisis: Tabi no Haji wa Uwanuri,,6.38,7604,7465,6,Special,1,Finished Airing,"Dec 23, 2015","None found, add some","None found, add some",Lay-duce,Original,Sci-Fi,"School, Space",25 min.,PG-13 - Teens 13 or older,2,,,
1,Fastening Days,,6.38,7794,7466,6,ONA,1,Finished Airing,"Oct 30, 2014","None found, add some","None found, add some",Studio Colorido,Original,,,11 min.,G - All Ages,2,Kids,,
2,Fusha no Sha,To Shoot Without Shooting,6.38,13193,7468,1,Movie,1,Finished Airing,1988,Shanghai Animation Film Studio,"None found, add some","None found, add some",Other,"Adventure, Supernatural","Historical, Martial Arts, Samurai",25 min.,PG - Children,2,,,
3,Fatal Fury: Legend of the Hungry Wolf,,6.38,6091,7467,11,TV Special,1,Finished Airing,"Dec 23, 1992","Nihon Ad Systems,       Studio Jack","VIZ Media,       Discotek Media",Studio Comet,Game,"Action, Adventure, Drama, Romance",Martial Arts,45 min.,PG-13 - Teens 13 or older,18,,,
4,Gakkou no Kaidan (OVA),,6.38,11984,7469,1,OVA,10,Finished Airing,"Jul 6, 2005 to Aug 15, 2009","None found, add some","None found, add some","Trinet Entertainment,       WAO World,       Studio Ranmaru",Mixed media,"Comedy, Horror, Mystery, Supernatural",,10 min. per ep.,PG-13 - Teens 13 or older,3,,,
5,Gurazeni,Gurazeni: Money Pitch,6.38,5984,7471,12,TV,12,Finished Airing,"Apr 6, 2018 to Jun 22, 2018","Kodansha,       Ai Addiction,       SKY PerfecTV!","None found, add some",Studio Deen,Manga,Sports,"Adult Cast, Team Sports",23 min. per ep.,PG-13 - Teens 13 or older,14,Seinen,Spring 2018,Fridays at 22:30 (JST)
6,Hajime Ningen Gon,,6.38,12618,7472,1,TV,39,Finished Airing,"Apr 3, 1996 to Jan 22, 1997","None found, add some","None found, add some",Pierrot,Manga,Comedy,Historical,25 min. per ep.,G - All Ages,5,,Spring 1996,Wednesdays at 18:00 (JST)
7,Gamera: Rebirth,,6.38,9213,7470,4,ONA,6,Finished Airing,"Sep 7, 2023",Kadokawa,"None found, add some",ENGI,Other,Sci-Fi,,44 min. per ep.,PG-13 - Teens 13 or older,14,,,
8,Hakushaku to Yousei Specials,,6.38,6722,7473,9,Special,6,Finished Airing,"Dec 26, 2008 to May 29, 2009","None found, add some","None found, add some",Artland,Light novel,"Adventure, Fantasy",Historical,2 min. per ep.,PG-13 - Teens 13 or older,8,,,
9,Hashiri Tsuzukete Yokatta tte.,I'm glad I could keep running.,6.38,5863,7474,12,TV,4,Finished Airing,"Oct 9, 2018 to Oct 30, 2018","DAX Production,       Twin Planet","None found, add some",Signal.MD,Original,"Drama, Slice of Life",,15 min. per ep.,PG-13 - Teens 13 or older,12,,Fall 2018,Tuesdays at 02:40 (JST)
10,High School Mystery: Gakuen Nanafushigi,,6.38,11514,7475,1,TV,41,Finished Airing,"Apr 12, 1991 to Mar 13, 1992",Studio Comet,"None found, add some","None found, add some",Unknown,"Horror, Mystery",,25 min. per ep.,R - 17+ (violence & profanity),5,,Spring 1991,Unknown
11,Himeyuri,,6.38,12887,7476,1,Movie,1,Finished Airing,"Jun 23, 2012","Himeyuri Alumnae Incorporated Foundation,       ASIA Documentary Productions","None found, add some","None found, add some",Original,Drama,Historical,31 min.,G - All Ages,2,,,
12,Ikkitousen,Ikki Tousen: Battle Vixens,6.38,1434,7477,165,TV,13,Finished Airing,"Jul 30, 2003 to Oct 22, 2003","Genco,       Media Factory,       AT-X","Funimation,       Geneon Entertainment USA",J.C.Staff,Manga,"Action, Ecchi","Martial Arts, School, Super Power",24 min. per ep.,R+ - Mild Nudity,434,Seinen,Summer 2003,Wednesdays at 11:30 (JST)
13,IS: Infinite Stratos 2 - Infinite Wedding,,6.38,3844,7478,33,Special,1,Finished Airing,"Jun 30, 2016","None found, add some",Sentai Filmworks,8bit,Light novel,"Comedy, Romance",Harem,24 min.,PG-13 - Teens 13 or older,24,,,
14,Kagirinaki Rakuen,,6.38,15819,7479,542,Movie,1,Finished Airing,1981,"None found, add some","None found, add some","None found, add some",Original,Slice of Life,,40 min.,R - 17+ (violence & profanity),5,,,
15,Kidou Senshi Gundam: Hikaru Inochi Chronicle U.C.,Mobile Suit Gundam: The Light of Life Chronicle U.C.,6.38,10243,7480,2,Special,1,Finished Airing,"Sep 26, 2019","None found, add some","None found, add some",Sunrise,Original,Drama,"Mecha, Military",44 min.,PG-13 - Teens 13 or older,0,,,
16,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryou-san to Chuuken Lucky Monogatari - Kameari Dai Houimou wo Kawase!!,,6.38,15110,7481,644,Special,1,Finished Airing,"Oct 23, 2005","None found, add some","None found, add some",Gallop,Manga,Comedy,"Adult Cast, Detective",20 min.,PG-13 - Teens 13 or older,0,Shounen,,
17,Mahoutsukai Reimeiki,The Dawn of the Witch,6.38,1491,7482,157,TV,12,Finished Airing,"Apr 8, 2022 to Jul 1, 2022","TBS,       Kodansha,       NBCUniversal Entertainment Japan,       BS11,       Nichion,       NichiNare,       DMM pictures,       Bit grooove promotion",Crunchyroll,Tezuka Productions,Light novel,"Action, Adventure, Comedy, Fantasy",Anthropomorphic,24 min. per ep.,PG-13 - Teens 13 or older,755,,Spring 2022,Fridays at 01:58 (JST)
18,Majime ni Fumajime Kaiketsu Zorori: Nazo no Otakara Daisakusen,,6.38,14409,7483,790,Movie,1,Finished Airing,"Mar 11, 2006",Nagoya Broadcasting Network,"None found, add some","Sunrise,       Ajia-do",Unknown,"Adventure, Comedy",,53 min.,G - All Ages,2,,,
19,Meitantei Conan: Amuro Secret Call,Detective Conan: Amuro Secret Call,6.38,10515,7484,2,Special,1,Finished Airing,"Oct 3, 2018","None found, add some","None found, add some",TMS Entertainment,Manga,"Comedy, Mystery",Detective,2 min.,PG-13 - Teens 13 or older,2,,,
20,Nurse Witch Komugi-chan Magikarte Special,,6.38,7909,7486,6,Special,1,Finished Airing,"Jun 6, 2003","Rondo Robe,       Pioneer LDC,       Toshiba Entertainment",ADV Films,"Kyoto Animation,       Tatsunoko Production",Original,Comedy,"Mahou Shoujo, Parody",27 min.,PG-13 - Teens 13 or older,3,,,
