,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
0,Seireitsukai no Blade Dance Specials,Blade Dance of the Elementalers Specials,6.61,3652,6149,38,Special,6,Finished Airing,"Oct 8, 2014 to Mar 4, 2015","None found, add some","None found, add some",TNK,Light novel,"Action, Comedy, Fantasy, Ecchi",School,3 min. per ep.,PG-13 - Teens 13 or older,22,,,
1,Renai Boukun,Love Tyrant,6.61,639,6147,370,TV,12,Finished Airing,"Apr 7, 2017 to Jun 23, 2017","TV Tokyo,       Sotsu,       Half H.P Studio,       KlockWorx,       DIVE II Entertainment,       Avex Pictures,       bilibili,       Crunchyroll",Funimation,EMT Squared,Web manga,"Comedy, Romance, Supernatural","Harem, School",23 min. per ep.,PG-13 - Teens 13 or older,663,Spring 2017,Fridays at 02:35 (JST),
2,Ranma ½: 1994 Music Calendar,,6.61,9400,6146,3,OVA,1,Finished Airing,1993,"None found, add some","None found, add some",Kitty Film Mitaka Studio,Manga,"Comedy, Slice of Life",Martial Arts,20 min.,PG-13 - Teens 13 or older,2,,,
3,Seigi wo Aisuru Mono Gekkou Kamen,,6.61,12491,6148,1,TV,39,Finished Airing,"Jan 10, 1972 to Oct 2, 1972","None found, add some","None found, add some",Knack Productions,Unknown,"Action, Mystery",,25 min. per ep.,PG-13 - Teens 13 or older,3,Winter 1972,Unknown,
4,Shamanic Princess,,6.61,5554,6150,14,OVA,6,Finished Airing,"Jun 25, 1996 to Jun 25, 1998","Bandai Visual,       animate Film,       Movic","Media Blasters,       Central Park Media",Triangle Staff,Original,"Action, Fantasy, Romance",,30 min. per ep.,PG-13 - Teens 13 or older,65,,,
5,Shingeki no Kyojin Picture Drama,"Attack on Titan: Chibi Theater - Fly, Cadets, Fly!",6.61,2933,6151,56,Special,9,Finished Airing,"Jul 17, 2013 to Mar 19, 2014","Production I.G,       Wit Studio",Funimation,Studio Moriken,Manga,Comedy,Parody,10 min. per ep.,PG-13 - Teens 13 or older,76,,,
6,Shinmai Renkinjutsushi no Tenpo Keiei,Management of a Novice Alchemist,6.61,2652,6152,68,TV,12,Finished Airing,"Oct 3, 2022 to Dec 19, 2022","AT-X,       Nippon Columbia,       Sammy,       Kadokawa,       Kill Time Communication",Sentai Filmworks,ENGI,Light novel,"Adventure, Fantasy, Slice of Life",,23 min. per ep.,PG-13 - Teens 13 or older,220,Fall 2022,Mondays at 21:00 (JST),
7,Strike Witches: 501 Butai Hasshin Shimasu!,Strike Witches: 501st JOINT FIGHTER WING Take Off!,6.61,4917,6153,19,TV,12,Finished Airing,"Apr 10, 2019 to Jun 26, 2019","Nippon Columbia,       Glovision,       Anime Beans",Funimation,"Acca effe,       Giga Production",Manga,"Comedy, Sci-Fi","CGDCT, Military",13 min. per ep.,PG-13 - Teens 13 or older,29,Spring 2019,Wednesdays at 00:45 (JST),Shounen
8,Tanken Driland,,6.61,7479,6154,6,TV,37,Finished Airing,"Jul 7, 2012 to Mar 30, 2013","TV Tokyo,       Dentsu,       GREE","None found, add some",Toei Animation,Game,"Adventure, Fantasy",,20 min. per ep.,PG - Children,23,Summer 2012,Unknown,
9,Teekyuu 7,Teekyu 7,6.61,5197,6155,17,TV,12,Finished Airing,"Jan 12, 2016 to Mar 29, 2016","DAX Production,       Earth Star Entertainment","None found, add some",Millepensee,Manga,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,13,Winter 2016,Tuesdays at 01:05 (JST),Shounen
