,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
0,Mahoutsukai Sally,Sally the Witch,6.51,8509,6720,5,TV,109,Finished Airing,"Dec 5, 1966 to Dec 30, 1968",Winter 1967,Mondays at 19:00 (JST),"None found, add some","None found, add some",Toei Animation,Manga,Fantasy,"Mahou Shoujo, School",Shoujo,25 min. per ep.,G - All Ages,19
1,Mahou Shoujo Lalabel,,6.51,10328,6719,2,TV,49,Finished Airing,"Feb 15, 1980 to Feb 27, 1981",Winter 1980,Unknown,"None found, add some","None found, add some",Toei Animation,Original,"Comedy, Slice of Life",Mahou Shoujo,,24 min. per ep.,G - All Ages,6
2,Megami-ryou no Ryoubo-kun.,Mother of the Goddess' Dormitory,6.51,1223,6721,197,TV,10,Finished Airing,"Jul 14, 2021 to Sep 15, 2021",Summer 2021,Wednesdays at 23:30 (JST),"AT-X,       Kadokawa Media House,       Kadokawa",Sentai Filmworks,asread.,Manga,"Comedy, Romance, Ecchi",Harem,Shounen,24 min. per ep.,R+ - Mild Nudity,"1,267"
3,Megaton-kyuu Musashi 2nd Season,,6.51,9002,6722,4,TV,15,Finished Airing,"Oct 7, 2022 to Mar 17, 2023",Fall 2022,Fridays at 22:00 (JST),"None found, add some","None found, add some",OLM,Mixed media,"Action, Sci-Fi","Mecha, School",,27 min. per ep.,PG-13 - Teens 13 or older,14
4,Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,Merc Storia: The Apathetic Boy and the Girl in a Bottle,6.51,4016,6723,31,TV,12,Finished Airing,"Oct 11, 2018 to Dec 27, 2018",Fall 2018,Thursdays at 22:30 (JST),Happy Elements,"None found, add some",Encourage Films,Game,"Action, Adventure, Fantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,47
5,Monster Musume no Iru Nichijou: Hobo Mainichi ◯◯! Namappoi Douga,Monster Musume: Almost Daily ◯◯! Sort of Live Video,6.51,3198,6724,48,ONA,60,Finished Airing,"Jul 8, 2015 to Sep 29, 2015",,,TOHO animation,Sentai Filmworks,Lerche,Manga,"Comedy, Fantasy",Anthropomorphic,Seinen,34 sec. per ep.,PG-13 - Teens 13 or older,54
6,Naisho no Tsubomi,,6.51,6972,6725,8,OVA,3,Finished Airing,"Apr 25, 2008 to Jun 27, 2008",,,Happinet Pictures,Sentai Filmworks,Studio Kikan,Manga,Romance,School,Shoujo,27 min. per ep.,PG - Children,8
7,Night Head 2041,,6.51,3313,6726,45,TV,12,Finished Airing,"Jul 15, 2021 to Sep 30, 2021",Summer 2021,Thursdays at 00:55 (JST),"Fuji TV,       Slow Curve,       BS Fuji,       Hakuhodo DY Media Partners,       Office ENDLESS","None found, add some",Shirogumi,Other,"Drama, Mystery, Sci-Fi, Supernatural",Psychological,,22 min. per ep.,R - 17+ (violence & profanity),312
8,Osomatsu-san: Hipipo-Zoku to Kagayaku Kajitsu,,6.51,10747,6727,2,Movie,1,Finished Airing,"Jul 8, 2022",,,Avex Pictures,"None found, add some",Pierrot,Original,Comedy,"Gag Humor, Parody",,1 hr. 7 min.,R - 17+ (violence & profanity),1
9,Otogi Story Tenshi no Shippo,Angel Tales,6.51,5356,6728,15,TV,12,Finished Airing,"Oct 4, 2001 to Dec 20, 2001",Fall 2001,Unknown,Lantis,Bandai Entertainment,Tokyo Kids,Original,"Comedy, Fantasy, Romance",Harem,,22 min. per ep.,PG-13 - Teens 13 or older,26
10,Persona 4 the Golden Animation: Thank you Mr. Accomplice,,6.51,5743,6729,13,Special,1,Finished Airing,"Dec 10, 2014",,,"None found, add some",Aniplex of America,A-1 Pictures,Game,"Adventure, Drama, Mystery, Supernatural",,,16 min.,PG-13 - Teens 13 or older,12
11,Persona: Trinity Soul,,6.51,2350,6730,83,TV,26,Finished Airing,"Jan 5, 2008 to Jun 28, 2008",Winter 2008,Saturdays at 22:30 (JST),Aniplex,"NIS America, Inc.",A-1 Pictures,Original,"Action, Mystery, Sci-Fi, Supernatural",Super Power,,23 min. per ep.,PG-13 - Teens 13 or older,169
12,Phantasy Star Online 2: Episode Oracle,,6.51,4372,6731,26,TV,25,Finished Airing,"Oct 7, 2019 to Mar 30, 2020",Fall 2019,Mondays at 22:30 (JST),"Frontier Works,       Pony Canyon,       Sega,       Tokyo MX,       Sammy,       Studio Kai,       ADK Emotions,       Sega Games",Funimation,Gonzo,Game,"Action, Sci-Fi",Space,,23 min. per ep.,PG-13 - Teens 13 or older,39
13,Phantom: Requiem for the Phantom Picture Drama,,6.51,7075,6732,8,Special,9,Finished Airing,"Jul 24, 2009 to Feb 25, 2010",,,Genco,Funimation,Bee Train,Visual novel,Comedy,,,6 min. per ep.,R+ - Mild Nudity,16
14,Pokemon Movie 17: Hakai no Mayu to Diancie,Pokémon the Movie: Diancie and the Cocoon of Destruction,6.51,3205,6733,48,Movie,1,Finished Airing,"Jul 19, 2014",,,"None found, add some",The Pokemon Company International,OLM,Game,"Adventure, Fantasy",,Kids,1 hr. 15 min.,PG - Children,9
15,Qiang Shen Ji: Xuezu Mishi Pian,,6.51,16099,6734,512,ONA,12,Finished Airing,"Dec 15, 2019 to Feb 23, 2020",,,"None found, add some","None found, add some",Mokai Technology,Game,"Action, Sci-Fi",,,20 min. per ep.,PG-13 - Teens 13 or older,1
16,Qin Shi Mingyue: Tian Xing Jiu Ge 2nd Season,,6.51,12748,6735,1,ONA,30,Finished Airing,"Apr 24, 2019 to Nov 8, 2019",,,"None found, add some","None found, add some",Sparkly Key Animation Studio,Original,"Action, Fantasy","Historical, Martial Arts",,15 min. per ep.,PG-13 - Teens 13 or older,2
17,Sakugan,,6.51,2070,6736,101,TV,12,Finished Airing,"Oct 7, 2021 to Dec 23, 2021",Fall 2021,Thursdays at 23:30 (JST),"VAP,       Sotsu,       Mainichi Broadcasting System,       Bandai,       Asmik Ace,       Tohokushinsha Film Corporation,       Sammy,       DeNA,       Nippon Cultural Broadcasting,       Bandai Namco Arts,       Bandai Spirits,       NetEase,       Fosun Entertainment Japan","None found, add some",Satelight,Novel,"Action, Adventure, Sci-Fi","Childcare, Mecha",,23 min. per ep.,PG-13 - Teens 13 or older,273
18,Seikimatsu Occult Gakuin Specials,Occult Academy Specials,6.51,6319,6737,10,Special,4,Finished Airing,"Oct 27, 2010 to Jan 26, 2011",,,"Aniplex,       Xebec","NIS America, Inc.",A-1 Pictures,Original,"Comedy, Supernatural",School,,3 min. per ep.,PG-13 - Teens 13 or older,1
19,Shin Koihime†Musou: Live Revolution,,6.51,8195,6738,5,OVA,1,Finished Airing,"Mar 17, 2010",,,Marvelous Entertainment,"None found, add some",Doga Kobo,Visual novel,Ecchi,"Idols (Female), Music",,22 min.,PG-13 - Teens 13 or older,2
20,Sorairo Utility,,6.51,5583,6739,14,TV Special,1,Finished Airing,"Dec 31, 2021",,,"None found, add some","None found, add some",Yostar Pictures,Original,Sports,CGDCT,,14 min.,PG-13 - Teens 13 or older,30
