,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
0,Jing: Shuang Cheng - Feng Qi Pian,The Mirror: Twin Cities - Overture,6.49,12902,6879,1,ONA,4,Finished Airing,"Aug 15, 2020 to Aug 22, 2020","Foch Films,       Tencent Penguin Pictures","None found, add some","None found, add some",Novel,"Action, Adventure, Fantasy, Romance",21 min. per ep.,R - 17+ (violence & profanity),12,,,,
1,Hua Jianghu: Huan Shi Men Sheng,,6.49,12182,6877,1,ONA,20,Finished Airing,"Sep 14, 2017 to Jan 25, 2018","None found, add some","None found, add some",Rocen,Original,"Drama, Fantasy, Mystery, Romance",22 min. per ep.,R - 17+ (violence & profanity),8,Martial Arts,,,
2,Amon: Devilman Mokushiroku,Amon: Apocalypse of Devilman,6.48,4439,6880,25,OVA,1,Finished Airing,"May 24, 2000","Aniplex,       Dynamic Planning","None found, add some",Studio Live,Manga,"Horror, Supernatural",45 min.,R+ - Mild Nudity,135,"Gore, Mythology, Psychological",Seinen,,
3,Imouto sae Ireba Ii. (ONA),,6.49,5575,6878,14,ONA,6,Finished Airing,"Oct 8, 2017 to Dec 10, 2017","None found, add some","None found, add some",SILVER LINK.,Light novel,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,10,,,,
4,Astarotte no Omocha!,Astarotte's Toy,6.48,1570,6881,147,TV,12,Finished Airing,"Apr 11, 2011 to Jun 26, 2011","Kadokawa Shoten,       Pony Canyon,       DAX Production,       KlockWorx,       ASCII Media Works","None found, add some",Diomedéa,Manga,"Comedy, Fantasy, Romance, Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,238,"Harem, Isekai",Seinen,Spring 2011,Unknown
5,Black Jack ONA,,6.48,10099,6882,2,ONA,12,Finished Airing,"Jan 8, 2001 to Jan 1, 2002","None found, add some","None found, add some","None found, add some",Manga,Drama,16 min. per ep.,PG - Children,0,Medical,,,
6,Break Blade: Virgins War,,6.48,8767,6883,4,Special,1,Finished Airing,"Aug 26, 2014",Bandai Visual,"None found, add some","Production I.G,       Xebec",Manga,Action,5 min.,R - 17+ (violence & profanity),2,Adult Cast,,,
7,Bus Gamer,,6.48,4206,6884,28,TV,3,Finished Airing,"Mar 15, 2008 to Mar 29, 2008","Square Enix,       Frontier Works,       Sotsu,       Studio Izena","None found, add some",Anpro,Manga,"Action, Drama, Mystery",23 min. per ep.,PG-13 - Teens 13 or older,48,Strategy Game,Shounen,Winter 2008,Saturdays at 02:30 (JST)
8,Canaan: Minorikawa Report 201X Shanghai,Canaan: Minorikawa Report Year 201X Shanghai,6.48,6939,6885,8,Special,1,Finished Airing,"Feb 26, 2010","None found, add some","None found, add some",P.A. Works,Visual novel,"Action, Mystery, Sci-Fi, Supernatural",12 min.,R - 17+ (violence & profanity),2,"Adult Cast, Super Power",,,
9,Cardfight!! Vanguard Gaiden: If,,6.48,8947,6886,4,TV,25,Finished Airing,"May 30, 2020 to Nov 28, 2020","None found, add some","None found, add some",OLM,Original,"Action, Adventure, Comedy",24 min. per ep.,PG-13 - Teens 13 or older,11,"Mythology, Parody, Strategy Game",,Spring 2020,Saturdays at 08:00 (JST)
10,Dorami-chan: Mini-Dora SOS!!!,,6.48,13192,6887,1,Movie,1,Finished Airing,"Mar 11, 1989",Shin-Ei Animation,"None found, add some","None found, add some",Unknown,Fantasy,40 min.,G - All Ages,0,,Kids,,
11,Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito,Dragon Quest Great Adventure of Dai! Disciple of Aban.,6.48,10666,6888,2,Movie,1,Finished Airing,"Mar 7, 1992","None found, add some","None found, add some",Toei Animation,Game,"Action, Adventure, Fantasy",40 min.,PG-13 - Teens 13 or older,3,,Shounen,,
12,Dumbbell Nan Kilo Moteru?: Silverman-Gym Oni Tore Kouza,,6.48,8557,6889,5,Special,2,Finished Airing,"Nov 27, 2019 to Dec 25, 2019","None found, add some","None found, add some",Doga Kobo,Web manga,"Comedy, Ecchi",18 min. per ep.,PG-13 - Teens 13 or older,3,,,,
13,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,Is It Wrong to Try to Pick Up Girls in a Dungeon? II: Is It Wrong to go Searching for Herbs on a Deserted Island?,6.48,2007,6890,106,OVA,1,Finished Airing,"Jan 29, 2020","None found, add some",Sentai Filmworks,J.C.Staff,Light novel,"Adventure, Comedy, Fantasy, Ecchi",26 min.,PG-13 - Teens 13 or older,77,,,,
14,FLCL Alternative,,6.48,2124,6891,97,Movie,1,Finished Airing,"Sep 7, 2018","None found, add some","None found, add some","Production I.G,       Nut,       Revoroot",Original,"Action, Avant Garde, Comedy, Sci-Fi",2 hr. 15 min.,PG-13 - Teens 13 or older,127,"Mecha, Parody",,,
15,Gegege no Kitarou: Nippon Bakuretsu,Spooky Kitaro: Japan Explodes!!,6.48,12020,6892,1,Movie,1,Finished Airing,"Dec 20, 2008","None found, add some","None found, add some",Toei Animation,Unknown,"Action, Fantasy, Horror, Supernatural",1 hr. 23 min.,G - All Ages,1,,"KidsKids,         ShounenShounen",,
16,Gundam Evolve,,6.48,6048,6893,11,OVA,15,Finished Airing,"May 17, 2001 to Jan 26, 2007",Sotsu,Nozomi Entertainment,Sunrise,Original,"Action, Sci-Fi",7 min. per ep.,PG-13 - Teens 13 or older,11,"Mecha, Military, Space",,,
17,HenSemi,,6.48,4173,6894,28,OVA,2,Finished Airing,"Jul 23, 2010 to Mar 23, 2011",Starchild Records,"None found, add some",Xebec,Manga,"Comedy, Ecchi",26 min. per ep.,R+ - Mild Nudity,39,,Seinen,,
18,Henteko na Volunteer,,6.48,17416,6895,393,OVA,1,Finished Airing,1993,"None found, add some","None found, add some","None found, add some",Original,"Drama, Slice of Life",45 min.,G - All Ages,1,,,,
19,Iwa Kakeru! Sport Climbing Girls,,6.48,2157,6896,95,TV,12,Finished Airing,"Oct 4, 2020 to Dec 20, 2020","Lantis,       AT-X,       Magic Capsule,       KlockWorx,       Nagoya Broadcasting Network,       ABC Animation,       Cygames,       Bandai Namco Arts,       Happinet,       NetEase,       Heart Company","None found, add some",Blade,Web manga,Sports,23 min. per ep.,PG-13 - Teens 13 or older,193,School,,Fall 2020,Sundays at 02:00 (JST)
20,Junk Head 1,,6.48,16921,6897,429,Movie,1,Finished Airing,"Nov 16, 2013","None found, add some","None found, add some",Yamiken,Original,Sci-Fi,30 min.,R - 17+ (violence & profanity),1,,,,
21,K: Missing Kings - Manner Movie,,6.48,6924,6898,8,Movie,1,Finished Airing,"Jul 12, 2014",KlockWorx,"None found, add some",GoHands,Original,Comedy,1 min.,G - All Ages,21,,,,
22,Kagaku Ninja-tai Gatchaman F,Eagle Riders (2),6.48,10276,6899,2,TV,48,Finished Airing,"Oct 7, 1979 to Aug 31, 1980",Fuji TV,"Sentai Filmworks,       Saban Entertainment",Tatsunoko Production,Unknown,"Action, Adventure, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,5,,,Fall 1979,Unknown
23,Kamiarizuki no Kodomo,Child of Kamiari Month,6.48,4759,6900,21,Movie,1,Finished Airing,"Oct 8, 2021",ABC Animation,"None found, add some",LIDENFILMS,Original,Mystery,1 hr. 39 min.,G - All Ages,31,Mythology,,,
24,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,"Hensuki: Are you willing to Fall in Love with a Pervert, as long as she's a Cutie?",6.48,738,6901,327,TV,12,Finished Airing,"Jul 8, 2019 to Sep 23, 2019","AT-X,       Bandai Namco Live Creative,       GYAO!,       Kadokawa,       INCS toenter,       Bandai Namco Arts",Funimation,Geek Toys,Light novel,"Comedy, Romance, Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,939,"Harem, School",,Summer 2019,Mondays at 20:00 (JST)
25,Ketsuekigata-kun!,,6.48,6129,6902,11,TV,12,Finished Airing,"Apr 7, 2013 to Jun 23, 2013",Earth Star Entertainment,"None found, add some","feel.,       Assez Finaud Fabric",Web manga,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,15,,,Spring 2013,Sundays at 22:27 (JST)
26,Kidou Senshi Gundam AGE,Mobile Suit Gundam AGE,6.48,3906,6903,33,TV,49,Finished Airing,"Oct 9, 2011 to Sep 23, 2012","Sotsu,       Lantis,       Mainichi Broadcasting System,       Sony Music Entertainment",Nozomi Entertainment,Sunrise,Original,"Action, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,67,"Mecha, Space",,Fall 2011,Sundays at 17:00 (JST)
27,Kyoushirou to Towa no Sora Specials,,6.48,7992,6904,5,Special,6,Finished Airing,"Apr 25, 2007 to Sep 21, 2007","None found, add some",ADV Films,TNK,Manga,"Drama, Romance",4 min. per ep.,PG-13 - Teens 13 or older,9,,Shounen,,
28,Meiken Lassie: Yume ni Mukatte Hashire!,,6.48,16845,6905,437,Special,1,Finished Airing,"Feb 25, 1997","None found, add some","None found, add some",Nippon Animation,Novel,"Adventure, Slice of Life",23 min.,G - All Ages,0,Pets,Kids,,
29,Meitantei Conan: Hoshikage no Majutsushi,Detective Conan: The Magician of Starlight,6.48,10085,6906,3,Movie,1,Finished Airing,2012,"None found, add some","None found, add some",D & D Pictures,Manga,Sci-Fi,25 min.,G - All Ages,1,Space,,,
30,Miss Monochrome The Animation 2,,6.48,4786,6907,21,TV,13,Finished Airing,"Jul 3, 2015 to Sep 25, 2015","Starchild Records,       Magic Capsule",Crunchyroll,"SANZIGEN,       LIDENFILMS",Original,"Comedy, Slice of Life",7 min. per ep.,G - All Ages,7,"Idols (Female), Music",,Summer 2015,Fridays at 23:00 (JST)
31,Monster Special Edition,,6.48,10437,6908,2,TV Special,2,Finished Airing,"Dec 27, 2005 to Dec 28, 2005","None found, add some","None found, add some",Madhouse,Manga,"Drama, Mystery, Suspense",1 hr. 23 min. per ep.,R+ - Mild Nudity,2,"Adult Cast, Psychological",Seinen,,
32,Mu Wang Zhi Wang: Qi Lin Jue,,6.48,12844,6909,1,ONA,20,Finished Airing,"Jul 21, 2016 to Nov 24, 2016","None found, add some","None found, add some",BUILD DREAM,Original,"Action, Mystery, Romance",18 min. per ep.,PG-13 - Teens 13 or older,3,"Historical, Martial Arts",,,
33,Nomad: Megalo Box 2 Short Anime,Megalo Box 2: The Hummingbird and the Nomad,6.48,8945,6910,4,Special,1,Finished Airing,"Jul 28, 2021","None found, add some",Funimation,TMS Entertainment,Original,Drama,11 min.,PG-13 - Teens 13 or older,8,,,,
34,Nyoro-n Churuya-san,Nyoron! Churuya-san,6.48,4046,6911,30,ONA,13,Finished Airing,"Feb 13, 2009 to May 8, 2009",Kadokawa Shoten,"Funimation,       Bandai Entertainment",Kyoto Animation,4-koma manga,Comedy,2 min. per ep.,G - All Ages,46,,,,
35,Ore no Imouto ga Konnani Kawaii Wake ga Nai.: SD Chara ni Yoru Short Movie,,6.48,6126,6912,11,Special,13,Finished Airing,"Jun 19, 2013 to Jan 22, 2014",Aniplex,"None found, add some",I was a Ballerina,Light novel,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,7,,,,
36,Patalliro Saiyuuki!,,6.48,8871,6913,4,TV,26,Finished Airing,"Jun 7, 2005 to Nov 29, 2005","None found, add some","None found, add some",Magic Bus,Manga,"Adventure, Boys Love, Comedy, Fantasy",9 min. per ep.,PG-13 - Teens 13 or older,3,,Shoujo,Summer 2005,Tuesdays at 00:30 (JST)
37,Princess Principal: Ange Report,,6.48,7575,6914,6,ONA,1,Finished Airing,"Sep 16, 2017","None found, add some","None found, add some","Actas,       Studio 3Hz",Original,"Action, Mystery",24 min.,R - 17+ (violence & profanity),4,Historical,,,
38,Puzzle & Dragons Cross,Puzzle & Dragons X,6.48,6794,6915,8,TV,89,Finished Airing,"Jul 4, 2016 to Mar 26, 2018","Audio Planning U,       GungHo Online Entertainment",Funimation,Pierrot,Game,,24 min. per ep.,PG-13 - Teens 13 or older,20,Strategy Game,Kids,Summer 2016,Mondays at 18:25 (JST)
39,Qin Shi Mingyue: Kong Shan Niao Yu,,6.48,13770,6916,960,ONA,3,Finished Airing,"May 9, 2014 to Jul 8, 2014","None found, add some","None found, add some",Sparkly Key Animation Studio,Novel,"Action, Fantasy",26 min. per ep.,PG-13 - Teens 13 or older,5,"Historical, Martial Arts",,,
40,Sabu to Ichi Torimono Hikae,Sabu & Ichi's Arrest Warrant,6.48,10199,6917,2,TV,52,Finished Airing,"Oct 3, 1968 to Sep 24, 1969","Mushi Production,       Mainichi Broadcasting System","None found, add some",Toei Animation,Manga,"Action, Adventure, Drama, Slice of Life",25 min. per ep.,R - 17+ (violence & profanity),9,"Detective, Historical, Martial Arts, Samurai",Shounen,Fall 1968,Unknown
41,Shouxi Yu Ling Shi,,6.48,12190,6919,1,ONA,40,Finished Airing,"Jun 20, 2020 to Oct 24, 2020","None found, add some","None found, add some",Suoyi Technology,Original,"Action, Fantasy",11 min. per ep.,PG-13 - Teens 13 or older,8,,,,
42,Shirogane no Ishi: Argevollen,Argevollen,6.48,3350,6918,44,TV,24,Finished Airing,"Jul 3, 2014 to Dec 18, 2014","Warner Bros. Japan,       KlockWorx,       Bushiroad,       Showgate",Sentai Filmworks,Xebec,Original,Action,23 min. per ep.,R - 17+ (violence & profanity),43,Mecha,,Summer 2014,Unknown
43,Taiho Shichau zo in America,You're Under Arrest: No Mercy!!,6.48,8184,6920,5,TV Special,1,Finished Airing,"Mar 29, 2002","TBS,       Kodansha","None found, add some",Studio Deen,Manga,"Action, Comedy, Mystery",23 min.,PG-13 - Teens 13 or older,3,"Adult Cast, Detective, Workplace",Seinen,,
44,Taiyou no Ouji: Horus no Daibouken,Horus: Prince of the Sun,6.48,6636,6921,9,Movie,1,Finished Airing,"Jul 21, 1968","None found, add some",Discotek Media,Toei Animation,Other,"Adventure, Drama",1 hr. 22 min.,G - All Ages,16,,,,
45,Toaru Majutsu no Index-tan III,A Certain Magical Index III: Specials,6.48,5941,6922,12,Special,2,Finished Airing,"Dec 26, 2018 to Apr 30, 2019","None found, add some","None found, add some",J.C.Staff,Light novel,Comedy,9 min. per ep.,PG-13 - Teens 13 or older,8,,,,
46,Tottoko Hamtarou OVA 2: Hamuchanzu no Takara Sagashi Daisaku - Hamuha! Suteki na Umi no Natsuyasumi,Hamtaro: Ham-Hams Ahoy!,6.48,11830,6923,1,OVA,1,Finished Airing,"Mar 1, 2003",Shogakukan-Shueisha Productions,"None found, add some",TMS Entertainment,Unknown,,44 min.,PG - Children,1,,Kids,,
47,White Album,,6.48,1808,6925,122,TV,13,Finished Airing,"Jan 4, 2009 to Mar 29, 2009","None found, add some","None found, add some",Seven Arcs,Visual novel,"Drama, Romance",24 min. per ep.,PG-13 - Teens 13 or older,226,"Harem, Idols (Female), Music",,Winter 2009,Sundays at 02:00 (JST)
48,Trouble Chocolate,,6.48,7809,6924,6,TV,20,Finished Airing,"Oct 8, 1999 to Mar 24, 2000",Robot Communications,VIZ Media,AIC,Radio,"Comedy, Romance, Sci-Fi",23 min. per ep.,G - All Ages,20,,,Fall 1999,Saturdays at 02:00 (JST)
