,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
0,Tentai Senshi Sunred: Short Corner,,6.46,13621,7014,1,Special,4,Finished Airing,"Feb 11, 2009 to Apr 22, 2009",flying DOG,"None found, add some",AIC ASTA,Manga,Comedy,"Parody, Super Power",Seinen,1 min. per ep.,PG-13 - Teens 13 or older,1,,
1,The iDOLM@STER Cinderella Girls: Special Program,THE IDOLM@STER CINDERELLA GIRLS Special Program,6.46,9237,7015,3,TV Special,1,Finished Airing,"Feb 28, 2015",Half H.P Studio,"None found, add some",A-1 Pictures,Game,Comedy,"Idols (Female), Music",,10 min.,PG-13 - Teens 13 or older,3,,
2,Umayon Shinsaku Short Anime,,6.46,12896,7016,1,Special,12,Finished Airing,"Dec 8, 2021","None found, add some","None found, add some","W-Toon Studio,       DMM.futureworks",4-koma manga,Comedy,Anthropomorphic,,2 min. per ep.,PG-13 - Teens 13 or older,2,,
3,Upotte!! Miatte Waratte,,6.46,5337,7017,15,OVA,1,Finished Airing,"Oct 13, 2012","None found, add some",Sentai Filmworks,Xebec,Manga,"Comedy, Ecchi","Military, School",Seinen,26 min.,R+ - Mild Nudity,10,,
4,Vatican Kiseki Chousakan: Majo no Soup,Vatican Miracle Examiner OVA,6.46,8562,7018,5,OVA,1,Finished Airing,"Apr 11, 2018","None found, add some",Sentai Filmworks,J.C.Staff,Novel,"Drama, Mystery, Supernatural",,,23 min.,PG-13 - Teens 13 or older,5,,
5,Wan Guo Zhi,Wings of the World,6.46,13845,7019,936,ONA,16,Finished Airing,"Sep 23, 2019 to Jan 20, 2020","None found, add some","None found, add some",LX Animation Studio,Original,"Action, Adventure, Romance",Historical,,21 min. per ep.,R - 17+ (violence & profanity),3,,
6,Wan Yu Feng Shen,Lord of Planet,6.46,12900,7020,1,ONA,60,Finished Airing,"Dec 28, 2021 to Jul 12, 2022","None found, add some","None found, add some",Suoyi Technology,Novel,"Action, Fantasy",,,12 min. per ep.,PG-13 - Teens 13 or older,11,,
7,Ani x Para: Anata no Hero wa Dare desu ka,Animation × Paralympic: Who Is Your Hero?,6.46,12437,7021,1,TV Special,Unknown,Currently Airing,"Nov 10, 2017 to ?","NHK,       NHK Enterprises","None found, add some","Nippon Animation,       Gallop,       TMS Entertainment,       SynergySP,       DLE,       Bandai Namco Pictures",Original,Sports,Educational,,5 min.,G - All Ages,2,,
8,Ashita e Free Kick,,6.46,10932,7022,2,TV,52,Finished Airing,"Apr 14, 1992 to Apr 24, 1993",Ashi Productions,"None found, add some",Production Reed,Original,Sports,Team Sports,,23 min. per ep.,PG-13 - Teens 13 or older,5,Spring 1992,Tuesdays at 17:00 (JST)
9,Bakugan Battle Brawlers,,6.46,1966,7023,109,TV,52,Finished Airing,"Apr 5, 2007 to Mar 27, 2008",Nelvana,Warner Bros. Pictures,TMS Entertainment,Original,"Action, Fantasy",Strategy Game,,24 min. per ep.,PG - Children,428,Spring 2007,Thursdays at 17:30 (JST)
10,Binan Koukou Chikyuu Bouei-bu Happy Kiss!,Cute High Earth Defense Club HAPPY KISS!,6.46,5833,7024,12,TV,12,Finished Airing,"Apr 9, 2018 to Jul 2, 2018",Sotsu,Ponycan USA,Studio Comet,Original,Comedy,"Parody, School",,24 min. per ep.,PG-13 - Teens 13 or older,35,Spring 2018,Mondays at 01:35 (JST)
11,Chao Zhi Neng Zu Qiu,GGO Football,6.46,11186,7025,2,TV,52,Finished Airing,"Jun 2, 2010 to Jun 10, 2014","None found, add some","None found, add some",Puzzle Animation Studio Limited,Original,"Comedy, Sports",Team Sports,,22 min. per ep.,G - All Ages,10,Summer 2010,Unknown
12,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,Drug Store in Another World: The Slow Life of a Cheat Pharmacist,6.46,1593,7026,144,TV,12,Finished Airing,"Jul 7, 2021 to Sep 22, 2021","Studio Mausu,       BS11,       Crunchyroll,       Yomiuri TV Enterprise,       NichiNare,       Live Viewing Japan,       Bandai Namco Arts,       Video Market,       MediaNet Pictures,       Tohjak,       Hifumi Shobo","None found, add some",EMT Squared,Light novel,"Comedy, Fantasy","Harem, Isekai, Medical",,23 min. per ep.,PG-13 - Teens 13 or older,608,Summer 2021,Wednesdays at 22:00 (JST)
13,Chie-chan Funsenki: Jarinko Chie,,6.46,15355,7027,605,TV,39,Finished Airing,"Oct 19, 1991 to Sep 22, 1992",Mainichi Broadcasting System,"None found, add some",Tokyo Movie Shinsha,Unknown,"Comedy, Drama",,Seinen,25 min. per ep.,None,2,Fall 1991,Unknown
