,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
0,One Piece The Planetarium,One Piece: The Planetarium,6.44,11336,7156,2,Movie,1,Finished Airing,"Jul 13, 2013","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Comedy, Fantasy",Shounen,30 min.,PG-13 - Teens 13 or older,2,,,
1,Persona 5 the Animation,,6.44,945,7158,259,TV,26,Finished Airing,"Apr 8, 2018 to Sep 30, 2018","Aniplex,       A-1 Pictures,       Movic,       Atlus,       Sammy,       Sonilude",Aniplex of America,CloverWorks,Game,"Action, Supernatural",,24 min. per ep.,R - 17+ (violence & profanity),976,Spring 2018,Sundays at 00:30 (JST),"School, Super Power"
2,One Room: Third Season,,6.44,3763,7157,35,TV,12,Finished Airing,"Oct 6, 2020 to Dec 22, 2020","None found, add some","None found, add some",Zero-G,Original,Slice of Life,,4 min. per ep.,PG-13 - Teens 13 or older,59,Fall 2020,Tuesdays at 01:05 (JST),
3,Pet,,6.44,2174,7159,94,TV,13,Finished Airing,"Jan 6, 2020 to Mar 30, 2020","Fujipacific Music,       Ai Addiction,       Twin Engine",Sentai Filmworks,Geno Studio,Manga,"Mystery, Supernatural, Suspense",Seinen,23 min. per ep.,R - 17+ (violence & profanity),251,Winter 2020,Mondays at 22:00 (JST),"Adult Cast, Organized Crime, Psychological"
4,Pingu in the City (2018),Pingu in the City,6.44,6389,7160,10,TV,26,Finished Airing,"Oct 6, 2018 to Mar 30, 2019","NHK,       NHK Enterprises,       Mattel Creations","None found, add some",Polygon Pictures,Other,Comedy,Kids,7 min. per ep.,G - All Ages,112,Fall 2018,Saturdays at 09:20 (JST),Anthropomorphic
5,Pokemon Introductory Recap,Ash's Journey,6.44,6043,7161,11,Movie,1,Finished Airing,"Jul 18, 1998","None found, add some","4Kids Entertainment,       Warner Bros. Pictures",OLM,Game,Fantasy,Kids,2 min.,PG - Children,4,,,
6,Pokemon: Meloetta no Kirakira Recital,Pokémon: Meloetta's Moonlight Serenade,6.44,6484,7162,9,Movie,1,Finished Airing,"Jul 14, 2012","None found, add some",The Pokemon Company International,OLM,Game,"Adventure, Comedy, Fantasy",Kids,20 min.,PG - Children,2,,,Music
7,Sharedol,,6.44,13680,7163,983,ONA,1,Finished Airing,"Oct 25, 2021",Sotsu,"None found, add some","Toei Animation,       Dangun Pictures",Original,,,2 min.,PG-13 - Teens 13 or older,1,,,"Historical, Idols (Female), Music"
8,Kenka Banchou Otome: Girl Beats Boys,Kenka Bancho Otome -Girl Beats Boys-,6.43,2343,7164,83,TV,12,Finished Airing,"Apr 12, 2017 to Jun 28, 2017","Grooove,       DMM.com",Funimation,"Project No.9,       A-Real",Game,Action,,8 min. per ep.,PG-13 - Teens 13 or older,223,Spring 2017,Wednesdays at 22:30 (JST),"Crossdressing, Delinquents, Martial Arts, School"
9,Kikou Kai Galient,,6.43,9211,7165,4,TV,25,Finished Airing,"Oct 5, 1984 to Mar 29, 1985",Nippon Television Network,"None found, add some",Sunrise,Original,"Action, Fantasy, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,7,Fall 1984,Unknown,Mecha
