,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Demographics,Duration,Rating,Favorites,Genres,Themes,Premiered,Broadcast
0,Fastening Days 3,,6.13,13691,8836,981,ONA,3,Finished Airing,"Sep 6, 2017","None found, add some","None found, add some",Studio Colorido,Original,Kids,3 min. per ep.,G - All Ages,1,,,,
1,Fortune Quest: Yonimo Shiawase na Boukensha-tachi,,6.13,11790,8837,1,OVA,4,Finished Airing,"Oct 9, 1993 to May 10, 1994",Kadokawa Shoten,"None found, add some",J.C.Staff,Light novel,,25 min. per ep.,PG-13 - Teens 13 or older,1,"Adventure, Comedy, Fantasy",,,
2,Ensemble Stars! Recap Special,,6.13,11098,8835,2,TV Special,1,Finished Airing,"Sep 29, 2019","Frontier Works,       Movic,       Happy Elements,       Bandai Namco Arts","None found, add some",David Production,Game,,23 min.,PG-13 - Teens 13 or older,5,,"Idols (Male), Music, School",,
3,Enen no Shouboutai Mini Anime,Fire Force Mini Anime,6.13,6003,8834,11,ONA,30,Finished Airing,"Jan 8, 2021 to Jul 30, 2021","None found, add some","None found, add some","None found, add some",Manga,,1 min. per ep.,PG-13 - Teens 13 or older,24,Comedy,,,
4,Furusato Meguri: Nippon no Mukashibanashi,,6.13,13147,8838,1,TV,50,Finished Airing,"Apr 2, 2017 to Mar 25, 2018","None found, add some","None found, add some","None found, add some",Other,Kids,22 min. per ep.,G - All Ages,1,Supernatural,Historical,Spring 2017,Unknown
5,Gakkou no Kaidan Recaps,Ghost Stories Recaps,6.13,10872,8839,2,TV Special,2,Finished Airing,"Nov 15, 2000 to Jan 3, 2001","None found, add some","None found, add some",Pierrot,Novel,,25 min. per ep.,PG-13 - Teens 13 or older,0,"Horror, Mystery, Supernatural",,,
6,Gakkyuu Ou Yamazaki,"King of Classroom, Yamazaki",6.13,12438,8840,1,TV,54,Finished Airing,"Oct 27, 1997 to Nov 27, 1998","TV Tokyo,       Shogakukan-Shueisha Productions","None found, add some",Magic Bus,Manga,,24 min. per ep.,G - All Ages,3,Comedy,,Fall 1997,Tuesdays at 18:30 (JST)
7,Ginga Tansa 2100-nen: Border Planet,Galaxy Investigation 2100: Border Planet,6.13,11826,8841,1,TV Special,1,Finished Airing,"Aug 24, 1986",Nippon Television Network,"None found, add some",Tezuka Productions,Original,,1 hr. 12 min.,R+ - Mild Nudity,2,"Adventure, Mystery, Romance, Sci-Fi",,,
8,Hajimete no Futarikkiri Ryokou,,6.13,12703,8842,1,OVA,1,Finished Airing,"Mar 13, 2024","None found, add some","None found, add some","None found, add some",Music,,4 min.,PG-13 - Teens 13 or older,7,,Music,,
9,Happyakuyachou Hyouri Kewaishi,,6.13,13373,8843,1,TV,16,Finished Airing,"Oct 9, 1990 to Apr 30, 1991",TBS,"None found, add some",Shin-Ei Animation,Unknown,,10 min. per ep.,PG-13 - Teens 13 or older,1,Drama,Historical,Fall 1990,Unknown
10,Hello Kitty no Alps no Shoujo Heidi,Hello Kitty in Heidi,6.13,12504,8844,1,OVA,1,Finished Airing,"Aug 21, 1993",Sanrio,"None found, add some","None found, add some",Unknown,Kids,30 min.,G - All Ages,7,,,,
11,Himiko-den,Legend of Himiko,6.13,7681,8845,6,TV,12,Finished Airing,"Jan 7, 1999 to Apr 1, 1999","Rakuonsha,       Studio Jack,       Amuse,       Hakuhodo,       Mitsubishi,       Panasonic Digital Contents",Central Park Media,Group TAC,Game,,23 min. per ep.,PG-13 - Teens 13 or older,3,"Adventure, Drama, Fantasy, Supernatural",,Winter 1999,Thursdays at 01:45 (JST)
12,Hoero! Bun Bun (Movie),,6.13,14905,8846,678,Movie,1,Finished Airing,"Apr 2, 1987",Magic Capsule,"None found, add some",Madhouse,Unknown,Kids,1 hr. 5 min.,G - All Ages,1,,,,
