,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes,Premiered,Broadcast
0,Pokemon Diamond & Pearl: Clip Show,,6.35,8987,7645,4,TV Special,1,Finished Airing,"Sep 28, 2006",TV Tokyo,"None found, add some",OLM,Game,"Action, Adventure, Comedy, Fantasy",Kids,24 min.,PG - Children,0,,,
1,Popee the Performer: Countdown Special,,6.35,13503,7646,1,Special,1,Finished Airing,"Dec 31, 2002","None found, add some","None found, add some",Zuiyo,Original,Comedy,,5 min.,R - 17+ (violence & profanity),2,"Mythology, School",,
2,Otogi Story Tenshi no Shippo Specials,Angel Tales,6.35,10909,7644,2,OVA,2,Finished Airing,"Mar 25, 2002 to Jul 25, 2002","None found, add some",Bandai Entertainment,Tokyo Kids,Unknown,"Comedy, Fantasy, Romance",,23 min. per ep.,PG-13 - Teens 13 or older,1,,,
3,Ookii 1-nensei to Chiisana 2-nensei,The Big First-Grader and the Small Second-Grader,6.35,8481,7643,5,Movie,1,Finished Airing,"Mar 1, 2014","None found, add some","None found, add some",A-1 Pictures,Original,Adventure,,25 min.,PG - Children,0,,,
4,Qin Xia,The Warrior From Qin,6.35,10766,7647,2,ONA,12,Finished Airing,"Oct 16, 2020 to Dec 25, 2020","Tencent Animation & Comics,       Qiyuan Yinghua","None found, add some","None found, add some",Web manga,"Action, Adventure, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,4,,,
5,Rakudai Majo: Fuuka to Yami no Majo,The Klutzy Witch: Fuuka and the Witch of Darkness,6.35,9739,7648,3,Movie,1,Finished Airing,"Mar 31, 2023",Pony Canyon,"None found, add some",Production I.G,Book,Fantasy,,59 min.,PG-13 - Teens 13 or older,6,,,
6,RoboMasters the Animated Series,,6.35,5852,7650,12,TV,6,Finished Airing,"Oct 13, 2017 to Nov 17, 2017",DJI,"None found, add some","Gonzo,       DandeLion Animation Studio",Original,,,24 min. per ep.,PG-13 - Teens 13 or older,15,School,Fall 2017,Fridays at 22:30 (JST)
7,Ring ni Kakero 1,,6.35,8450,7649,5,TV,12,Finished Airing,"Oct 6, 2004 to Dec 15, 2004","None found, add some","None found, add some",Toei Animation,Manga,Sports,Shounen,23 min. per ep.,PG - Children,3,Combat Sports,Fall 2004,Unknown
8,Kacchikenee!,,6.34,10989,7653,2,Movie,1,Finished Airing,"Mar 19, 2016","None found, add some","None found, add some",Tezuka Productions,Original,Supernatural,,24 min.,PG-13 - Teens 13 or older,4,Visual Arts,,
9,Jurassic!,,6.34,10893,7652,2,ONA,1,Finished Airing,"Aug 24, 2019","None found, add some","None found, add some",Toei Animation,Picture book,Fantasy,,1 min.,G - All Ages,3,Historical,,
10,RWBY: Hyousetsu Teikoku,RWBY: Ice Queendom,6.35,1991,7651,107,TV,12,Finished Airing,"Jul 3, 2022 to Sep 18, 2022","Warner Bros. Japan,       Good Smile Company,       KLab,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some",Shaft,Other,Action,,24 min. per ep.,PG-13 - Teens 13 or older,636,,Summer 2022,Sundays at 22:30 (JST)
11,Kaiketsu Zorori Movie: Uchuu no Yuusha-tachi,,6.34,15779,7654,545,Movie,1,Finished Airing,"Sep 12, 2015","None found, add some","None found, add some","Ajia-do,       Bandai Namco Pictures",Picture book,"Adventure, Comedy",,48 min.,PG - Children,1,,,
