,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
0,X-Men,,6.32,4234,7774,27,TV,12,Finished Airing,"Apr 1, 2011 to Jun 24, 2011",Spring 2011,Unknown,"Sony Pictures Entertainment,       Atelier Musa",Marvel Entertainment,Madhouse,Other,"Action, Drama",Super Power,23 min. per ep.,PG-13 - Teens 13 or older,27,
1,Yojouhan Shinwa Taikei Specials,The Tatami Galaxy Specials,6.32,4226,7777,27,Special,3,Finished Airing,"Aug 20, 2010 to Nov 26, 2010",,,"None found, add some","None found, add some",Madhouse,Novel,Comedy,Adult Cast,6 min. per ep.,PG-13 - Teens 13 or older,19,
2,Xenosaga The Animation,,6.32,4795,7775,21,TV,12,Finished Airing,"Jan 6, 2005 to Mar 24, 2005",Winter 2005,Thursdays at 02:42 (JST),Happinet Pictures,"ADV Films,       Funimation",Toei Animation,Game,"Action, Sci-Fi","Mecha, Space",23 min. per ep.,PG-13 - Teens 13 or older,43,
3,Yi Ren Zhi Xia Recap,,6.32,7590,7776,6,TV Special,1,Finished Airing,"Jan 10, 2018",,,"None found, add some","None found, add some",Haoliners Animation League,Web manga,"Action, Supernatural",Super Power,24 min.,R - 17+ (violence & profanity),8,
4,.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,".hack//Quantum: Go, Our Chim Chims!!",6.32,6873,7778,8,Special,3,Finished Airing,"Jan 28, 2011 to Apr 7, 2011",,,Bandai Visual,"None found, add some",Kinema Citrus,Original,Comedy,Video Game,3 min. per ep.,PG-13 - Teens 13 or older,3,
5,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,Active Raid Second,6.32,4789,7779,21,TV,12,Finished Airing,"Jul 11, 2016 to Sep 26, 2016",Summer 2016,Mondays at 00:30 (JST),"Sotsu,       Magic Capsule,       flying DOG,       Fields","None found, add some",Production IMS,Original,"Action, Sci-Fi","Adult Cast, Mecha",24 min. per ep.,PG-13 - Teens 13 or older,12,
6,Amanchu!: Upyopyo Dive Tsukkome! Umi no Sekai!,,6.32,9927,7781,3,Special,6,Finished Airing,"Oct 26, 2016 to Mar 29, 2017",,,"None found, add some","None found, add some",J.C.Staff,Manga,Comedy,,7 min. per ep.,PG-13 - Teens 13 or older,3,
7,Ajimu: Kaigan Monogatari,,6.32,5471,7780,14,ONA,4,Finished Airing,"Jun 15, 2001 to Feb 24, 2002",,,Toho Music,"None found, add some",Actas,Original,"Comedy, Drama, Romance","Music, School",28 min. per ep.,PG-13 - Teens 13 or older,21,
8,Amnesia OVA,,6.32,3896,7782,33,OVA,1,Finished Airing,"Sep 25, 2013",,,"None found, add some","None found, add some",Brain's Base,Visual novel,Fantasy,,25 min.,PG-13 - Teens 13 or older,28,Josei
9,Ashita e Attack!,Attack on Tomorrow,6.32,10412,7783,2,TV,23,Finished Airing,"Apr 4, 1977 to Sep 5, 1977",Spring 1977,Unknown,"None found, add some","None found, add some",Nippon Animation,Original,"Drama, Sports","School, Team Sports",24 min. per ep.,PG-13 - Teens 13 or older,6,
10,Battle Spirits: Mirage,,6.32,13383,7785,1,ONA,4,Finished Airing,"Oct 29, 2021 to Apr 1, 2022",,,"None found, add some","None found, add some",Bandai Namco Pictures,Card game,"Adventure, Sci-Fi","Military, Mythology, Strategy Game",24 min. per ep.,PG-13 - Teens 13 or older,4,
11,Bannou Bunka Neko-Musume Specials,,6.32,11012,7784,2,Special,2,Finished Airing,"Aug 1, 1999",,,Movic,"None found, add some",Ashi Productions,Manga,"Action, Adventure, Comedy, Sci-Fi",Mecha,23 min. per ep.,PG-13 - Teens 13 or older,1,Seinen
12,Beyond Creation,,6.32,11907,7787,1,ONA,1,Finished Airing,"Feb 16, 2019",,,"None found, add some","None found, add some",Live2D Creative Studio,Original,Fantasy,,4 min.,G - All Ages,2,
13,Berserk,Berserk (2016),6.32,651,7786,364,TV,12,Finished Airing,"Jul 1, 2016 to Sep 16, 2016",Summer 2016,Fridays at 22:30 (JST),"WOWOW,       Mainichi Broadcasting System,       Hakusensha,       Ultra Super Pictures,       LIDENFILMS,       NBCUniversal Entertainment Japan,       Lucent Pictures Entertainment,       Docomo Anime Store,       Koei Tecmo Games","Funimation,       Crunchyroll","Millepensee,       GEMBA",Manga,"Action, Adventure, Drama, Fantasy, Horror","Gore, Military",24 min. per ep.,R+ - Mild Nudity,"2,550",Seinen
14,Captain Tsubasa no Koutsuu Anzen,,6.32,13995,7788,894,OVA,1,Finished Airing,1987,,,"None found, add some","None found, add some","None found, add some",Manga,Sports,Educational,14 min.,G - All Ages,0,Kids
15,Casshern: Robot Hunter,Casshan: Robot Hunter,6.32,6640,7789,9,OVA,4,Finished Airing,"Aug 21, 1993 to Feb 21, 1994",,,"Artmic,       Tokyo Kids,       Harmony Gold,       Streamline Pictures","ADV Films,       Discotek Media",Tatsunoko Production,Unknown,"Adventure, Sci-Fi",Mecha,27 min. per ep.,PG-13 - Teens 13 or older,13,
16,Cinderella Girls Gekijou: Extra Stage,,6.32,11924,7790,1,ONA,48,Finished Airing,"Mar 24, 2020 to Apr 13, 2021",,,"None found, add some","None found, add some",Zero-G,4-koma manga,"Comedy, Slice of Life",,2 min. per ep.,PG-13 - Teens 13 or older,3,
17,Da Wang Bu Gaoxing,The Furious Yama,6.32,9172,7791,4,ONA,12,Finished Airing,"Jan 1, 2020 to Mar 11, 2020",,,bilibili,"None found, add some",Haoliners Animation League,Web manga,"Comedy, Fantasy","Mythology, School",7 min. per ep.,PG-13 - Teens 13 or older,12,
18,Deca-Dence: Install,,6.32,7325,7792,7,ONA,1,Finished Airing,"Aug 7, 2020",,,Kadokawa,"None found, add some",Nut,Original,"Action, Adventure, Sci-Fi",,20 min.,PG-13 - Teens 13 or older,3,
19,Eiga! Tamagotchi Uchuu Ichi Happy na Monogatari!?,Tamagotchi: Happiest Story in the Universe!,6.32,15191,7793,629,Movie,1,Finished Airing,"Dec 20, 2008",,,"None found, add some","None found, add some",OLM,Unknown,,,1 hr. 30 min.,G - All Ages,1,Kids
20,Fate/Grand Order: Moonlight/Lostroom,,6.32,2861,7794,59,TV Special,1,Finished Airing,"Dec 31, 2017",,,"None found, add some","None found, add some",Lay-duce,Game,"Action, Fantasy, Supernatural",,32 min.,PG-13 - Teens 13 or older,37,
21,Futari Ecchi,Step Up Love Story,6.32,3684,7795,37,OVA,4,Finished Airing,"Jul 26, 2002 to Jan 22, 2004",,,Half H.P Studio,Media Blasters,Chaos Project,Manga,"Comedy, Romance, Ecchi",Adult Cast,27 min. per ep.,R+ - Mild Nudity,74,Seinen
22,Future GPX Cyber Formula: Early Days Renewal,,6.32,13058,7796,1,OVA,2,Finished Airing,"Apr 1, 1996 to Jun 1, 1996",,,"None found, add some","None found, add some",Sunrise,Unknown,"Drama, Sci-Fi, Sports",,58 min. per ep.,PG-13 - Teens 13 or older,1,
23,Gall Force 3: Stardust War,,6.32,9482,7797,3,OVA,1,Finished Airing,"Nov 2, 1988",,,"Movic,       CBS",Central Park Media,"AIC,       Artmic,       animate Film",Original,"Action, Sci-Fi","Military, Space",1 hr.,R+ - Mild Nudity,5,
