,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Themes,Duration,Rating,Favorites,Genres,Demographics,Premiered,Broadcast
0,Ensemble Stars! Picture Drama,,6.30,11998,7908,1,Special,12,Finished Airing,"Sep 26, 2019 to Apr 24, 2020","None found, add some","None found, add some",Happy Elements,Game,"Idols (Male), Music, Parody, School",2 min. per ep.,G - All Ages,4,,,,
1,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA,,6.30,7864,7907,6,OVA,1,Finished Airing,"Jan 26, 2013","AIC,       AMG MUSIC",Sentai Filmworks,AIC Classic,Manga,"Parody, School",26 min.,PG-13 - Teens 13 or older,3,"Comedy, Ecchi",Shounen,,
2,Dianqi Shaonu,"Watt's Up, Girl?",6.30,13871,7906,930,ONA,12,Finished Airing,"Apr 11, 2023 to Jun 20, 2023",bilibili,"None found, add some",Shengguang Knight Culture,Original,,8 min. per ep.,PG-13 - Teens 13 or older,4,Comedy,,,
3,Dance with Devils: Fortuna,,6.30,4952,7905,19,Movie,1,Finished Airing,"Nov 4, 2017","DIVE II Entertainment,       Avex Pictures","None found, add some",Brain's Base,Mixed media,"Mythology, Reverse Harem, School, Vampire",1 hr. 1 min.,R - 17+ (violence & profanity),50,"Fantasy, Romance",,,
4,Feng Wei Ying Xiong,Beyond the Worlds,6.30,15448,7909,590,ONA,13,Finished Airing,"Sep 16, 2015 to Jul 3, 2016","None found, add some","None found, add some",YHKT Entertainment,Original,,16 min. per ep.,PG-13 - Teens 13 or older,2,"Action, Fantasy",,,
5,Ganso Tensai Bakabon,,6.30,12154,7910,1,TV,103,Finished Airing,"Oct 6, 1975 to Sep 26, 1977",Tokyo Movie Shinsha,"None found, add some","None found, add some",Manga,Gag Humor,24 min. per ep.,G - All Ages,4,"Comedy, Slice of Life",,Fall 1975,Unknown
6,Goblin Slayer: Bouken Kiroku Youshi - Adventure Sheet,Goblin Slayer: Adventure Sheet,6.30,3105,7911,51,TV Special,1,Finished Airing,"Dec 16, 2018","None found, add some","None found, add some",White Fox,Light novel,Gore,23 min.,R - 17+ (violence & profanity),32,"Action, Adventure, Fantasy",,,
7,GR: Giant Robo,,6.30,9177,7912,4,TV,13,Finished Airing,"Jan 19, 2007 to Jul 20, 2007","Soft Garage,       U's Music","None found, add some",A.C.G.T.,Manga,"Mecha, Military",25 min. per ep.,PG-13 - Teens 13 or older,4,"Adventure, Sci-Fi",Shounen,Winter 2007,Fridays at Unknown
8,Hundred,,6.30,634,7913,372,TV,12,Finished Airing,"Apr 5, 2016 to Jun 21, 2016","TV Tokyo,       Sotsu,       Half H.P Studio,       AT-X,       DIVE II Entertainment,       Avex Pictures,       BS TV Tokyo","Funimation,       Crunchyroll",Production IMS,Light novel,"Harem, School",24 min. per ep.,PG-13 - Teens 13 or older,664,"Action, Romance, Sci-Fi, Ecchi",,Spring 2016,Tuesdays at 02:05 (JST)
9,Ichigo Ichie: Koibana Tomobana,,6.30,15204,7914,628,TV,13,Finished Airing,"Oct 20, 2007 to Jan 26, 2008",Four Some,"None found, add some","None found, add some",Unknown,School,5 min. per ep.,G - All Ages,0,"Comedy, Slice of Life",,Fall 2007,Unknown
