,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
0,Beatless,,6.21,1370,8374,173,TV,20,Finished Airing,"Jan 13, 2018 to Jun 30, 2018",Winter 2018,Saturdays at 01:55 (JST),"Kadokawa Shoten,       Mainichi Broadcasting System,       Sony Music Entertainment,       Good Smile Company,       Animatic","None found, add some",Diomedéa,Light novel,"Action, Drama, Romance, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,482,,
1,Bakukyuu Renpatsu!! Super B-Daman,,6.21,11714,8373,1,TV,18,Finished Airing,"Jan 4, 1999 to Sep 27, 1999",Winter 1999,Unknown,"TV Tokyo,       Shogakukan-Shueisha Productions","None found, add some",Xebec,Manga,Adventure,40 min. per ep.,G - All Ages,7,Strategy Game,Kids
2,Arve Rezzle: Kikaijikake no Yousei-tachi,,6.21,4333,8372,26,Movie,1,Finished Airing,"Mar 2, 2013",,,"None found, add some","None found, add some",Zexcs,Light novel,"Action, Drama, Mystery, Sci-Fi, Suspense",24 min.,R - 17+ (violence & profanity),17,,
3,Akikan!: Kan Ippatsu!? Onsen Panic,Akikan! OVA,6.21,4409,8371,25,OVA,1,Finished Airing,"Oct 23, 2009",,,"None found, add some",Sentai Filmworks,Brain's Base,Light novel,"Comedy, Ecchi",23 min.,R+ - Mild Nudity,5,Anthropomorphic,
4,Bokutachi no Remake Recap,Remake Our Life! Recap,6.21,5766,8375,13,TV Special,1,Finished Airing,"Aug 14, 2021",,,Studio Mausu,"None found, add some",feel.,Light novel,"Drama, Romance",23 min.,PG-13 - Teens 13 or older,42,"Adult Cast, Time Travel",
5,Chang An Huan Jie,Chang'an Magic Street,6.21,13434,8377,1,ONA,40,Finished Airing,"Dec 31, 2020 to May 6, 2021",,,Tencent Penguin Pictures,"None found, add some","None found, add some",Unknown,Fantasy,13 min. per ep.,None,4,,
6,Buttobi!! CPU,I Dream of Mimi,6.21,6251,8376,10,OVA,3,Finished Airing,"Apr 25, 1997 to Sep 26, 1997",,,"Pink Pineapple,       Studio Jack",Nozomi Entertainment,OLM,Manga,"Comedy, Sci-Fi, Ecchi",27 min. per ep.,R+ - Mild Nudity,21,,Seinen
7,Choujuu Kishin Dancougar: Ushinawareta Mono-tachi e no Requiem,Dancougar: Requiem for Victims,6.21,11300,8378,2,OVA,1,Finished Airing,"Apr 21, 1986",,,Ashi Productions,"None found, add some",Production Reed,Original,"Action, Drama",1 hr. 20 min.,PG-13 - Teens 13 or older,0,Mecha,
8,Cyborg 009: Call of Justice 1,,6.21,7828,8379,6,Movie,1,Finished Airing,"Nov 25, 2016",,,"Production I.G,       Ishimori Pro","None found, add some","OLM Digital,       Signal.MD",Manga,"Action, Adventure, Sci-Fi",2 hr.,PG-13 - Teens 13 or older,4,,Shounen
9,Dennou Coil Recaps,,6.21,10536,8380,2,TV Special,2,Finished Airing,"Aug 25, 2007 to Nov 3, 2007",,,"NHK,       Tokuma Shoten","None found, add some",Madhouse,Original,"Adventure, Comedy, Drama, Mystery, Sci-Fi",57 min. per ep.,G - All Ages,0,,
10,Dog Days'': Gravure Talk,,6.21,8619,8381,4,Special,4,Finished Airing,"Aug 26, 2015",,,"None found, add some","None found, add some",Seven Arcs Pictures,Original,"Comedy, Fantasy, Ecchi",1 min. per ep.,PG-13 - Teens 13 or older,4,,
11,"Dragon Quest: Dai no Daibouken (2020): Bouken no Kiseki, Kore kara no Tabiji","Dragon Quest: The Adventure of Dai: The Trail of Adventure, The Path Forward",6.21,10661,8382,2,TV Special,1,Finished Airing,"Jun 26, 2021",,,"TV Tokyo,       Square Enix,       Shueisha","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy",24 min.,PG-13 - Teens 13 or older,11,,Shounen
12,Dragon's Heaven,,6.21,5669,8383,13,OVA,1,Finished Airing,"Feb 25, 1988",,,Toshiba EMI,"None found, add some","AIC,       Artmic",Manga,"Action, Adventure, Fantasy, Sci-Fi",24 min.,PG-13 - Teens 13 or older,43,Mecha,
13,Examurai Sengoku,,6.21,8869,8384,4,TV,24,Finished Airing,"Jan 11, 2009 to Jun 25, 2009",Winter 2009,Unknown,"None found, add some","None found, add some",TMS Entertainment,Other,"Action, Sci-Fi",12 min. per ep.,PG-13 - Teens 13 or older,7,"Martial Arts, Samurai",
