,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
0,Medaka no Gakkou,,6.20,13501,8464,1,OVA,5,Finished Airing,"Apr 10, 2001 to Feb 26, 2005",Office AO,"None found, add some","None found, add some",Manga,Comedy,14 min. per ep.,PG - Children,0,,,,
1,Nogsaegjeoncha Hamos,Hamos: The Green Chariot,6.20,13450,8467,1,TV,26,Finished Airing,"Dec 12, 1997 to Jun 12, 1998",KBS,"None found, add some","None found, add some",Manga,"Action, Adventure, Fantasy",30 min. per ep.,PG - Children,6,Winter 1998,Unknown,,
2,Moero Arthur: Hakuba no Ouji,,6.20,12435,8465,1,TV,22,Finished Airing,"Apr 6, 1980 to Sep 21, 1980","None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Drama, Romance",24 min. per ep.,PG-13 - Teens 13 or older,1,Spring 1980,Sundays at 19:00 (JST),Historical,
3,Natsuki Crisis,,6.20,9352,8466,3,OVA,2,Finished Airing,"Feb 23, 1994 to Apr 21, 1994",Shueisha,"None found, add some",Madhouse,Manga,Action,29 min. per ep.,PG-13 - Teens 13 or older,1,,,"Martial Arts, School",
4,Pokemon: Utae Meloetta - Rinka no Mi wo Sagase!,Pokémon: Sing Meloetta - Search for the Rinka Berries,6.20,8171,8468,5,OVA,1,Finished Airing,"Jul 3, 2012","None found, add some","None found, add some",OLM,Unknown,"Adventure, Comedy, Fantasy",7 min.,PG - Children,1,,,,Kids
5,Robotan,,6.20,14788,8470,701,TV,104,Finished Airing,"Oct 4, 1966 to Sep 27, 1968",Daiko,"None found, add some","None found, add some",Unknown,Comedy,25 min. per ep.,G - All Ages,2,Fall 1966,Unknown,,Kids
6,Pop in Q,,6.20,5919,8469,12,Movie,1,Finished Airing,"Dec 23, 2016","None found, add some","None found, add some",Toei Animation,Original,Fantasy,1 hr. 36 min.,PG - Children,19,,,"Isekai, Music",
7,Robotan (1986),,6.20,13844,8471,936,TV,33,Finished Airing,"Jan 6, 1986 to Sep 20, 1986",Tokyo Movie Shinsha,"None found, add some","None found, add some",Unknown,Comedy,25 min. per ep.,G - All Ages,0,Winter 1986,Unknown,,Kids
8,Saint Seiya: Legend of Sanctuary,,6.20,4156,8472,28,Movie,1,Finished Airing,"Jun 21, 2014","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Fantasy, Sci-Fi",1 hr. 32 min.,PG-13 - Teens 13 or older,45,,,,Shounen
9,Seiken Gakuin no Makentsukai,The Demon Sword Master of Excalibur Academy,6.20,1750,8473,128,TV,12,Finished Airing,"Oct 3, 2023 to Dec 19, 2023","MediaNet,       Nippon Columbia,       KlockWorx,       BS Fuji,       NBCUniversal Entertainment Japan,       Kadokawa,       CTW,       Plus Seven",Sentai Filmworks,Passione,Light novel,"Action, Fantasy",23 min. per ep.,R - 17+ (violence & profanity),840,Fall 2023,Tuesdays at 01:30 (JST),"Harem, Reincarnation, School",
