Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
Gatapishi,,6.1,16133,9001,507,TV,199,Finished Airing,"Apr 23, 1990 to Mar 29, 1991",Spring 1990,Unknown,TV Asahi,"None found, add some",Shin-Ei Animation,4-koma manga,"Comedy, Slice of Life",10 min. per ep.,PG - Children,0,,
Ginga Tetsudou 999: Niji no Michishirube,,6.1,13785,9002,955,Movie,1,Finished Airing,04-Jul-01,,,"Dentsu,       81 Produce,       Dentsu Tec","None found, add some",Toei Animation,Unknown,"Drama, Sci-Fi",17 min.,G - All Ages,0,Historical,
Gowapper 5 Gordam,Goliath the Super Fighter,6.1,12589,9003,1,TV,36,Finished Airing,"Apr 4, 1976 to Dec 29, 1976",Spring 1976,Unknown,"None found, add some","None found, add some",Tatsunoko Production,Original,"Action, Adventure, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,1,Mecha,
Greek Roman Sinhwa: Olympus Guardian,,6.1,12387,9004,1,TV,39,Finished Airing,"Dec 11, 2002 to Jul 31, 2003",Winter 2003,Unknown,"None found, add some","None found, add some","None found, add some",Other,"Adventure, Fantasy",25 min. per ep.,,3,Historical,
Guruguru Town Hanamaru-kun,,6.1,15707,9005,554,TV,101,Finished Airing,"Oct 3, 1999 to Sep 29, 2001",Fall 1999,Sundays at 09:30 (JST),"None found, add some","None found, add some",Pierrot,Original,Comedy,25 min. per ep.,G - All Ages,1,Anthropomorphic,Kids
Hajime Ningen Gyatoruz,,6.1,12786,9006,1,TV,77,Finished Airing,"Oct 5, 1974 to Mar 27, 1976",Fall 1974,Saturdays at 19:00 (JST),Asahi Broadcasting,"None found, add some",Tokyo Movie Shinsha,Manga,Comedy,24 min. per ep.,PG-13 - Teens 13 or older,3,Historical,
Hi☆sCoool! SeHa Girls Special,,6.1,13323,9007,1,Special,1,Finished Airing,03-Nov-16,,,Sega,"None found, add some",TMS Entertainment,Other,"Comedy, Sports",14 min.,PG-13 - Teens 13 or older,0,"School, Video Game",
Hijikata Toshizou: Shiro no Kiseki,,6.1,9706,9008,3,OVA,1,Finished Airing,12-Jan-04,,,"Imagica,       Beyond C.","None found, add some",Studio 4°C,Original,"Action, Drama",32 min.,PG-13 - Teens 13 or older,6,"Historical, Samurai",
Hime Gal♥Paradise,,6.1,11526,9009,1,OVA,9,Finished Airing,"Dec 28, 2010 to Apr 3, 2012",,,"None found, add some","None found, add some",SynergySP,Manga,,11 min. per ep.,PG - Children,7,Crossdressing,Shoujo
Itoshi no Muco OVA,Lovely Muuuuuuuco! OVA,6.1,16551,9010,464,OVA,1,Finished Airing,22-Apr-16,,,"None found, add some","None found, add some","None found, add some",Manga,"Comedy, Slice of Life",12 min.,G - All Ages,0,Pets,
Jantama Kan!!,Mahjong Soul Kan!!,6.1,11430,9011,1,ONA,13,Currently Airing,"Apr 25, 2024 to ?",,,Yostar,"None found, add some",Alke,Game,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,4,,
.hack//Gift,,6.09,4810,9012,20,OVA,1,Finished Airing,16-Nov-03,,,CyberConnect2,Bandai Entertainment,Bee Train,Original,"Comedy, Fantasy",26 min.,R+ - Mild Nudity,20,Video Game,
