Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Rakugo Tennyo Oyui,,5.81,10459,10419,2,TV,12,Finished Airing,"Jan 5, 2006 to Mar 23, 2006",Winter 2006,Unknown,Three Fat Samurai,"None found, add some",TNK,Unknown,Comedy,"Historical, Performing Arts",24 min. per ep.,PG-13 - Teens 13 or older,1,
School Days ONA,,5.81,3579,10422,39,ONA,1,Finished Airing,"Feb 25, 2005",,,"Avex Entertainment,       Lantis","None found, add some",Animation Planet,Visual novel,"Drama, Romance","Love Polygon, School",21 min.,PG-13 - Teens 13 or older,47,
Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches Recap,League of Nations Air Force Aviation Magic Band Luminous Witches Recap,5.81,14399,10421,793,TV Special,1,Finished Airing,"Aug 14, 2022",,,"None found, add some","None found, add some","None found, add some",Original,Sci-Fi,"Idols (Female), Military, Music",24 min.,PG-13 - Teens 13 or older,1,
Rebirth,,5.81,8925,10420,4,TV,48,Finished Airing,"Jan 5, 2020 to Jun 23, 2021",Winter 2020,Wednesdays at 01:00 (JST),LIDENFILMS,"None found, add some",LIDENFILMS Osaka Studio,Card game,Comedy,Strategy Game,3 min. per ep.,PG-13 - Teens 13 or older,3,
Shen Qi Huan Qi Tan,The Legend of Ancient Soul,5.81,9431,10423,3,ONA,24,Finished Airing,"Oct 31, 2017 to May 15, 2018",,,Tencent Penguin Pictures,"None found, add some",Mili Pictures,Manga,"Action, Adventure, Fantasy, Mystery, Supernatural",School,13 min. per ep.,PG-13 - Teens 13 or older,10,
Shihaisha no Tasogare,Twilight Of The Dark Master,5.81,5981,10424,12,OVA,1,Finished Airing,"Jan 21, 1998",,,"Toei Video,       Filmlink International",Urban Vision,Madhouse,Manga,"Action, Drama, Horror, Sci-Fi, Supernatural",Mythology,45 min.,R+ - Mild Nudity,20,Shoujo
Kaichuu!,,5.80,6488,10426,9,ONA,4,Finished Airing,"Jul 16, 2010 to Oct 2011",,,Soft Garage,"None found, add some","None found, add some",Manga,"Comedy, Sports",Crossdressing,4 min. per ep.,PG-13 - Teens 13 or older,11,Seinen
Joshikousei Nobunaga-chan!!,,5.80,12186,10425,1,ONA,10,Finished Airing,"Aug 12, 2010 to Feb 10, 2012",,,"TMS Entertainment,       TMS Music","None found, add some","WAO World,       MooGoo,       Studio Ranmaru",Manga,"Comedy, Ecchi","Reincarnation, School",4 min. per ep.,PG-13 - Teens 13 or older,1,
Kaseki Dorobou to Kyouryuuseki,Fossil Thief and the Dinosaur Stones,5.80,17007,10427,422,ONA,1,Finished Airing,Mar 2011,,,"None found, add some","None found, add some","None found, add some",Original,Adventure,,6 min.,G - All Ages,1,Kids
Kerokero Keroppi no Robin Hood,Keroppi in Robin Hood,5.80,15331,10428,609,OVA,1,Finished Airing,"Jan 21, 1994",,,Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,,29 min.,G - All Ages,0,Kids
KisKis! Wo de Nanyou Shi Bohe Tang,,5.80,9195,10429,4,Special,4,Finished Airing,May 2018 to Jun 2018,,,bilibili,"None found, add some","None found, add some",Other,Romance,Reverse Harem,5 min. per ep.,G - All Ages,24,
Koi Koi 7 Specials,Love Love 7 DVD Specials,5.80,10644,10430,2,Special,7,Finished Airing,"Jul 22, 2005 to Jan 27, 2006",,,Studio Flag,"None found, add some","None found, add some",Manga,"Comedy, Romance, Sci-Fi, Ecchi",School,3 min. per ep.,R+ - Mild Nudity,0,Shounen
Koisuru Tenshi Angelique: Chibi Character Adventure,Loving Angel Angelique Chibi Adventure Special,5.80,13672,10431,984,Special,1,Finished Airing,"Sep 22, 2006",,,"None found, add some","None found, add some","None found, add some",Visual novel,"Adventure, Comedy",,4 min.,G - All Ages,0,
Ladies versus Butlers! Tokuten Disc Music Clip,,5.80,5840,10432,12,Special,1,Finished Airing,"Mar 26, 2010",,,"None found, add some","None found, add some",Xebec,Light novel,Ecchi,Music,3 min.,R+ - Mild Nudity,7,
Maesetsu!,Maesetsu! Opening Act,5.80,5946,10433,12,TV,12,Finished Airing,"Oct 11, 2020 to Dec 27, 2020",Fall 2020,Sundays at 23:30 (JST),Kadokawa,Funimation,"Studio Gokumi,       AXsiZ",Original,"Comedy, Slice of Life",CGDCT,24 min. per ep.,PG-13 - Teens 13 or older,6,
Mangirl!,,5.80,3883,10434,33,TV,13,Finished Airing,"Jan 3, 2013 to Mar 28, 2013",Winter 2013,Unknown,Earth Star Entertainment,"None found, add some",Doga Kobo,Manga,"Comedy, Slice of Life","CGDCT, Otaku Culture",3 min. per ep.,PG-13 - Teens 13 or older,16,
Monster Sonic! D'Artagnan no Idol Sengen,Monster Sonic! D'Artagnyan's Rise to Fame,5.80,10549,10435,2,ONA,5,Finished Airing,"Jun 14, 2017 to Jul 19, 2017",,,XFLAG Pictures,"None found, add some",LIDENFILMS,Game,"Action, Fantasy","Music, Strategy Game",14 min. per ep.,PG-13 - Teens 13 or older,3,
Munou na Nana Mini Anime,Talentless Nana Mini Anime,5.80,9089,10436,4,ONA,12,Finished Airing,"Oct 9, 2020 to Dec 25, 2020",,,"Square Enix,       Kanon Sound","None found, add some",Bridge,Manga,"Comedy, Supernatural",,3 min. per ep.,PG-13 - Teens 13 or older,4,Shounen
Osiris no Tenbin,,5.80,11062,10437,2,ONA,10,Finished Airing,"Aug 1, 2015 to Sep 23, 2015",,,Fuji TV,"None found, add some","None found, add some",Original,"Drama, Supernatural, Suspense",,6 min. per ep.,R - 17+ (violence & profanity),8,
School Days: Valentine Days,,5.80,2979,10439,55,OVA,1,Finished Airing,"Jan 17, 2008",,,"Marvelous Entertainment,       Lantis,       Pony Canyon Enterprises","None found, add some",TNK,Visual novel,"Comedy, Romance",School,18 min.,PG-13 - Teens 13 or older,37,
Peeping Life: World History,,5.80,13935,10438,910,ONA,40,Finished Airing,"Dec 20, 2012 to Dec 12, 2013",,,CoMix Wave Films,"None found, add some","None found, add some",Original,"Comedy, Slice of Life",Historical,5 min. per ep.,G - All Ages,0,
Shinshuu Sudama-hen,,5.80,13635,10440,996,OVA,4,Finished Airing,"Dec 10, 1988 to Jun 5, 1989",,,"None found, add some","None found, add some",Magic Bus,Novel,Action,"Historical, Martial Arts, Samurai",28 min. per ep.,R+ - Mild Nudity,1,Seinen
Shounen Ninja Kaze no Fujimaru,,5.80,12272,10441,1,TV,65,Finished Airing,"Jun 7, 1964 to Aug 31, 1965",Summer 1964,Unknown,"None found, add some","None found, add some",Toei Animation,Unknown,"Action, Adventure",Samurai,24 min. per ep.,None,8,Shounen
Sore Ike! Anpanman: Tekka no Maki-chan to Kin no Kamameshidon,,5.80,16319,10442,487,Movie,1,Finished Airing,"Jul 13, 2002",,,VAP,"None found, add some",TMS Entertainment,Unknown,Adventure,,20 min.,PG - Children,0,Kids
"Soushin Shoujo Matoi: Yuma-chin, Matomemashita - Nanimo Kitenakute... Natsu",,5.80,10401,10443,2,Special,1,Finished Airing,"Dec 27, 2016",,,"Bandai Visual,       Lantis","None found, add some",White Fox,Original,Supernatural,,22 min.,PG-13 - Teens 13 or older,2,
Stitch! Perfect Memory,,5.80,14580,10444,753,TV Special,1,Finished Airing,"Aug 7, 2015",,,"None found, add some","None found, add some",Shin-Ei Animation,Other,"Adventure, Comedy, Sci-Fi",,45 min.,G - All Ages,0,Kids
Sukima no Kuni no Polta,,5.80,16249,10445,493,TV Special,13,Finished Airing,"Sep 15, 2005 to Jul 19, 2007",,,Aniplex,"None found, add some","None found, add some",Unknown,Fantasy,,5 min. per ep.,G - All Ages,2,
Uchida Shungicu no Noroi no One-Piece,,5.80,10536,10446,2,TV Special,1,Finished Airing,"Aug 25, 1992",,,TBS,"None found, add some","Kyoto Animation,       Shin-Ei Animation",Manga,"Horror, Romance",,23 min.,PG-13 - Teens 13 or older,4,Shoujo
Yakusoku (2011),Promises,5.80,18593,10447,307,Movie,1,Finished Airing,2011,,,Geidai Animation,"None found, add some","None found, add some",Original,"Drama, Supernatural",,8 min.,PG - Children,0,
Yona Yona Penguin,,5.80,12533,10448,1,Movie,1,Finished Airing,"Sep 12, 2009",,,Kadokawa,Maiden Japan,Madhouse,Unknown,"Adventure, Fantasy",,1 hr. 27 min.,G - All Ages,0,Kids
