Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Demographics,Themes
Yuuki Yuuna wa Yuusha de Aru Churutto!,Yuki Yuna is a Hero - Churutto!,6.03,7362,9383,7,TV,12,Finished Airing,"Apr 10, 2021 to Jun 26, 2021",Spring 2021,Saturdays at 01:50 (JST),Mainichi Broadcasting System,Sentai Filmworks,"W-Toon Studio,       DMM.futureworks",Game,"Comedy, Fantasy",1 min. per ep.,PG-13 - Teens 13 or older,21,,
Ying Xiong Bie Nao,Heroes Don't Bi-Bi,6.03,16567,9380,462,ONA,13,Finished Airing,"Jul 1, 2015 to Nov 4, 2015",,,"None found, add some","None found, add some",Vasoon Animation,Original,"Action, Fantasy",12 min. per ep.,None,1,,
Yumemiru Topo Gigio,,6.03,13113,9382,1,TV,13,Finished Airing,"Oct 7, 1988 to Dec 30, 1988",Fall 1988,Fridays at 18:30 (JST),"None found, add some","None found, add some",Nippon Animation,Unknown,"Adventure, Comedy",26 min. per ep.,PG - Children,0,Kids,
Youjo Shenki Episode 0,Youjo Shenki: Episode 0,6.03,5138,9381,17,ONA,1,Finished Airing,"Jan 6, 2017",,,"None found, add some","None found, add some",Studio PuYUKAI,Light novel,"Comedy, Fantasy",1 min.,G - All Ages,10,,"Isekai, Parody, Reincarnation"
Yuurei Deco,Yurei Deco,6.03,4961,9384,19,TV,12,Finished Airing,"Jul 3, 2022 to Sep 18, 2022",Summer 2022,Sundays at 23:00 (JST),"Crunchyroll,       NetEase,       Bandai Namco Filmworks","None found, add some",Science SARU,Original,Sci-Fi,23 min. per ep.,PG-13 - Teens 13 or older,42,,
Zenryoku Usagi,,6.03,12938,9385,1,TV,52,Finished Airing,"Jan 5, 2008 to Dec 27, 2008",Winter 2008,Unknown,Sotsu,"None found, add some","None found, add some",Manga,Comedy,12 min. per ep.,G - All Ages,1,Kids,
Shuumatsu no Walküre Mini Anime,Record of Ragnarok Mini Anime,6.02,8959,9386,4,ONA,14,Finished Airing,"Jul 27, 2021 to Oct 1, 2021",,,Warner Bros. Japan,"None found, add some",AQUA ARIS,Manga,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,10,,
Sore Ike! Anpanman: Yuurei Sen wo Yattsukero!!,,6.02,15697,9387,556,Movie,1,Finished Airing,"Jul 29, 1995",,,"None found, add some","None found, add some",TMS Entertainment,Unknown,"Comedy, Fantasy",56 min.,PG - Children,0,Kids,
Susume! Godzilland,Recommend! Godzilland,6.02,15776,9388,546,OVA,4,Finished Airing,1994 to 1996,,,Gakken,"None found, add some","None found, add some",Unknown,Comedy,25 min. per ep.,PG - Children,1,Kids,
Tales of Crestoria Off Shot Movie,Tales of Crestoria Behind the Scenes,6.02,14423,9389,789,ONA,1,Finished Airing,"Dec 15, 2020",,,Bandai Namco Entertainment,"None found, add some",Kamikaze Douga,Game,"Comedy, Fantasy",5 min.,PG-13 - Teens 13 or older,1,,
Tales of the Rays: Everlasting Destiny,,6.02,12737,9390,1,ONA,1,Finished Airing,"Jul 4, 2019",,,Bandai Namco Entertainment,"None found, add some",Bandai Namco Pictures,Game,Fantasy,15 min.,G - All Ages,1,,Strategy Game
Tamayura no Yume,,6.02,15975,9391,524,Movie,1,Finished Airing,2011,,,Geidai Animation,"None found, add some","None found, add some",Original,Drama,4 min.,G - All Ages,0,,Psychological
Tobira wo Akete (1995),,6.02,8967,9392,4,OVA,1,Finished Airing,1995,,,"None found, add some","None found, add some",Studio 4°C,Original,"Avant Garde, Fantasy",10 min.,G - All Ages,4,,
"Tottoko Hamtarou: ""A"" kara ""N"" made Hiragana Asobi",,6.02,15698,9394,556,OVA,1,Finished Airing,"Jul 30, 2003",,,"None found, add some","None found, add some","None found, add some",Manga,,30 min.,G - All Ages,0,Kids,
Tokimeki Memorial 4 OVA,,6.02,10912,9393,2,OVA,1,Finished Airing,"Dec 3, 2009",,,"None found, add some","None found, add some",Asahi Production,Visual novel,,35 min.,PG-13 - Teens 13 or older,1,,Harem
Usavich Zero,,6.02,11459,9395,1,TV,13,Finished Airing,"Apr 10, 2015 to Aug 28, 2015",Spring 2015,Fridays at 23:55 (JST),"None found, add some","None found, add some",Kanaban Graphics,Original,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,0,,
Weiß Survive,,6.02,4739,9397,21,TV,16,Finished Airing,"Jun 6, 2009 to Sep 26, 2009",Summer 2009,Saturdays at 01:25 (JST),"TBS,       Bushiroad","None found, add some",Studio Hibari,Card game,"Comedy, Ecchi",2 min. per ep.,PG-13 - Teens 13 or older,8,,Strategy Game
Wave!! Surfing Yappe!!,,6.02,5005,9396,19,Movie,3,Finished Airing,"Oct 2, 2020 to Oct 30, 2020",,,Delfi Sound,"None found, add some",Asahi Production,Mixed media,"Slice of Life, Sports",1 hr. 27 min. per ep.,PG-13 - Teens 13 or older,67,,
Wolverine,,6.02,4262,9398,27,TV,12,Finished Airing,"Jan 7, 2011 to Mar 25, 2011",Winter 2011,Unknown,"None found, add some",Marvel Entertainment,Madhouse,Other,"Action, Drama",23 min. per ep.,PG-13 - Teens 13 or older,26,,Super Power
Yousei Hime Ren,Elf Princess Rane,6.02,8670,9399,4,OVA,2,Finished Airing,"Oct 27, 1995 to Jan 26, 1996",,,KSS,Media Blasters,Dangun Pictures,Original,"Adventure, Comedy, Fantasy",27 min. per ep.,R+ - Mild Nudity,5,,
Yume Oukoku to Nemureru 100-nin no Oujisama: Short Stories,,6.02,9001,9400,4,ONA,10,Finished Airing,"Mar 25, 2017 to Dec 23, 2017",,,"None found, add some","None found, add some",Satelight,Game,,8 min. per ep.,PG-13 - Teens 13 or older,9,,Strategy Game
Blood-C: None-None Gekijou,,6.05,6017,9251,11,ONA,7,Finished Airing,"Apr 8, 2012 to Oct 7, 2012",,,Production I.G,Funimation,Studio PuYUKAI,Original,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,5,,Parody
Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,Ai-Mai-Mi Surgical Friends,6.05,6286,9252,10,TV,12,Finished Airing,"Jan 3, 2017 to Mar 21, 2017",Winter 2017,Tuesdays at 23:30 (JST),"Dream Creation,       On-Lead","None found, add some",Seven,4-koma manga,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,18,,
Crush Gear Nitro,,6.05,11246,9253,2,TV,50,Finished Airing,"Feb 2, 2003 to Jan 25, 2004",Winter 2003,Unknown,"None found, add some","None found, add some",Sunrise,Unknown,Sports,23 min. per ep.,PG-13 - Teens 13 or older,4,,Racing
DD Hokuto no Ken,DD Fist of the North Star,6.05,8453,9254,5,TV,12,Finished Airing,"Jan 12, 2011 to Apr 6, 2011",Winter 2011,Wednesdays at 02:35 (JST),North Stars Pictures,"None found, add some","None found, add some",Manga,,3 min. per ep.,PG-13 - Teens 13 or older,12,Seinen,Parody
Dorami-chan: Hello Kyouryuu Kids!!,,6.05,15080,9255,645,Movie,1,Finished Airing,"Mar 6, 1993",,,"None found, add some","None found, add some","None found, add some",Unknown,Fantasy,40 min.,G - All Ages,0,,
Double Hard,,6.05,15242,9256,623,ONA,26,Finished Airing,2013 to ?,,,"None found, add some","None found, add some",Next Media Animation,Manga,Action,12 min. per ep.,PG-13 - Teens 13 or older,2,,"Delinquents, Martial Arts"
DRAMAtical Murder,,6.05,1410,9257,168,TV,12,Finished Airing,"Jul 7, 2014 to Sep 22, 2014",Summer 2014,Unknown,"Avex Entertainment,       Nitroplus,       DIVE II Entertainment",Sentai Filmworks,NAZ,Visual novel,"Action, Mystery, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,609,,"Psychological, Super Power, Video Game"
DRAMAtical Murder: Data_xx_Transitory,,6.05,3884,9258,33,Special,1,Finished Airing,"Dec 24, 2014",,,"Nitroplus,       DIVE II Entertainment,       Avex Pictures",Sentai Filmworks,NAZ,Visual novel,"Boys Love, Drama, Sci-Fi",24 min.,R - 17+ (violence & profanity),60,,Psychological
Elsword: Ain-ui Gieog Animation,,6.05,9948,9259,3,ONA,1,Finished Airing,"Dec 12, 2016",,,"None found, add some","None found, add some",DR Movie,Game,"Action, Fantasy",4 min.,PG-13 - Teens 13 or older,2,,
Good Morning Call,,6.05,7337,9260,7,OVA,1,Finished Airing,"Aug 2, 2001",,,Nihon Ad Systems,"None found, add some",Production I.G,Manga,"Comedy, Drama, Romance",19 min.,PG - Children,3,Shoujo,School
Guilty Gear X,,6.05,11804,9261,1,Special,1,Finished Airing,"Mar 3, 2003",,,"None found, add some","None found, add some","None found, add some",Game,Action,5 min.,R - 17+ (violence & profanity),6,,Super Power
