Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Amnesia,,5.98,822,9611,298,TV,12,Finished Airing,"Jan 7, 2013 to Mar 25, 2013",Winter 2013,Unknown,"Geneon Universal Entertainment,       Frontier Works,       Movic,       AT-X,       DAX Production,       Showgate",Sentai Filmworks,Brain's Base,Visual novel,"Fantasy, Mystery, Romance",Reverse Harem,Josei,23 min. per ep.,PG-13 - Teens 13 or older,"1,032"
Angelique: Twin Collection,,5.98,11558,9613,1,OVA,8,Finished Airing,"Mar 27, 2002 to Jun 25, 2003",,,"None found, add some","None found, add some",Yumeta Company,Visual novel,"Fantasy, Sci-Fi",,Shoujo,17 min. per ep.,PG - Children,1
Ange Vierge,,5.98,2962,9612,55,TV,12,Finished Airing,"Jul 10, 2016 to Sep 25, 2016",Summer 2016,Sundays at 01:30 (JST),"Sotsu,       Sega,       KlockWorx,       Grooove,       Kadokawa,       Sega Games","None found, add some","SILVER LINK.,       Connect",Card game,"Action, Adventure, Fantasy, Sci-Fi","School, Super Power",,23 min. per ep.,R+ - Mild Nudity,88
Adachi-ga Hara,,5.98,11109,9610,2,Movie,1,Finished Airing,"Nov 16, 1991",,,"None found, add some","None found, add some",Tezuka Productions,Manga,Sci-Fi,,,30 min.,PG-13 - Teens 13 or older,1
Anne's Secret Diary,,5.98,17398,9614,394,Movie,3,Finished Airing,"Jun 28, 2019",,,"None found, add some","None found, add some","None found, add some",Other,"Avant Garde, Drama",Music,,4 min. per ep.,PG-13 - Teens 13 or older,1
Black Jack: Karte NG Extras,,5.98,12176,9615,1,Special,1,Finished Airing,"Apr 4, 2007",,,Tezuka Productions,"None found, add some","None found, add some",Manga,Comedy,,,8 min.,G - All Ages,1
Caligula (TV),Caligula,5.98,2467,9616,77,TV,12,Finished Airing,"Apr 8, 2018 to Jun 24, 2018",Spring 2018,Sundays at 23:30 (JST),"Pony Canyon,       FuRyu","Discotek Media,       Ponycan USA",Satelight,Game,"Action, Sci-Fi",,,23 min. per ep.,PG-13 - Teens 13 or older,109
Choukadou Girl ⅙,Amazing Stranger,5.98,5054,9617,18,TV,12,Finished Airing,"Apr 6, 2019 to Jun 22, 2019",Spring 2019,Saturdays at 23:00 (JST),"AT-X,       Seven,       Futabasha,       A-Craft,       AQUA ARIS","None found, add some",Studio A-CAT,Manga,"Comedy, Romance, Sci-Fi",,Seinen,12 min. per ep.,PG-13 - Teens 13 or older,27
Cinderella Girls Gekijou: Climax Season Specials,,5.98,13743,9618,970,Special,3,Finished Airing,"Jun 26, 2019 to Aug 23, 2019",,,"None found, add some","None found, add some","None found, add some",4-koma manga,"Comedy, Slice of Life",,,1 min. per ep.,PG-13 - Teens 13 or older,0
Don't Cry (Movie),,5.98,17434,9619,391,Movie,1,Finished Airing,"Jul 1, 2017",,,"None found, add some","None found, add some","None found, add some",Original,"Action, Sci-Fi, Suspense",,,12 min.,PG-13 - Teens 13 or older,0
Dr. Slump: Arale-chan - Penguin Mura Eiyuu Densetsu,Dr. Slump: Hero Legend of Penguin Village,5.98,12617,9620,1,Special,1,Finished Airing,"Jan 2, 1982",,,"None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Sci-Fi",Gag Humor,Shounen,46 min.,PG-13 - Teens 13 or older,0
Etotama: Nyankyaku Banrai - Etotama Pretty Gekijou,,5.98,13646,9621,994,Special,1,Finished Airing,"Jul 28, 2021",,,"None found, add some","None found, add some","None found, add some",Original,Comedy,,,2 min.,PG-13 - Teens 13 or older,0
Fumoon,,5.98,11650,9622,1,Special,1,Finished Airing,"Aug 31, 1980",,,"None found, add some","None found, add some",Tezuka Productions,Manga,Sci-Fi,,,1 hr. 31 min.,PG-13 - Teens 13 or older,3
Giant Robo Gaiden Ginrei,Giant Robo: Ginrei Special,5.98,8430,9623,5,OVA,3,Finished Airing,"Feb 20, 1994 to Feb 21, 1995",,,Bandai Visual,"Media Blasters,       Discotek Media,       NYAV Post",Phoenix Entertainment,Manga,"Comedy, Sci-Fi, Ecchi","Mecha, Parody, Super Power",Shounen,25 min. per ep.,PG-13 - Teens 13 or older,1
Gon 2nd Season,,5.98,14563,9624,759,TV,26,Finished Airing,"Apr 4, 2015 to Sep 26, 2015",Spring 2015,Saturdays at 09:14 (JST),TV Tokyo,"None found, add some",Daewon Media,Manga,"Action, Adventure",,Kids,12 min. per ep.,G - All Ages,3
Happy World!,,5.98,7743,9625,6,OVA,3,Finished Airing,"Dec 13, 2002 to Jun 27, 2003",,,"KSS,       Soft Garage","None found, add some",Zexcs,Manga,"Comedy, Fantasy, Romance, Ecchi",,,26 min. per ep.,PG-13 - Teens 13 or older,7
Hatsukoi Monster: Mou Chotto dake Tsuzukunja,,5.98,7112,9626,7,OVA,1,Finished Airing,"Feb 7, 2017",,,"None found, add some","None found, add some",Studio Deen,Manga,"Comedy, Romance",School,Shoujo,23 min.,PG-13 - Teens 13 or older,10
I: Wish You Were Here,Zaion: I Wish You Were Here,5.98,6247,9627,10,TV Special,4,Finished Airing,"Oct 4, 2001 to Nov 24, 2001",,,"GDH,       Media Factory",ADV Films,Gonzo,Original,"Action, Drama, Mystery, Sci-Fi",,,27 min. per ep.,R - 17+ (violence & profanity),13
Ajin Senshi,,5.97,11274,9628,2,Movie,1,Finished Airing,"Nov 17, 1990",,,Tokuma Japan,"None found, add some",Magic Bus,Unknown,"Fantasy, Sci-Fi",,,1 hr. 40 min.,PG-13 - Teens 13 or older,0
"Akai Shouzou: Char, Soshite Frontal e",Portrait of the Red,5.97,11133,9629,2,TV Special,1,Finished Airing,"Aug 13, 2010",,,"None found, add some","None found, add some",Sunrise,Unknown,"Action, Drama, Sci-Fi","Mecha, Military, Space",Shounen,1 hr. 45 min.,PG-13 - Teens 13 or older,2
Alice Tantei Kyoku,,5.97,16010,9630,519,TV,56,Finished Airing,"Apr 5, 1995 to Jan 21, 1997",Spring 1995,Unknown,"NHK,       Studio Junio","None found, add some","None found, add some",Original,"Fantasy, Mystery",,Kids,12 min. per ep.,G - All Ages,1
Aruhi no Clamp Gakuen Tanteidan,CLAMP School Detectives Shorts,5.97,12370,9631,1,Special,13,Finished Airing,"Apr 22, 2005",,,Bandai Visual,Maiden Japan,Pierrot,Manga,"Comedy, Mystery","Detective, School",Shoujo,1 min. per ep.,G - All Ages,1
Azur Lane Valentine Special Mission,,5.97,14224,9632,839,ONA,1,Finished Airing,"Feb 13, 2023",,,"None found, add some","None found, add some",ARCUS,Game,"Gourmet, Slice of Life",,,1 min.,G - All Ages,1
Cardfight!! Vanguard: overDress,,5.97,5373,9633,15,TV,12,Finished Airing,"Apr 3, 2021 to Jun 26, 2021",Spring 2021,Saturdays at 08:00 (JST),Bushiroad,Sentai Filmworks,"Kinema Citrus,       GIFTanimation,       Studio Jemi",Original,Comedy,Strategy Game,,24 min. per ep.,PG-13 - Teens 13 or older,62
Catman,,5.97,10003,9634,3,ONA,7,Finished Airing,2002,,,Fuji TV,"None found, add some","None found, add some",Original,"Comedy, Fantasy, Slice of Life",Anthropomorphic,,3 min. per ep.,PG-13 - Teens 13 or older,11
Cybot Robocchi,Robby the Rascal,5.97,14843,9635,688,TV,39,Finished Airing,"Oct 7, 1982 to Jun 29, 1983",Fall 1982,Unknown,"None found, add some","None found, add some",Knack Productions,Unknown,"Comedy, Sci-Fi",,,24 min. per ep.,G - All Ages,0
Dallos,,5.97,6560,9636,9,OVA,4,Finished Airing,"Dec 21, 1983 to Jul 5, 1984",,,"None found, add some",Discotek Media,Pierrot,Original,"Action, Sci-Fi",Mecha,,30 min. per ep.,PG-13 - Teens 13 or older,15
Dinosaur Biyori,,5.97,11235,9637,2,TV,26,Finished Airing,"Apr 4, 2021 to Sep 26, 2021",Spring 2021,Sundays at 00:57 (JST),"Aniplex,       Sony Music Entertainment,       Sony Creative Products","None found, add some",Fanworks,Original,Slice of Life,,,1 min. per ep.,G - All Ages,16
Doraemon Eigo Kyoushitsu,Early English with Doraemon,5.97,12872,9638,1,Special,3,Finished Airing,1988,,,"None found, add some","None found, add some","None found, add some",Unknown,,,Kids,15 min. per ep.,PG - Children,1
Flying Witch Petit Special,,5.97,6903,9639,8,Special,1,Finished Airing,"Jun 22, 2016",,,"VAP,       Magic Capsule",Sentai Filmworks,domerica,Manga,"Slice of Life, Supernatural",Iyashikei,,2 min.,PG-13 - Teens 13 or older,5
Fushigi Dagashiya: Zenitendou,,5.97,11625,9640,1,TV,Unknown,Currently Airing,"Sep 8, 2020 to ?",Fall 2020,Tuesdays at 18:45 (JST),"None found, add some","None found, add some","Toei Animation,       Gallop,       Kanaban Graphics",Novel,Mystery,,Kids,10 min.,None,5
Ghost Messenger,,5.97,10921,9641,2,OVA,2,Finished Airing,"Dec 21, 2010 to Aug 19, 2014",,,"None found, add some","None found, add some",Studio Animal,Unknown,"Action, Supernatural",,,35 min. per ep.,PG-13 - Teens 13 or older,0
Giniro no Kami no Agito Pilot,,5.97,13389,9642,1,Special,1,Finished Airing,"Jun 23, 2006",,,"None found, add some","None found, add some",Gonzo,Original,"Adventure, Drama, Fantasy, Sci-Fi",,,5 min.,PG - Children,0
Hello Kitty no Shiawase no Tulip,,5.97,15896,9643,534,TV Special,1,Finished Airing,"Jan 7, 1995",,,Sanrio,"None found, add some","None found, add some",Unknown,,,Kids,30 min.,G - All Ages,1
Hello Kitty: Ringo no Mori no Fantasy,Hello Kitty: The Fantasy of the Apple Forest,5.97,12993,9644,1,TV,13,Finished Airing,"Apr 4, 2006 to Sep 19, 2006",Spring 2006,Unknown,Sanrio,"None found, add some",Asahi Production,Unknown,"Comedy, Fantasy",,Kids,9 min. per ep.,PG - Children,7
Hello Kitty: Ringo no Mori no Mystery,Hello Kitty: The Mystery of The Apple Forest,5.97,13987,9645,897,TV,13,Finished Airing,"Jan 2, 2007 to Mar 27, 2007",Winter 2007,Unknown,Sanrio,"None found, add some",Asahi Production,Unknown,"Comedy, Mystery",,Kids,9 min. per ep.,PG - Children,4
Himitsukessha Taka no Tsume MAX,,5.97,15244,9646,623,TV,38,Finished Airing,"Apr 5, 2013 to Feb 21, 2014",Spring 2013,Unknown,"None found, add some","None found, add some",DLE,Unknown,Comedy,"Parody, Super Power",,5 min. per ep.,PG-13 - Teens 13 or older,0
Hiroshima e no Tabi,A Journey to Hiroshima,5.97,15292,9647,616,OVA,1,Finished Airing,"Jul 20, 1994",,,Shinano Kikaku,"None found, add some",Toei Animation,Unknown,"Drama, Slice of Life",Historical,,31 min.,G - All Ages,1
Hitotsubu ni Kawaranu Ai wo Komete,,5.97,10227,9648,2,ONA,1,Finished Airing,"Jun 1, 2013",,,"None found, add some","None found, add some",Studio 4°C,Other,Slice of Life,Childcare,,2 min.,G - All Ages,2
Isuca,,5.97,1555,9649,149,TV,10,Finished Airing,"Jan 24, 2015 to Mar 28, 2015",Winter 2015,Saturdays at 01:35 (JST),"Kadokawa Shoten,       AT-X,       DAX Production,       KlockWorx,       MAGES.",Discotek Media,Arms,Manga,"Action, Comedy, Romance, Supernatural, Ecchi","Harem, Mythology, School",Seinen,23 min. per ep.,R+ - Mild Nudity,100
Juusou Kikou Dancougar Nova,,5.97,7778,9650,6,TV,12,Finished Airing,"Feb 15, 2007 to May 3, 2007",Winter 2007,Unknown,"Sony Pictures Entertainment,       Sega","None found, add some",Ashi Productions,Original,"Action, Sci-Fi","Mecha, Military, Space",,25 min. per ep.,R+ - Mild Nudity,10
Wind: A Breath of Heart,,5.95,10232,9752,2,OVA,1,Finished Airing,"Dec 27, 2002",,,Audio Tanaka,"None found, add some",Ajia-do,Visual novel,Comedy,School,,16 min.,PG-13 - Teens 13 or older,0
Twin Angel Break,Twin Angels Break,5.95,5622,9751,14,TV,12,Finished Airing,"Apr 7, 2017 to Jun 23, 2017",Spring 2017,Fridays at 22:00 (JST),"Sammy,       Kadokawa","None found, add some",J.C.Staff,Game,Fantasy,Mahou Shoujo,,23 min. per ep.,PG-13 - Teens 13 or older,19
Xia Lan,,5.95,14290,9753,822,TV,156,Finished Airing,"Jan 29, 2012 to Jul 15, 2016",Winter 2012,Sundays at Unknown,"None found, add some","None found, add some",Rocen,Original,"Action, Adventure, Drama, Fantasy, Supernatural","Historical, Martial Arts",,25 min. per ep.,PG-13 - Teens 13 or older,2
Yagami-kun no Katei no Jijou,,5.95,11208,9754,2,OVA,3,Finished Airing,"May 25, 1990",,,Kitty Films,"None found, add some","Production I.G,       Kitty Film Mitaka Studio",Manga,Comedy,,,28 min. per ep.,PG-13 - Teens 13 or older,2
Zuori Qing Kong Pilot,Crystal Sky of Yesterday,5.95,12401,9755,1,ONA,1,Finished Airing,"Jan 21, 2014",,,"None found, add some","None found, add some",Seven Stone Entertainment,Manga,"Drama, Romance, Slice of Life",School,,4 min.,PG-13 - Teens 13 or older,1
100-man-nen Chikyuu no Tabi: Bander Book,One-Million Year Trip: Bander Book,5.95,11007,9756,2,TV Special,1,Finished Airing,"Aug 27, 1978",,,Nippon Television Network,"None found, add some",Tezuka Productions,Original,Sci-Fi,,,1 hr. 34 min.,R+ - Mild Nudity,3
AIKa,Agent AIKa,5.95,3718,9757,36,OVA,7,Finished Airing,"Apr 25, 1997 to Apr 25, 1999",,,Bandai Visual,"Bandai Entertainment,       Central Park Media",Studio Fantasia,Original,"Action, Adventure, Comedy, Sci-Fi, Ecchi",,,27 min. per ep.,R+ - Mild Nudity,64
Bakuen Campus Guardress,,5.95,9149,9758,4,OVA,4,Finished Airing,"May 27, 1994 to Nov 25, 1994",,,Shueisha,"None found, add some",Production I.G,Original,"Action, Comedy, Supernatural",School,,30 min. per ep.,R+ - Mild Nudity,11
Bonobono,,5.95,14894,9760,678,Movie,1,Finished Airing,"Nov 13, 1993",,,"None found, add some","None found, add some",Group TAC,4-koma manga,Comedy,Anthropomorphic,,1 hr. 43 min.,G - All Ages,2
Bernard-jou Iwaku.,Miss Bernard said.,5.95,4612,9759,22,TV,12,Finished Airing,"Oct 7, 2016 to Dec 23, 2016",Fall 2016,Fridays at 01:00 (JST),"DAX Production,       Dream Creation,       Gen'ei","None found, add some",Creators in Pack,Manga,Comedy,School,,3 min. per ep.,PG-13 - Teens 13 or older,25
Bremen 4: Jigoku no Naka no Tenshi-tachi,Bremen 4,5.95,12446,9761,1,TV Special,1,Finished Airing,"Aug 23, 1981",,,"None found, add some","None found, add some",Tezuka Productions,Unknown,Adventure,Anthropomorphic,Kids,1 hr. 30 min.,G - All Ages,1
Chocomatsu-san: Valentine's Day-hen,,5.95,12081,9762,1,ONA,3,Finished Airing,"Feb 13, 2021 to Feb 15, 2021",,,"None found, add some","None found, add some",Pierrot,Other,Comedy,Parody,,4 min. per ep.,PG-13 - Teens 13 or older,4
Choujin Locke: Shinsekai Sentai,Locke the Superman: New World Command,5.95,11959,9763,1,OVA,2,Finished Airing,"Aug 22, 1991 to Oct 24, 1991",,,Bandai,"None found, add some",Nippon Animation,Manga,"Action, Sci-Fi",Super Power,,50 min. per ep.,PG-13 - Teens 13 or older,0
Dou Hun Wei Zhi Xuan Yue Qiyuan,Spirit Guardians,5.95,13733,9764,970,ONA,12,Finished Airing,"Jun 19, 2018 to Sep 4, 2018",,,"None found, add some","None found, add some",Yi Chen Animation,Original,"Adventure, Fantasy",,,19 min. per ep.,PG-13 - Teens 13 or older,3
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials,,5.95,8497,9765,5,Special,5,Finished Airing,"Nov 30, 2012 to Mar 29, 2013",,,AIC,Sentai Filmworks,AIC Classic,Manga,"Comedy, Ecchi","Parody, School",Shounen,4 min. per ep.,R+ - Mild Nudity,3
Fire Emblem Heroes - Book V Ending Movie,,5.95,18509,9766,312,ONA,1,Finished Airing,"Nov 28, 2021",,,"None found, add some","None found, add some",Anima,Game,Fantasy,,,3 min.,PG-13 - Teens 13 or older,3
gdgd Fairies 2 Episode 0,,5.95,13900,9768,919,Special,1,Finished Airing,"Dec 28, 2012",,,"Strawberry Meets Pictures,       Bouncy","None found, add some","None found, add some",Original,"Comedy, Fantasy",,,14 min.,PG - Children,0
