Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
The Samurai,,5.91,10135,9942,2,OVA,1,Finished Airing,"Nov 1, 1987","TBS,       CBS",ADV Films,"None found, add some",Manga,"Comedy, Romance",School,Seinen,46 min.,R+ - Mild Nudity,3,,
Tomica Kizuna Gattai: Earth Granner,,5.91,12206,9943,1,TV,51,Finished Airing,"Apr 5, 2020 to Mar 28, 2021","None found, add some","None found, add some",OLM,Other,"Action, Adventure, Sci-Fi",Mecha,,24 min. per ep.,PG - Children,1,Spring 2020,Sundays at 09:30 (JST)
Twin Bee Paradise,,5.91,13227,9944,1,OVA,4,Finished Airing,"Dec 18, 1998 to Apr 25, 1999","Konami,       Public & Basic","None found, add some","None found, add some",Game,"Action, Adventure",,,30 min. per ep.,G - All Ages,3,,
Teito Monogatari,Doomed Megalopolis,5.91,6038,9941,11,OVA,4,Finished Airing,"Sep 27, 1991 to Sep 25, 1992","Toei Video,       Streamline Pictures","ADV Films,       Media Blasters",Madhouse,Novel,"Horror, Supernatural",Historical,,42 min. per ep.,R+ - Mild Nudity,41,,
Yami Shibai 9,Theatre of Darkness: Yamishibai 9,5.91,5878,9945,12,TV,13,Finished Airing,"Jul 12, 2021 to Oct 4, 2021",DRAWIZ,"None found, add some",ILCA,Original,"Avant Garde, Horror, Supernatural",,,4 min. per ep.,PG-13 - Teens 13 or older,39,Summer 2021,Unknown
Yume Oukoku to Nemureru 100-nin no Oujisama,100 Sleeping Princes and the Kingdom of Dreams,5.91,4978,9946,19,TV,12,Finished Airing,"Jul 5, 2018 to Sep 20, 2018",dugout,Sentai Filmworks,Project No.9,Game,"Adventure, Fantasy","Isekai, Reverse Harem",,23 min. per ep.,PG-13 - Teens 13 or older,47,Summer 2018,Thursdays at 22:30 (JST)
Zenonzard The Animation,,5.91,4992,9947,19,ONA,9,Finished Airing,"Jan 31, 2020 to Oct 31, 2020",Magic Capsule,"None found, add some",8bit,Game,"Action, Fantasy",Strategy Game,,14 min. per ep.,PG-13 - Teens 13 or older,30,,
Shima Shima Tora no Shimajirou,,5.90,12816,9948,1,TV,726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008","TV Tokyo,       Azeta Pictures","None found, add some",Studio Kikan,Original,"Adventure, Comedy, Fantasy",Anthropomorphic,Kids,23 min. per ep.,G - All Ages,4,Winter 1994,Mondays at 18:00 (JST)
Sore Ike! Anpanman: Yousei Rinrin no Himitsu,Anpanman: The Secret of Fairy Rin-Rin,5.90,16243,9949,495,Movie,1,Finished Airing,"Jul 12, 2008",Tokyo Movie Shinsha,"None found, add some","None found, add some",Unknown,"Comedy, Fantasy",,Kids,51 min.,PG - Children,0,,
Kabatotto,Hippo and Thomas,5.89,14104,10001,868,TV,300,Finished Airing,"Jan 1, 1971 to Sep 30, 1972","None found, add some",Saban Entertainment,Tatsunoko Production,Unknown,Comedy,,,5 min. per ep.,G - All Ages,2,Winter 1971,Unknown
Kantoku Fuyuki Todoki,Insufficient Direction,5.89,7393,10002,7,TV,13,Finished Airing,"Apr 4, 2014 to Jul 4, 2014","None found, add some","None found, add some",DLE,Manga,"Comedy, Slice of Life",,Josei,3 min. per ep.,PG-13 - Teens 13 or older,4,Spring 2014,Fridays at 02:05 (JST)
Lao Fu Zi Fan Dou Zhen Tan,Master Q: Incredible Pet Detective,5.89,17589,10003,380,Movie,1,Finished Airing,"Dec 20, 2003","None found, add some","None found, add some","None found, add some",Unknown,Comedy,,Seinen,1 hr. 20 min.,G - All Ages,0,,
Mahoutsukai Sally (Movie),,5.89,13717,10004,975,Movie,1,Finished Airing,"Mar 10, 1990","None found, add some","None found, add some",Toei Animation,Manga,Comedy,,Shoujo,25 min.,G - All Ages,1,,
Make Love,,5.89,18635,10005,304,ONA,1,Finished Airing,"Feb 8, 2020","None found, add some","None found, add some","None found, add some",Original,"Romance, Sci-Fi",,,2 min.,G - All Ages,1,,
Mazica Party,,5.89,11895,10006,1,TV,51,Finished Airing,"Apr 4, 2021 to Mar 27, 2022","Dentsu,       TV Osaka","None found, add some",OLM,Original,Fantasy,Strategy Game,,24 min. per ep.,G - All Ages,10,Spring 2021,Sundays at 09:30 (JST)
Miracle Train: Chuo-sen e Youkoso,Miracle Train: Welcome to the Chuo Line,5.89,9151,10007,4,Special,1,Finished Airing,"Aug 18, 2009","None found, add some","None found, add some",Yumeta Company,Mixed media,Fantasy,,,1 min.,PG-13 - Teens 13 or older,4,,
Mitsu x Mitsu Drops,Honey x Honey Drops,5.89,4358,10008,26,OVA,2,Finished Airing,"Apr 28, 2006 to Jul 28, 2006",Soft Garage,"None found, add some",Radix,Manga,"Drama, Romance",School,Shoujo,27 min. per ep.,PG-13 - Teens 13 or older,63,,
Naniiro no Nani,What of What Color,5.89,13107,10009,1,ONA,1,Finished Airing,"May 19, 2018","None found, add some","None found, add some","None found, add some",Original,Slice of Life,Music,,12 min.,PG-13 - Teens 13 or older,0,,
Niehime to Kemono no Ou Mini Anime,,5.89,15120,10010,643,ONA,44,Finished Airing,"Nov 21, 2022 to Sep 28, 2023","None found, add some","None found, add some",J.C.Staff,Manga,"Comedy, Fantasy",,Shoujo,1 min. per ep.,PG-13 - Teens 13 or older,2,,
Nui Nui Hinobori San Kyoudai,The Three Nui Nui Hinobori Brothers,5.89,15247,10011,623,ONA,4,Finished Airing,"Apr 28, 2017 to Dec 17, 2017","None found, add some","None found, add some",DLE,Other,Slice of Life,,,3 min. per ep.,G - All Ages,0,,
Perman: Birdman ga Yatte Kita!!,,5.89,15101,10013,646,Movie,1,Finished Airing,"Mar 12, 1983","None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Adventure, Comedy",Super Power,Kids,25 min.,PG - Children,0,,
Okama Hakusho,Okama Report,5.89,13122,10012,1,OVA,3,Finished Airing,"Apr 12, 1991 to Feb 6, 1992","None found, add some","None found, add some","None found, add some",Manga,Comedy,Crossdressing,Seinen,43 min. per ep.,R+ - Mild Nudity,1,,
Pokemon (2019): Natsuyasumi Chokuzen 1-jikan Special,,5.89,13290,10014,1,TV Special,1,Finished Airing,"Jul 2, 2021","None found, add some","None found, add some",OLM,Game,"Action, Adventure, Comedy, Fantasy",,Kids,45 min.,PG - Children,0,,
Regalia: The Three Sacred Stars Recaps,,5.89,14958,10015,673,TV Special,2,Finished Airing,"Aug 15, 2016 to Aug 22, 2016","None found, add some","None found, add some",Actas,Original,"Action, Sci-Fi",Mecha,,23 min. per ep.,PG-13 - Teens 13 or older,0,,
Seikimatsu Leader Gaiden Takeshi!,,5.89,16115,10016,510,Special,1,Finished Airing,"Jul 26, 1998",AIC,"None found, add some","None found, add some",Unknown,Comedy,School,Shounen,30 min.,G - All Ages,0,,
Sore Ike! Anpanman: Minami no Umi wo Sukue!,,5.89,15438,10017,592,TV Special,1,Finished Airing,"Aug 26, 1990",Tokyo Movie Shinsha,"None found, add some","None found, add some",Unknown,"Comedy, Fantasy",,Kids,50 min.,PG - Children,0,,
Sore Ike! Anpanman: Ningyohime no Namida,,5.89,15068,10018,649,Movie,1,Finished Airing,"Jul 29, 2000","None found, add some","None found, add some",TMS Entertainment,Unknown,Comedy,,Kids,55 min.,PG - Children,0,,
