Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
Mameshiba the DVD Green Pea-shiba no Kutsujoku,,5.38,15584,11933,573,OVA,4,Finished Airing,"Sep 16, 2009","None found, add some","None found, add some","None found, add some",Original,Comedy,26 sec. per ep.,G - All Ages,0,,,,
Lupin Shanshei Pilot,,5.38,12440,11932,1,Special,1,Finished Airing,"Dec 19, 2012","None found, add some","None found, add some",TMS Entertainment,Manga,Comedy,2 min.,PG-13 - Teens 13 or older,0,Parody,,,
Oniwa no Soto,,5.38,18550,11935,310,ONA,2,Finished Airing,"Jun 23, 2014 to Aug 14, 2014","None found, add some","None found, add some",Saigo no Shudan,Original,Avant Garde,46 sec. per ep.,G - All Ages,0,,,,
Oh! 96-kku,Oh! Crock,5.38,18338,11934,324,ONA,1,Finished Airing,"Jan 4, 2016","None found, add some","None found, add some","None found, add some",Original,Slice of Life,57 sec.,G - All Ages,0,Music,,,
Peeping Life: The Perfect Evolution,,5.38,14326,11936,816,OVA,10,Finished Airing,"Jan 27, 2011",CoMix Wave Films,"None found, add some","None found, add some",Original,"Comedy, Slice of Life",5 min. per ep.,G - All Ages,0,,,,
Shiratori Reiko de Gozaimasu!,I am THE Shiratori Reiko!,5.38,13930,11937,910,OVA,1,Finished Airing,"Apr 25, 1990","None found, add some","None found, add some",Ajia-do,Manga,"Comedy, Romance",44 min.,PG-13 - Teens 13 or older,1,Adult Cast,Shoujo,,
Super Taekwon V,,5.38,16748,11938,444,Movie,1,Finished Airing,"Jul 30, 1982","None found, add some","None found, add some","None found, add some",Unknown,"Action, Sci-Fi",1 hr. 20 min.,PG - Children,0,Mecha,,,
Tabidachi: Ami Shuushou,"Departure: Ami, the Last Chapter",5.38,11700,11939,1,Movie,1,Finished Airing,"Jun 21, 1986",Soeishinsha,"None found, add some",APPP,Unknown,"Drama, Romance",39 min.,PG-13 - Teens 13 or older,3,,,,
Uneasiness and Triangle,,5.38,16716,11940,447,ONA,1,Finished Airing,"Jul 8, 2011","None found, add some","None found, add some","None found, add some",Original,Avant Garde,3 min.,G - All Ages,0,Music,,,
Wagamama High Spec,,5.38,3847,11941,33,TV,12,Finished Airing,"Apr 12, 2016 to Jun 28, 2016",Hobi Animation,"None found, add some",AXsiZ,Visual novel,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,30,School,,Spring 2016,Tuesdays at 01:10 (JST)
11eyes Picture Drama,,5.38,8358,11942,5,Special,13,Finished Airing,"Jun 25, 2010",Pony Canyon,"None found, add some",Doga Kobo,Visual novel,Comedy,4 min. per ep.,PG-13 - Teens 13 or older,2,,,,
47 Todoufuken,,5.38,15212,11943,626,TV,26,Finished Airing,"Apr 7, 2011 to Sep 29, 2011","None found, add some","None found, add some",Pollyanna Graphics,Original,Comedy,1 min. per ep.,G - All Ages,0,,Kids,Spring 2011,Unknown
Al Caral no Isan,Legacy of Aru Kararu,5.38,11754,11944,1,OVA,1,Finished Airing,"Feb 25, 1993","Visual 80,       Tokuma Shoten","None found, add some",animate Film,Manga,Sci-Fi,1 hr. 15 min.,R+ - Mild Nudity,0,Space,Seinen,,
Arara,Oh Dear,5.38,12139,11945,1,Movie,1,Finished Airing,2014,Geidai Animation,"None found, add some","None found, add some",Original,"Avant Garde, Supernatural",1 min.,G - All Ages,1,,,,
Babyshiba,,5.38,14739,11946,712,Special,7,Finished Airing,"2011 to Feb 20, 2020","None found, add some","None found, add some","None found, add some",Original,Comedy,30 sec. per ep.,G - All Ages,0,,,,
Bikini Warriors Special,,5.38,5015,11947,18,Special,1,Finished Airing,"Dec 9, 2015",Hobby Japan,"None found, add some","feel.,       PRA",Other,"Comedy, Fantasy, Ecchi",4 min.,R+ - Mild Nudity,16,Parody,,,
Chao You Bing,,5.38,8645,11948,4,ONA,4,Finished Airing,"Apr 25, 2014 to Aug 20, 2014",KJJ Animation,"None found, add some","None found, add some",Web manga,"Comedy, Fantasy",8 min. per ep.,R - 17+ (violence & profanity),12,Parody,,,
Chiisana Itsutsu no Ohanashi,Five Small Stories,5.38,17458,11950,389,Movie,1,Finished Airing,1974,"None found, add some","None found, add some","None found, add some",Original,,19 min.,G - All Ages,0,,Kids,,
Cheating Craft,,5.38,2616,11949,70,TV,12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016","Haoliners Animation League,       Emon","None found, add some",Blade,Novel,"Action, Comedy",12 min. per ep.,PG-13 - Teens 13 or older,50,School,,Fall 2016,Wednesdays at 18:30 (JST)
Crash!,,5.38,11456,11951,1,Special,3,Finished Airing,"Nov 13, 2012 to Nov 27, 2012",TV Tokyo,"None found, add some","None found, add some",Manga,Comedy,1 min. per ep.,G - All Ages,6,,Shoujo,,
Deliver Police: Nishitokyo-shi Deliver Keisatsutai,,5.38,15181,11952,632,ONA,1,Finished Airing,"Mar 26, 2021","None found, add some","None found, add some",IMAGICA Lab.,Original,Action,10 min.,PG-13 - Teens 13 or older,0,,,,
Hanasu na★,,5.38,14940,11954,675,Special,1,Finished Airing,"Apr 1, 2018","None found, add some","None found, add some","None found, add some",Original,Avant Garde,15 sec.,G - All Ages,0,,,,
Duel Masters VSR,,5.38,11951,11953,1,TV,51,Finished Airing,"Apr 5, 2015 to Mar 27, 2016",Shogakukan-Shueisha Productions,"None found, add some",Ascension,Original,"Action, Adventure, Comedy, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,1,,Kids,Spring 2015,Sundays at 08:30 (JST)
