Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
Kerokero Keroppi no Yowamushi-ouji no Daibouken,Keroppi in the Adventures of the Coward Prince,5.75,16303,10647,487,OVA,1,Finished Airing,"May 21, 1993",Sanrio,"None found, add some","None found, add some",Unknown,"Adventure, Fantasy",Kids,30 min.,G - All Ages,2,,,
Jeremy no Ki,,5.75,16795,10645,440,Movie,1,Finished Airing,"Apr 29, 1983","None found, add some","None found, add some",Group TAC,Picture book,"Drama, Fantasy",Kids,21 min.,G - All Ages,0,,,
Kotetsu no Daibouken,The Adventures of Kotetsu,5.75,9231,10648,3,OVA,2,Finished Airing,"Dec 13, 1996 to Jan 10, 1997",Daiei,ADV Films,Project Team Sarah,Manga,"Action, Comedy, Fantasy, Romance, Sci-Fi, Ecchi",,26 min. per ep.,R+ - Mild Nudity,2,,,
"Kanojo, Okarishimasu Petit 2nd Season",Rent-a-Girlfriend Petit 2nd Season,5.75,8799,10646,4,ONA,12,Finished Airing,"Jul 5, 2022 to Sep 16, 2022","None found, add some","None found, add some",AQUA ARIS,Manga,Comedy,,1 min. per ep.,PG-13 - Teens 13 or older,14,,,
Match Uri no Shoujo,The Little Match Girl,5.75,13879,10649,926,Movie,1,Finished Airing,"Dec 12, 1971","Toei Animation,       Gakken Eigakyoku","None found, add some","None found, add some",Book,Drama,Kids,18 min.,G - All Ages,3,,,
Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,,5.75,17262,10650,404,ONA,1,Finished Airing,"Feb 10, 2016","None found, add some","None found, add some",DLE,Original,"Comedy, Gourmet",,4 min.,G - All Ages,0,,,
Peter Pan no Bouken Specials,,5.75,16147,10652,505,TV Special,2,Finished Airing,2001,Fuji TV,"None found, add some",Nippon Animation,Unknown,"Adventure, Fantasy",,45 min. per ep.,G - All Ages,1,,,
Opus.COLORs,,5.75,6651,10651,9,TV,12,Finished Airing,"Apr 7, 2023 to Jun 23, 2023","Magic Capsule,       NBCUniversal Entertainment Japan","None found, add some",C-Station,Original,Sci-Fi,,24 min. per ep.,PG-13 - Teens 13 or older,43,Spring 2023,Fridays at 00:00 (JST),"School, Visual Arts"
Prism Season,,5.75,16896,10653,432,OVA,1,Finished Airing,"Apr 21, 1989",Pony Canyon,"None found, add some","None found, add some",Picture book,,Kids,29 min.,G - All Ages,1,,,
Qui Shui Yi Yun,,5.75,12613,10654,1,ONA,12,Finished Airing,"Jul 16, 2015 to Apr 7, 2016","None found, add some","None found, add some","None found, add some",Web manga,"Horror, Mystery, Supernatural",,11 min. per ep.,PG-13 - Teens 13 or older,0,,,
"Sagashita no wa Oheya, Mitsuketa no wa Mirai",,5.75,14673,10655,728,ONA,1,Finished Airing,"Dec 31, 2013","None found, add some","None found, add some","None found, add some",Original,"Romance, Slice of Life",,3 min.,G - All Ages,1,,,
Sekishoku Elegy,,5.75,12346,10656,1,OVA,1,Finished Airing,"Jun 29, 2007","None found, add some","None found, add some",Toei Animation,Unknown,Romance,,26 min.,PG-13 - Teens 13 or older,3,,,
Shadowverse,,5.75,5281,10657,16,TV,48,Finished Airing,"Apr 7, 2020 to Mar 23, 2021","TV Tokyo,       Sonilude","None found, add some",Zexcs,Card game,Fantasy,,24 min. per ep.,PG-13 - Teens 13 or older,35,Spring 2020,Tuesdays at 17:55 (JST),Strategy Game
Katarina Nounai Kaigi X,,5.74,8572,10658,4,ONA,23,Finished Airing,"Jun 21, 2021 to Sep 18, 2021",Grooove,"None found, add some",AQUA ARIS,Light novel,Comedy,,55 sec. per ep.,PG-13 - Teens 13 or older,15,,,"Isekai, Reincarnation"
Koi Koi 7,Koi Koi Seven,5.74,5200,10659,17,TV,13,Finished Airing,"Apr 2, 2005 to Jun 25, 2005",Trinet Entertainment,Discotek Media,Studio Flag,Manga,"Comedy, Romance, Sci-Fi, Ecchi",Shounen,25 min. per ep.,R+ - Mild Nudity,15,Spring 2005,Saturdays at 01:30 (JST),"Harem, School"
Licca-chan to Yamaneko Hoshi no Tabi,,5.74,14697,10660,723,OVA,1,Finished Airing,"Sep 12, 1997","TOHO,       Takara,       Japan Taps","None found, add some",Ajia-do,Unknown,"Adventure, Fantasy",Kids,1 hr. 18 min.,G - All Ages,0,,,
Liu Xing Huan Jian,Meteor Magic Sword,5.74,13012,10661,1,ONA,60,Finished Airing,"Jan 28, 2021 to Aug 12, 2021",Tencent Penguin Pictures,"None found, add some",Suoyi Technology,Novel,"Action, Fantasy",,12 min. per ep.,PG-13 - Teens 13 or older,10,,,
Machi Ichiban no Kechinbou,The Stingiest Man in Town,5.74,14878,10662,683,TV Special,1,Finished Airing,"Dec 24, 1978","None found, add some","None found, add some",Topcraft,Novel,"Drama, Supernatural",,49 min.,G - All Ages,0,,,"Historical, Music"
Marie & Gali Episode Zero,,5.74,12224,10663,1,Special,1,Finished Airing,"Nov 8, 2008","None found, add some","None found, add some",Toei Animation,Original,Comedy,,5 min.,PG - Children,0,,,Educational
Metamon to! Purin no Stage,Pokémon Kids TV: Jigglypuff's Mini Concert,5.74,14560,10664,759,ONA,1,Finished Airing,"Mar 26, 2022","None found, add some","None found, add some","None found, add some",Original,Comedy,Kids,2 min.,G - All Ages,1,,,
Monster High: Kowa-ike Girls,,5.74,11115,10665,2,ONA,8,Finished Airing,"Oct 22, 2014 to Dec 10, 2014","None found, add some","None found, add some",Shogakukan Music & Digital Entertainment,Other,Fantasy,,3 min. per ep.,G - All Ages,14,,,School
Nanjyamo no Aibou wa Nanimono nanja!? (Donna Monja TV),Guess Iono's Partner Pokémon!,5.74,14104,10666,869,ONA,2,Finished Airing,"Oct 12, 2022 to Oct 14, 2022","None found, add some","None found, add some",Ijigen Tokyo,Game,,Kids,3 min. per ep.,G - All Ages,1,,,
Ninja Mono,Ninja Cadets,5.74,9396,10667,3,OVA,2,Finished Airing,"Mar 27, 1996 to Jun 12, 1996",Youmex,Media Blasters,AIC,Original,"Adventure, Comedy, Supernatural",,30 min. per ep.,PG-13 - Teens 13 or older,7,,,
Noobow: Na Kokoro,,5.74,17873,10669,358,ONA,52,Finished Airing,"Aug 3, 2009 to 2010","None found, add some","None found, add some","None found, add some",Unknown,Slice of Life,Kids,1 min. per ep.,PG - Children,1,,,
Ninjala,Ninjala 2D Cartoon Anime,5.74,14868,10668,685,ONA,5,Finished Airing,"Jun 23, 2020 to Jan 6, 2021","None found, add some","None found, add some","Studio Hibari,       domerica",Game,Action,,10 min. per ep.,G - All Ages,0,,,Martial Arts
Peach Boy Riverside Mini Anime,,5.74,10175,10670,2,ONA,12,Finished Airing,"May 25, 2021 to Jun 29, 2021","None found, add some","None found, add some",AQUA ARIS,Manga,Fantasy,Shounen,1 min. per ep.,PG-13 - Teens 13 or older,3,,,
Platonic Chain: Ansatsu Jikkouchuu,,5.74,15547,10671,578,Special,1,Finished Airing,"Jul 25, 2005","None found, add some","None found, add some",ACiD FiLM,Novel,"Sci-Fi, Slice of Life",,6 min.,PG-13 - Teens 13 or older,1,,,
Slime-tachi no Idobata Kaigi 2nd Season,,5.74,10089,10672,3,ONA,14,Finished Airing,"Dec 19, 2022 to Mar 25, 2023","None found, add some","None found, add some",AQUA ARIS,Light novel,"Comedy, Fantasy",,1 min. per ep.,PG-13 - Teens 13 or older,7,,,
Sword Gai The Animation,,5.74,2576,10673,71,ONA,12,Finished Airing,"Mar 23, 2018",Production I.G,"None found, add some","DLE,       LandQ studios",Manga,"Action, Supernatural",Seinen,22 min. per ep.,R - 17+ (violence & profanity),48,,,
Tetsujin 28-gou: Tanjou-hen,,5.74,15273,10674,619,Special,1,Finished Airing,"Jan 1, 1964","None found, add some","None found, add some",Eiken,Unknown,"Adventure, Sci-Fi",Shounen,25 min.,G - All Ages,1,,,Mecha
Transformers: Scramble City,,5.74,10928,10675,2,OVA,1,Finished Airing,Apr 1986,Takara,"None found, add some",Toei Animation,Original,"Action, Sci-Fi",,23 min.,PG-13 - Teens 13 or older,3,,,Mecha
Ultraman M78 Gekijou: Love and Peace,,5.74,14153,10676,859,Special,1,Finished Airing,"Mar 6, 1999","Bandai Visual,       Tsuburaya Productions","None found, add some","None found, add some",Other,"Comedy, Sci-Fi",Kids,22 min.,G - All Ages,1,,,"Parody, Space, Super Power"
Washimo,,5.74,15297,10677,615,TV,10,Finished Airing,"Mar 10, 2014 to Mar 21, 2014","None found, add some","None found, add some",Studio Deen,Picture book,"Comedy, Sci-Fi, Slice of Life",Kids,10 min. per ep.,G - All Ages,0,Winter 2014,Unknown,School
Yokohama Meibutsu: Otoko Katayama-gumi!,,5.74,13535,10678,1,OVA,2,Finished Airing,"Aug 25, 1991 to Mar 25, 1992","None found, add some","None found, add some",J.C.Staff,Manga,Action,Shounen,49 min. per ep.,R - 17+ (violence & profanity),0,,,"Delinquents, School"
Angelique: Shiroi Tsubasa no Memoire,,5.74,9481,10679,3,OVA,2,Finished Airing,"Mar 25, 2000 to Jun 27, 2000","None found, add some","None found, add some",Yumeta Company,Visual novel,"Drama, Fantasy, Romance, Sci-Fi",Shoujo,30 min. per ep.,PG-13 - Teens 13 or older,4,,,
Anima Yell! Ouen Douga,,5.74,10908,10680,2,ONA,12,Finished Airing,"Oct 7, 2018 to Dec 23, 2018","None found, add some","None found, add some",Doga Kobo,4-koma manga,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,0,,,"CGDCT, School"
Aquarian Age: Saga II - Don't Forget Me...,Aquarian Age: The Movie,5.74,9288,10681,3,OVA,1,Finished Airing,"Nov 21, 2003",Broccoli,Synch-Point,Madhouse,Card game,"Action, Fantasy",,1 hr.,PG-13 - Teens 13 or older,1,,,Super Power
Bad Badtz-Maru no Ore no Pochi wa Sekaiichi,,5.74,16453,10682,471,Movie,1,Finished Airing,"Jan 13, 1996",Sanrio,"None found, add some","None found, add some",Unknown,,Kids,13 min.,G - All Ages,0,,,
Bobunemimimmi Specials,Bobunemimimmi Collection,5.74,10115,10683,2,Special,2,Finished Airing,"Sep 15, 2018",AC-Bu,"None found, add some","None found, add some",4-koma manga,"Avant Garde, Comedy",,1 min. per ep.,PG-13 - Teens 13 or older,6,,,Parody
"Boku no Imouto wa ""Osaka Okan""",,5.74,4941,10684,19,TV,12,Finished Airing,"Dec 22, 2012 to Mar 16, 2013","TOHO,       Bouncy","None found, add some",Charaction,Original,"Comedy, Gourmet",,3 min. per ep.,PG-13 - Teens 13 or older,7,Winter 2013,Unknown,
Bokura Mangaka: Tokiwasou Monogatari,,5.74,15200,10685,628,TV Special,1,Finished Airing,"Oct 3, 1981","None found, add some","None found, add some",Toei Animation,Unknown,Comedy,,1 hr. 12 min.,G - All Ages,1,,,
Calm,,5.74,11639,10686,1,Movie,1,Finished Airing,2007,"None found, add some","None found, add some","None found, add some",Unknown,Avant Garde,,7 min.,G - All Ages,6,,,Music
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 3rd Season,,5.74,14363,10687,807,ONA,3,Finished Airing,"Jul 8, 2022 to Jul 22, 2022","None found, add some","None found, add some",AQUA ARIS,Web manga,"Boys Love, Fantasy",,2 min. per ep.,PG-13 - Teens 13 or older,1,,,Isekai
Gasshin Sentai Mechander Robo,Combining Squadron Mechander Robo,5.74,12364,10688,1,TV,35,Finished Airing,"Mar 3, 1977 to Dec 29, 1977","TV Tokyo,       Wako Productions","None found, add some","None found, add some",Unknown,"Mystery, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,2,Spring 1977,Unknown,"Mecha, Military, Space"
Genki!! Ekoda-chan,,5.74,13010,10689,1,TV,22,Finished Airing,"Apr 13, 2011 to Sep 14, 2011","None found, add some","None found, add some",DLE,4-koma manga,Comedy,,5 min. per ep.,PG-13 - Teens 13 or older,0,Spring 2011,Unknown,
Grim,,5.74,13809,10690,947,Movie,1,Finished Airing,1985,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,7 min.,G - All Ages,3,,,
Hello Kitty no Alps no Shoujo Heidi II: Klara to no Deai,,5.74,14855,10691,687,OVA,1,Finished Airing,"Mar 21, 1994",Sanrio,"None found, add some","None found, add some",Unknown,,Kids,30 min.,G - All Ages,0,,,
Hello Kitty no Shiawase no Aoi Hotaru,,5.74,16220,10692,497,OVA,1,Finished Airing,"Apr 21, 1993",Sanrio,"None found, add some","None found, add some",Unknown,,Kids,27 min.,G - All Ages,0,,,
Hisone to Maso-tan Digest Douga,,5.74,14775,10693,704,ONA,4,Finished Airing,"May 22, 2018 to Jul 9, 2018","None found, add some","None found, add some",Bones,Original,Comedy,,6 min. per ep.,PG-13 - Teens 13 or older,1,,,
Hokkyoku no Muushika Miishika,Adventures of the Polar Cubs,5.74,14826,10694,690,Movie,1,Finished Airing,"Jul 21, 1979",Mushi Production,"None found, add some","None found, add some",Unknown,Adventure,,1 hr. 18 min.,G - All Ages,1,,,
Irodorimidori,,5.74,6331,10695,10,TV,8,Finished Airing,"Jan 5, 2022 to Feb 23, 2022","Sega,       Front Wing","None found, add some",Akatsuki,Game,Slice of Life,,3 min. per ep.,PG-13 - Teens 13 or older,46,Winter 2022,Wednesdays at 01:00 (JST),"CGDCT, Music"
Jiok,The Hell (Two Kinds of Life),5.74,12652,10696,1,Movie,1,Finished Airing,Jul 2006,Studio Dadashow,"None found, add some","None found, add some",Unknown,"Drama, Fantasy, Horror",,34 min.,R+ - Mild Nudity,1,,,
A-jang.com,,5.73,14330,10697,813,TV,13,Finished Airing,"Nov 22, 2001 to Dec 22, 2001","None found, add some","None found, add some","None found, add some",Unknown,Fantasy,,25 min. per ep.,G - All Ages,3,Fall 2001,Unknown,
Akai Koudan Zillion: Utahime Yakyoku,Zillion: Burning Night,5.73,11566,10698,1,OVA,1,Finished Airing,"Jun 21, 1988",Tatsunoko Production,Funimation,Production I.G,Mixed media,"Action, Adventure, Sci-Fi",,47 min.,PG-13 - Teens 13 or older,1,,,
Akane Maniax,,5.73,4981,10699,19,OVA,3,Finished Airing,"Nov 25, 2004 to Aug 26, 2005","Lantis,       Age","None found, add some","Media Factory,       Silver",Visual novel,"Comedy, Romance",,27 min. per ep.,PG-13 - Teens 13 or older,9,,,Mecha
Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu,I'm Kodama Kawashiri,5.73,6858,10700,8,TV,24,Finished Airing,"Jan 14, 2022 to Aug 12, 2022","None found, add some","None found, add some",Lapin Track,Web manga,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,32,Winter 2022,Fridays at 01:35 (JST),
Battle Spirits: Double Drive,,5.73,11837,10701,1,TV,51,Finished Airing,"Apr 6, 2016 to Mar 29, 2017","None found, add some","None found, add some",Bandai Namco Pictures,Card game,Fantasy,,24 min. per ep.,PG - Children,2,Spring 2016,Wednesdays at 17:55 (JST),Strategy Game
Bounty Hunter: The Hard,,5.73,11366,10702,2,OVA,1,Finished Airing,"May 1, 1996","None found, add some","None found, add some",J.C.Staff,Manga,Action,,48 min.,R+ - Mild Nudity,0,,,Detective
