Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Themes,Demographics,Duration,Rating,Favorites,Genres
Kkoma Bus Tayo,Tayo the Little Bus Season 1,5.72,16256,10769,493,TV,26,Finished Airing,"Aug 23, 2010 to Nov 16, 2010",Summer 2010,Not scheduled once per week,"None found, add some","None found, add some","Iconix Entertainment,       Studio Gale",Original,Racing,Kids,11 min. per ep.,G - All Ages,0,
Kiki to Lala no Ohimesama ni Naritai,,5.72,15272,10768,620,OVA,1,Finished Airing,"Apr 21, 1993",,,"Sanrio,       Grouper Productions","None found, add some","None found, add some",Unknown,,Kids,30 min.,G - All Ages,3,
Kerokero Keroppi no Ganbare! Keroppooz,Keroppi in Let's Play Baseball,5.72,16128,10767,506,OVA,1,Finished Airing,"Jul 21, 1992",,,Sanrio,"None found, add some","None found, add some",Unknown,,Kids,30 min.,G - All Ages,0,"Fantasy, Sports"
Kobutori,,5.72,15001,10770,666,Movie,1,Finished Airing,"Mar 19, 1918",,,"None found, add some","None found, add some","None found, add some",Other,Mythology,,Unknown,G - All Ages,0,Comedy
Lemon Angel (1988),,5.72,10796,10771,2,TV,9,Finished Airing,"Feb 3, 1988 to Mar 30, 1988",Winter 1988,Unknown,Pony Canyon,"None found, add some",AIC,Unknown,,,3 min. per ep.,R+ - Mild Nudity,1,Ecchi
Marin to Yamato: Fushigi na Nichiyoubi,,5.72,16760,10772,442,OVA,1,Finished Airing,"Dec 2, 2000",,,"None found, add some","None found, add some","None found, add some",Original,Educational,Kids,17 min.,G - All Ages,1,
Metamon to! Wooper to Katazuke,"Pokémon Kids TV: Wooper, Let's Tidy Up!",5.72,15066,10773,650,ONA,1,Finished Airing,"Feb 11, 2022",,,"None found, add some","None found, add some","None found, add some",Game,,Kids,2 min.,PG - Children,1,Comedy
Offside,,5.72,15466,10774,589,OVA,1,Finished Airing,"Jan 22, 1993",,,"None found, add some","None found, add some","None found, add some",Manga,Team Sports,,50 min.,PG-13 - Teens 13 or older,2,"Drama, Sports"
Ooi no Teiou,,5.72,17808,10775,363,ONA,1,Finished Airing,"Nov 7, 2018",,,"None found, add some","None found, add some","None found, add some",Original,Music,,4 min.,G - All Ages,0,Sports
Oshare Majo Love and Berry: Shiawase no Mahou,Fashionable Witches Love and Berry: Magic of Happiness,5.72,13507,10776,1,Movie,1,Finished Airing,"Mar 21, 2007",,,Sega,"None found, add some",TMS Entertainment,Game,"Idols (Female), Music",,51 min.,PG - Children,2,
Penetrate Blue,Penetrate Blue: Vapor Trail Another Age 2824,5.72,15146,10777,638,ONA,1,Finished Airing,"Feb 13, 2022",,,"None found, add some","None found, add some","None found, add some",Original,Mecha,,24 min.,PG-13 - Teens 13 or older,1,"Action, Girls Love, Sci-Fi"
Pony Metal U-GAIM Promotion Film,,5.72,12792,10778,1,Special,1,Finished Airing,1986,,,Anime R,"None found, add some","None found, add some",Original,"Mecha, Music, Parody",,2 min.,G - All Ages,2,"Action, Sci-Fi"
Ra/Radio Noise*Planet,,5.72,13291,10780,1,OVA,1,Finished Airing,Jan 2010,,,"None found, add some",Sentai Filmworks,"None found, add some",Original,Psychological,,2 min.,PG-13 - Teens 13 or older,1,"Adventure, Sci-Fi"
Pugyuru,,5.72,8260,10779,5,TV,13,Finished Airing,"Apr 12, 2004 to Jul 5, 2004",Spring 2004,Unknown,"Kids Station,       Kodansha,       Movic","None found, add some",Creators Dot Com,4-koma manga,School,,3 min. per ep.,PG-13 - Teens 13 or older,12,"Comedy, Fantasy"
Rifle Is Beautiful: Zenkoku Taikai Is Mokuzen,Chidori RSC: Nationals Are Right Before Us,5.72,10556,10781,2,TV Special,1,Finished Airing,"Dec 1, 2019",,,"Hakuhodo DY Music & Pictures,       Bandai Namco Arts",Sentai Filmworks,Studio 3Hz,4-koma manga,"CGDCT, School, Team Sports",,23 min.,PG-13 - Teens 13 or older,0,"Comedy, Sports"
Robot Girls Neo,,5.72,11884,10782,1,ONA,3,Finished Airing,"Aug 18, 2018 to Sep 1, 2018",,,"None found, add some","None found, add some",Toei Animation,Original,"Mecha, Parody",,7 min. per ep.,PG-13 - Teens 13 or older,0,Comedy
Schoolgirl Strikers: Animation Channel,,5.72,4883,10783,20,TV,13,Finished Airing,"Jan 7, 2017 to Apr 1, 2017",Winter 2017,Saturdays at 00:30 (JST),"Square Enix,       Movic,       Warner Bros. Japan,       KlockWorx,       BS11,       Egg Firm","None found, add some",J.C.Staff,Game,School,,24 min. per ep.,PG-13 - Teens 13 or older,19,"Action, Sci-Fi"
Katarina Nounai Kaigi,,5.71,8920,10784,4,ONA,26,Finished Airing,"Feb 29, 2020 to May 8, 2020",,,Grooove,"None found, add some",AQUA ARIS,Light novel,"Isekai, Reincarnation",,44 sec. per ep.,PG-13 - Teens 13 or older,2,Comedy
Kokoro Toshokan: Communication Clips,,5.71,14000,10785,891,Special,1,Finished Airing,2002,,,"None found, add some","None found, add some","None found, add some",Manga,Workplace,,5 min.,G - All Ages,0,"Comedy, Drama, Slice of Life"
Mang Huang Ji,The Legend of Jade Sword,5.71,11445,10786,1,ONA,19,Finished Airing,"Apr 4, 2015 to Aug 8, 2015",,,"None found, add some","None found, add some","None found, add some",Novel,"Historical, Martial Arts",,12 min. per ep.,PG-13 - Teens 13 or older,4,"Action, Adventure, Fantasy"
Mashiro Witch,Mashiro Witch - Midnight Marchen,5.71,16742,10788,444,ONA,1,Finished Airing,"Mar 14, 2017",,,"None found, add some","None found, add some","None found, add some",Game,Strategy Game,,2 min.,PG-13 - Teens 13 or older,1,
Marvel Future Avengers,,5.71,8571,10787,4,TV,26,Finished Airing,"Jul 22, 2017 to Jan 20, 2018",Summer 2017,Saturdays at 08:00 (JST),"None found, add some","None found, add some",Madhouse,Other,Super Power,Kids,22 min. per ep.,PG - Children,12,Action
Mighty Orbots,,5.71,13778,10789,957,TV,13,Finished Airing,"Sep 8, 1984 to Dec 15, 1984",Fall 1984,Unknown,"None found, add some","None found, add some",Tokyo Movie Shinsha,Original,Mecha,,23 min. per ep.,G - All Ages,2,"Adventure, Comedy, Sci-Fi"
Refrain Blue,,5.71,10107,10790,2,OVA,3,Finished Airing,"Jun 23, 2000 to Oct 27, 2000",,,Pink Pineapple,"None found, add some",PP Project,Visual novel,,,25 min. per ep.,R+ - Mild Nudity,1,"Drama, Romance"
Samurai Gun Special,,5.71,13426,10791,1,Special,1,Finished Airing,"Jun 29, 2005",,,"Avex Entertainment,       TV Asahi",ADV Films,Studio Egg,Manga,Historical,Seinen,23 min.,R - 17+ (violence & profanity),0,Action
SD Gundam Gaiden,,5.71,9804,10793,3,OVA,4,Finished Airing,"Apr 25, 1990 to Apr 21, 1991",,,Bandai,"None found, add some",Sunrise,Original,Mecha,,27 min. per ep.,PG - Children,0,"Adventure, Comedy, Fantasy"
Scarlet Nexus,,5.71,2143,10792,96,TV,26,Finished Airing,"Jul 1, 2021 to Dec 23, 2021",Summer 2021,Thursdays at 22:30 (JST),"Sunrise Music,       Bandai Namco Arts",Funimation,Sunrise,Game,"Military, Super Power",,24 min. per ep.,PG-13 - Teens 13 or older,500,"Action, Sci-Fi"
Sekiei Ayakashi Mangatan,,5.71,9347,10794,3,ONA,3,Finished Airing,"Feb 2, 2012 to Mar 1, 2012",,,"None found, add some","None found, add some","None found, add some",Manga,"Historical, Visual Arts",,5 min. per ep.,PG-13 - Teens 13 or older,1,"Fantasy, Supernatural"
Shiba Inuko-san,,5.71,6420,10795,10,TV,26,Finished Airing,"Apr 1, 2012 to Sep 23, 2012",Spring 2012,Sundays at 22:27 (JST),"DAX Production,       Takeshobo,       Dream Creation","None found, add some",Hotline,Manga,,,1 min. per ep.,G - All Ages,10,Comedy
Sore Ike! Anpanman: Niji no Pyramid,,5.71,15837,10796,539,Movie,1,Finished Airing,"Jul 26, 1997",,,"None found, add some","None found, add some",TMS Entertainment,Unknown,,Kids,56 min.,PG - Children,0,Comedy
Soutai Sekai,The Relative Worlds,5.71,6925,10797,8,ONA,2,Finished Airing,"Apr 28, 2017 to May 5, 2017",,,"Hulu,       Lucky Pictures","None found, add some",Craftar Studios,Original,,,15 min. per ep.,PG-13 - Teens 13 or older,7,Sci-Fi
Suteneko Tora-chan,,5.71,11770,10798,1,Movie,1,Finished Airing,"Sep 25, 1947",,,The National Film Center Japan,"None found, add some","None found, add some",Original,Music,,20 min.,G - All Ages,1,
Top wo Nerae! Gunbuster Specials,Gunbuster Renewal EX,5.71,7469,10799,6,Special,3,Finished Airing,"Nov 25, 2000 to Mar 25, 2001",,,"None found, add some",Discotek Media,Gainax,Original,"Mecha, Space",,2 min. per ep.,PG-13 - Teens 13 or older,1,"Action, Sci-Fi"
Uchuu Senkan Yamato Pilot Film,,5.71,12552,10800,1,Special,1,Finished Airing,"Jul 27, 1990",,,"None found, add some","None found, add some","None found, add some",Original,"Adult Cast, Military, Space",,9 min.,PG-13 - Teens 13 or older,0,Sci-Fi
Umi no Mizu wa Naze Karai,Why is the Sea Water Salty?,5.68,12369,10951,1,Movie,1,Finished Airing,"Sep 12, 1935",,,"None found, add some","None found, add some","None found, add some",Original,Historical,,10 min.,G - All Ages,1,
Weaving,,5.68,17321,10952,399,ONA,1,Finished Airing,"Aug 15, 2017",,,"None found, add some","None found, add some",dwarf,Original,,,55 sec.,G - All Ages,1,Fantasy
Yami Shibai: Furuido,Theatre of Darkness: Yamishibai - The Old Well,5.68,10981,10953,2,ONA,1,Finished Airing,"Aug 14, 2021",,,DRAWIZ,"None found, add some",ILCA,Original,,,4 min.,PG-13 - Teens 13 or older,0,"Avant Garde, Horror"
Youseiki Suikoden,Suikoden Demon Century,5.68,9536,10954,3,OVA,1,Finished Airing,"Sep 25, 1993",,,"Konami,       Kadokawa Shoten",ADV Films,J.C.Staff,Light novel,Martial Arts,,45 min.,R - 17+ (violence & profanity),2,"Action, Fantasy"
91 Daze,,5.68,8233,10955,5,Special,7,Finished Airing,"Nov 30, 2016 to Jul 5, 2017",,,"None found, add some","None found, add some",Shuka,Original,"Historical, Organized Crime",,2 min. per ep.,PG-13 - Teens 13 or older,6,Comedy
Aoi Sekai no Chuushin de,World War Blue,5.68,3103,10957,51,TV Special,3,Finished Airing,"Oct 20, 2012 to Apr 4, 2013",,,"DAX Production,       S-Wood",Media Blasters,Fifth Avenue,Manga,"Parody, Super Power",Shounen,25 min. per ep.,R+ - Mild Nudity,60,"Action, Adventure, Comedy, Fantasy, Ecchi"
Andromeda Stories,,5.68,10677,10956,2,TV Special,1,Finished Airing,"Aug 22, 1982",,,"None found, add some","None found, add some",Toei Animation,Manga,Space,,1 hr. 24 min.,R+ - Mild Nudity,3,"Action, Drama, Fantasy, Sci-Fi"
Bakugan: Legends,,5.68,14410,10958,791,ONA,13,Finished Airing,"Mar 1, 2023",,,"None found, add some","None found, add some",TMS Entertainment,Original,Strategy Game,,22 min. per ep.,PG - Children,3,"Action, Fantasy"
Bara no Hana to Joe,,5.68,12799,10959,1,Movie,1,Finished Airing,Mar 1977,,,Sanrio,"None found, add some","None found, add some",Picture book,,Kids,20 min.,PG - Children,5,Drama
Channel 5.5 3rd Season,,5.68,13660,10960,988,ONA,4,Finished Airing,"Jul 31, 2014 to Oct 10, 2014",,,"None found, add some","None found, add some",DLE,Unknown,Parody,,4 min. per ep.,PG-13 - Teens 13 or older,0,Comedy
Cosplay Complex: Extra Identification,,5.68,9896,10962,3,OVA,1,Finished Airing,"Jul 3, 2004",,,Lantis,"None found, add some",TNK,Original,,,5 min.,G - All Ages,1,Comedy
Chouon Senshi Borgman: Lovers Rain,Sonic Soldier Borgman: Lovers Rain,5.68,12051,10961,1,Movie,1,Finished Airing,"Dec 1, 1990",,,TOHO,ADV Films,Ashi Productions,Other,Mythology,,33 min.,PG-13 - Teens 13 or older,2,"Action, Sci-Fi"
Fushigi na Elevator,The Elevator,5.68,14416,10963,789,Movie,1,Finished Airing,1991,,,"None found, add some","None found, add some","Yamamura Animation, Inc.",Unknown,,,8 min.,G - All Ages,0,Fantasy
Genji,,5.68,11913,10965,1,OVA,2,Finished Airing,"May 21, 1992 to Oct 10, 1992",,,"None found, add some","None found, add some",J.C.Staff,Unknown,"Historical, Time Travel",,45 min. per ep.,R - 17+ (violence & profanity),2,Romance
Gang-aji Ttong,Doggy Poo,5.68,9834,10964,3,Movie,1,Finished Airing,"Jul 25, 2003",,,"None found, add some","None found, add some",Itasca Studio,Picture book,,Kids,33 min.,G - All Ages,14,Fantasy
Ginga Hyouryuu Vifam Recaps,,5.68,15764,10966,547,OVA,2,Finished Airing,"Oct 28, 1984 to Dec 21, 1984",,,"None found, add some","None found, add some",Sunrise,Unknown,Mecha,,50 min. per ep.,None,0,"Action, Adventure, Sci-Fi"
Himalaya no Hikari no Oukoku,,5.68,16641,10967,455,OVA,1,Finished Airing,"Jul 10, 1999",,,Shinano Kikaku,"None found, add some",Toei Animation,Unknown,Music,,26 min.,G - All Ages,0,"Adventure, Fantasy"
