Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Robo to Shoujo (Kari),,5.36,11086,12002,2,ONA,9,Finished Airing,"Jun 16, 2010 to Jun 19, 2011","None found, add some","None found, add some","None found, add some",Unknown,"Action, Comedy, Sci-Fi",Mecha,1 min. per ep.,PG-13 - Teens 13 or older,2,,,
Kachikachi Yama,,5.35,14175,12004,852,Movie,1,Finished Airing,"Oct 20, 1917","None found, add some","None found, add some","None found, add some",Other,Drama,,8 min.,G - All Ages,2,,,
Peeping Life: The Perfect Evolution Specials,,5.36,15164,12001,635,Special,3,Finished Airing,"Jan 27, 2011",CoMix Wave Films,"None found, add some","None found, add some",Original,"Comedy, Slice of Life",,3 min. per ep.,G - All Ages,0,,,
Senga Tsubo,The Pot,5.36,14134,12003,864,Movie,1,Finished Airing,1925,"None found, add some","None found, add some","None found, add some",Unknown,Fantasy,,17 min.,G - All Ages,0,,,
Kamiusagi Rope Movie Episode 0,Paper Rabbit Rope Movie Episode 0,5.35,16366,12005,481,ONA,1,Finished Airing,"Mar 13, 2012","None found, add some","None found, add some","None found, add some",Original,"Comedy, Slice of Life",,2 min.,G - All Ages,0,,,
Legend of Lemnear: Kyokuguro no Tsubasa Valkisas Pilot Film,Valkisas:The Wings of Ultimate Darkness Pilot Film,5.35,14225,12006,839,Special,1,Finished Airing,"Sep 3, 1998","None found, add some","None found, add some",AIC,Original,"Action, Adventure",,2 min.,R+ - Mild Nudity,1,,,
Mameshiba Bangai-hen,,5.35,15481,12007,587,Special,12,Finished Airing,"2008 to Oct 28, 2023","None found, add some","None found, add some","None found, add some",Original,Comedy,Music,30 sec. per ep.,G - All Ages,0,,,
Military!: Tamatama Shoumetsu Suru Shiroki Hikari!,,5.35,8218,12008,5,Special,1,Finished Airing,"Mar 20, 2015","DAX Production,       Dream Creation","None found, add some",Creators in Pack,4-koma manga,"Comedy, Ecchi",Military,5 min.,PG-13 - Teens 13 or older,1,,,
Nulu-chan to Boku,Nulu-chan and Me,5.35,16023,12009,520,ONA,1,Finished Airing,Dec 2012,Space Neko Company,"None found, add some","None found, add some",Original,"Comedy, Fantasy",,3 min.,G - All Ages,0,,,
Oira no Yakyuu,Our Baseball Match,5.35,11243,12010,2,Movie,1,Finished Airing,Mar 1930,"None found, add some","None found, add some","None found, add some",Original,Sports,Team Sports,9 min.,G - All Ages,0,,,
Opette,,5.35,19186,12011,272,Special,1,Finished Airing,"Aug 26, 2009","None found, add some","None found, add some","None found, add some",Original,Avant Garde,Music,1 min.,G - All Ages,0,,,
Otaku no Seiza,,5.35,12132,12012,1,OVA,2,Finished Airing,"Oct 7, 1994 to Nov 23, 1994",KSS,"None found, add some",81 Produce,Game,Comedy,Parody,23 min. per ep.,R+ - Mild Nudity,0,,,
Sango no Umi to Ouji,The Prince and the Coral Sea,5.35,14565,12013,757,OVA,1,Finished Airing,Feb 2000,Shinano Kikaku,"None found, add some",Toei Animation,Original,Fantasy,,31 min.,PG-13 - Teens 13 or older,0,,,
Shin Megami Tensei: Tokyo Mokushiroku,Tokyo Revelation,5.35,7070,12014,8,OVA,2,Finished Airing,"Apr 21, 1995 to Jun 21, 1995","Sony Music Entertainment,       Sanctuary","None found, add some",J.C.Staff,Manga,"Action, Horror, Sci-Fi, Supernatural",Mythology,30 min. per ep.,R - 17+ (violence & profanity),24,,,
Sotsugyou M: Ore-tachi no Carnival,,5.35,10982,12015,2,OVA,2,Finished Airing,"Jan 21, 1999 to Apr 21, 1999","None found, add some","None found, add some",Artland,Manga,Drama,School,27 min. per ep.,PG-13 - Teens 13 or older,3,,,
Tonpei to Sarukichi,Tonpei and Sarukichi,5.35,15211,12017,627,Movie,1,Finished Airing,1932,"None found, add some","None found, add some","None found, add some",Original,,Military,8 min.,G - All Ages,0,,,
Teddy,,5.35,17184,12016,409,Movie,1,Finished Airing,2005,"None found, add some","None found, add some",Takun Manga Box,Unknown,Slice of Life,,4 min.,G - All Ages,0,,,
Twinkle Heart: Gingakei made Todokanai,,5.35,11357,12018,2,OVA,1,Finished Airing,"Dec 5, 1986",Anime R,"None found, add some","None found, add some",Original,"Adventure, Comedy",Space,44 min.,PG-13 - Teens 13 or older,4,,,
Ultraman Kids: M7.8 Sei no Yukai na Nakama,,5.35,14249,12019,832,Movie,1,Finished Airing,"Mar 17, 1984",Tsuburaya Productions,"None found, add some","None found, add some",Other,,Super Power,25 min.,PG - Children,0,Kids,,
Afureko! AR,,5.35,17330,12021,399,ONA,3,Finished Airing,"Oct 18, 2011","None found, add some","None found, add some","None found, add some",Other,,"School, Showbiz",2 min. per ep.,G - All Ages,0,,,
Yami no Shihosha Judge,Judge,5.35,8904,12020,4,OVA,1,Finished Airing,"Jun 15, 1991","Movic,       Sony Music Entertainment,       animate",Central Park Media,"J.C.Staff,       animate Film",Manga,"Horror, Supernatural",,48 min.,R - 17+ (violence & profanity),4,Seinen,,
Agukaru: Play with Ibaraki-hen Episode 0,Agriculture Angel BARAKI: Play with Ibaraki Episode 0,5.35,16158,12022,504,ONA,1,Finished Airing,"Mar 28, 2015","None found, add some","None found, add some",Studio PuYUKAI,Unknown,"Slice of Life, Supernatural",,14 min.,G - All Ages,0,,,
Alice or Alice,,5.35,3687,12023,37,TV,12,Finished Airing,"Apr 4, 2018 to Jun 20, 2018","None found, add some",Sentai Filmworks,EMT Squared,4-koma manga,Slice of Life,CGDCT,3 min. per ep.,PG-13 - Teens 13 or older,46,,Spring 2018,Wednesdays at 22:25 (JST)
Ariel Visual,,5.35,10466,12024,2,OVA,2,Finished Airing,"Jul 21, 1989 to Aug 21, 1989",animate Film,Central Park Media,J.C.Staff,Novel,"Action, Comedy, Sci-Fi",Mecha,27 min. per ep.,PG-13 - Teens 13 or older,0,,,
