Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Premiered,Broadcast,Demographics
Love Bites,,2.64,8895,13319,4,ONA,1,Finished Airing,"Mar 6, 2016","None found, add some","None found, add some","None found, add some",Original,Horror,2 min.,R - 17+ (violence & profanity),3,,,,
Ai (ONA),,2.66,8815,13318,4,ONA,1,Finished Airing,"Aug 10, 2012","None found, add some","None found, add some","None found, add some",Original,Avant Garde,7 sec.,G - All Ages,7,,,,
Aki no Puzzle,Puzzle of Autumn,2.40,10681,13321,2,Movie,1,Finished Airing,2003,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,6 min.,R+ - Mild Nudity,0,,,,
Abunai Sisters: Koko & Mika,,2.56,7188,13320,7,OVA,10,Finished Airing,"Jan 15, 2009 to Mar 5, 2009","Pony Canyon,       Fuji TV","None found, add some",Production I.G,Original,"Action, Comedy, Ecchi",3 min. per ep.,R+ - Mild Nudity,41,,,,
Kokuhaku,,2.36,7375,13322,7,ONA,1,Finished Airing,"Aug 27, 2015","None found, add some","None found, add some","None found, add some",Original,Horror,40 sec.,R - 17+ (violence & profanity),17,,,,
Hametsu no Mars,Mars of Destruction,2.22,2676,13323,67,OVA,1,Finished Airing,"Jul 6, 2005","Idea Factory,       King Records,       Design Factory","None found, add some",WAO World,Visual novel,"Action, Horror, Sci-Fi",19 min.,R - 17+ (violence & profanity),292,"Gore, Military",,,
Utsu Musume Sayuri,Striking Daughter,2.00,4735,13324,21,OVA,1,Finished Airing,2003,"None found, add some","None found, add some","None found, add some",Original,"Avant Garde, Comedy",3 min.,R+ - Mild Nudity,54,,,,
Tenkuu Danzai Skelter+Heaven,Skelter Heaven,1.86,3587,13325,39,OVA,1,Finished Airing,"Dec 8, 2004","None found, add some","None found, add some",Idea Factory,Visual novel,Sci-Fi,19 min.,PG-13 - Teens 13 or older,116,Mecha,,,
Shijiu Guo,,N/A,23853,13326,85,ONA,109,Finished Airing,"Jun 8, 2014 to ?","None found, add some","None found, add some","None found, add some",Original,Comedy,12 min. per ep.,PG-13 - Teens 13 or older,0,,,,
Shikaru Neko,,N/A,11092,13327,2,TV,Unknown,Currently Airing,"Mar 22, 2021 to ?","None found, add some","None found, add some","None found, add some",Manga,Slice of Life,30 sec.,G - All Ages,16,,Spring 2021,Unknown,
Shikato,,N/A,20611,13328,194,TV,135,Finished Airing,Oct 1992 to 1993,Fuji TV,"None found, add some","None found, add some",Original,Comedy,30 sec. per ep.,G - All Ages,2,,?,Unknown,Kids
Shikong Ban Ye,,N/A,25152,13329,67,TV,52,Finished Airing,2008 to ?,"None found, add some","None found, add some","None found, add some",Unknown,Adventure,15 min. per ep.,PG - Children,0,,?,Unknown,Kids
Shikong Bowu Ka,Time Cards,N/A,25721,13330,63,TV,26,Finished Airing,"May 18, 2015 to ?","None found, add some","None found, add some","None found, add some",Original,Adventure,13 min. per ep.,PG - Children,0,,?,Unknown,Kids
Shikong Long Qishi,Time Travelling Dinosaur Knights,N/A,22639,13331,107,TV,52,Finished Airing,"Mar 9, 2020 to ?","None found, add some","None found, add some","None found, add some",Unknown,,13 min. per ep.,PG - Children,0,,?,Unknown,Kids
Shikong Shaonian,,N/A,25722,13332,63,TV,52,Finished Airing,"Nov 12, 2008 to ?","None found, add some","None found, add some","None found, add some",Original,"Adventure, Fantasy",12 min. per ep.,G - All Ages,0,,?,Unknown,
Shikori Empathy,,N/A,22426,13333,112,Movie,1,Finished Airing,2022,Musashino Art University,"None found, add some","None found, add some",Original,"Avant Garde, Drama",6 min.,R+ - Mild Nudity,0,,,,
Shima Shima Tora no Shimajirou no Koutsuu Anzen,,N/A,20644,13335,192,OVA,1,Finished Airing,"Sep 2, 1994","None found, add some","None found, add some",Pierrot Plus,Original,,10 min.,G - All Ages,0,"Anthropomorphic, Educational",,,Kids
Shima no Kuregata no Hanashi,,N/A,21178,13334,162,OVA,1,Finished Airing,2010,"None found, add some","None found, add some",Toei Video,Original,Fantasy,10 min.,G - All Ages,0,,,,Kids
Shima Shima Tora no Shimajirou no Shouboutai,,N/A,20717,13336,188,OVA,1,Finished Airing,"Sep 2, 1994","None found, add some","None found, add some",Pierrot Plus,Original,,10 min.,G - All Ages,0,"Anthropomorphic, Educational",,,Kids
Shimajirou Hesoka,,N/A,16912,13337,430,TV,99,Finished Airing,"Apr 5, 2010 to Mar 26, 2012",Benesse Corporation,"None found, add some",Pierrot Plus,Original,"Adventure, Comedy, Fantasy",8 min. per ep.,G - All Ages,0,,Spring 2010,Mondays at 07:30 (JST),Kids
Shimajirou Movie 1: Shimajirou no Daibouken - Konchuu no Kuni no Otomodachi,,N/A,23181,13338,96,Movie,1,Finished Airing,1997,"None found, add some","None found, add some",Pierrot Plus,Other,,20 min.,G - All Ages,0,Anthropomorphic,,,Kids
Shimajirou Movie 2: Shimajirou to Kaizokusen,,N/A,23093,13339,97,Movie,1,Finished Airing,1997,"None found, add some","None found, add some",Pierrot Plus,Other,,20 min.,G - All Ages,0,Anthropomorphic,,,Kids
Shimajirou no Amanogawa Daisakusen,,N/A,24071,13341,82,Movie,1,Finished Airing,Not available,"None found, add some","None found, add some","None found, add some",Original,"Adventure, Comedy, Fantasy, Sci-Fi",30 min.,G - All Ages,0,"Anthropomorphic, Space",,,Kids
Shimajirou Movie 3: Shimajirou to Fushigi ga Mori no Himitsu,,N/A,23182,13340,96,Movie,1,Finished Airing,1997,"None found, add some","None found, add some",Pierrot Plus,Other,,20 min.,G - All Ages,0,Anthropomorphic,,,Kids
