Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Demographics,Duration,Rating,Favorites,Genres,Themes,Premiered,Broadcast
Muku no Ki no Hanashi,,5.29,14789,12156,700,Movie,1,Finished Airing,"Sep 25, 1947","None found, add some","None found, add some","None found, add some",Original,Kids,20 min.,G - All Ages,1,,,,
Namui BL Manhwa Animation,Someone Else's BL Cartoon,5.29,11596,12157,1,ONA,12,Finished Airing,"Jan 11, 2018 to Jun 14, 2018","None found, add some","None found, add some","None found, add some",Web manga,,3 min. per ep.,PG-13 - Teens 13 or older,8,"Boys Love, Comedy, Drama, Slice of Life",School,,
Monkey Punch no Sekai: Alice,Alice,5.29,11047,12155,2,OVA,1,Finished Airing,"Dec 13, 1991",TOHO,"None found, add some",Takahashi Studio,Manga,,46 min.,R+ - Mild Nudity,2,"Action, Comedy, Ecchi",,,
Oshare Kozou wa Hanamaru,The Fashion Boy is Cool,5.29,12578,12158,1,OVA,1,Finished Airing,"Apr 23, 1993","None found, add some","None found, add some",Madhouse,Manga,Shoujo,30 min.,PG-13 - Teens 13 or older,0,Romance,,,
Quails,,5.29,19866,12159,236,Movie,1,Finished Airing,"Apr 15, 2013","None found, add some","None found, add some","None found, add some",Original,,5 min.,PG-13 - Teens 13 or older,0,Avant Garde,,,
Scandal,,5.29,11415,12160,1,ONA,12,Finished Airing,"May 1, 2009 to May 12, 2009","None found, add some","None found, add some","None found, add some",Music,,1 min. per ep.,G - All Ages,8,Slice of Life,Music,,
Tekken,Tekken: The Motion Picture,5.29,5246,12161,16,OVA,2,Finished Airing,"Jan 21, 1998 to Feb 21, 1998","Four Some,       Sony Music Entertainment",ADV Films,Studio Deen,Game,,28 min. per ep.,R - 17+ (violence & profanity),20,"Action, Adventure, Sci-Fi",Martial Arts,,
Tenkou Kotofumi,,5.29,15076,12162,649,ONA,1,Finished Airing,"Sep 18, 2011","None found, add some","None found, add some","None found, add some",Original,,1 min.,PG - Children,0,Fantasy,Music,,
The Impression of First Gundam,,5.29,11376,12163,2,Special,1,Finished Airing,"Aug 1, 1998","None found, add some","None found, add some",Sunrise,Unknown,,30 min.,PG-13 - Teens 13 or older,1,"Action, Sci-Fi","Mecha, Military, Space",,
Touyama Sakura Uchuu Chou: Yatsu no Na wa Gold,,5.29,14456,12164,784,OVA,1,Finished Airing,"Jul 25, 1988","None found, add some","None found, add some",Toei Animation,Unknown,,59 min.,PG-13 - Teens 13 or older,1,"Action, Sci-Fi",,,
Tsuki no Miya no Oujosama,,5.29,15235,12165,624,Movie,1,Finished Airing,"Oct 25, 1934","None found, add some","None found, add some","None found, add some",Original,Kids,11 min.,G - All Ages,1,,,,
Venus Project: Climax,,5.29,7337,12166,7,TV,6,Finished Airing,"Jul 12, 2015 to Sep 20, 2015",Imagine,Funimation,Nomad,Game,,23 min. per ep.,PG-13 - Teens 13 or older,4,Action,"Idols (Female), Music",Summer 2015,Sundays at 22:00 (JST)
Virtual-san wa Miteiru,Virtual-san Looking,5.29,6786,12167,8,TV,12,Finished Airing,"Jan 10, 2019 to Mar 27, 2019",Dwango,"None found, add some",Lide,Original,,24 min. per ep.,PG-13 - Teens 13 or older,17,Comedy,Music,Winter 2019,Thursdays at 00:00 (JST)
Yahabe,,5.29,18263,12168,328,OVA,1,Finished Airing,"Aug 4, 2012",Shueisha,"None found, add some",Next Media Animation,Original,Shounen,16 min.,PG-13 - Teens 13 or older,0,,Strategy Game,,
Akazukin to Kenkou,Little Red Riding Hood and Health,5.29,15734,12169,552,OVA,1,Finished Airing,2007,"None found, add some","None found, add some","None found, add some",Original,,5 min.,PG-13 - Teens 13 or older,2,Comedy,,,
Ao no Strada,,5.29,14883,12170,681,ONA,4,Finished Airing,"Feb 27, 2017 to Mar 13, 2017",Panasonic Digital Contents,"None found, add some","None found, add some",Original,,3 min. per ep.,G - All Ages,0,Drama,,,
Ari-chan,Arichan the Ant,5.29,13461,12171,1,Movie,1,Finished Airing,1941,"None found, add some","None found, add some","None found, add some",Original,,11 min.,G - All Ages,0,Comedy,Music,,
Backkom: Jung-gug Gijeogwi,,5.29,15265,12172,620,Special,1,Finished Airing,2013,"None found, add some","None found, add some",RG Animation Studios,Original,Kids,31 sec.,G - All Ages,0,Comedy,,,
Chou no Sainan,The Unlucky Butterfly,5.29,12622,12173,1,Movie,1,Finished Airing,1931,"None found, add some","None found, add some","None found, add some",Original,,8 min.,G - All Ages,0,Action,,,
Dia Horizon,,5.29,15305,12175,614,ONA,3,Finished Airing,"Aug 10, 2017 to Aug 21, 2017","None found, add some","None found, add some",Fanworks,Original,,35 sec. per ep.,G - All Ages,0,,"Parody, Strategy Game",,
Cine Mileage Card x Asa da yo! Kaishain,,5.29,18411,12174,318,Special,1,Finished Airing,"Feb 10, 2017","None found, add some","None found, add some","None found, add some",Original,,15 sec.,G - All Ages,0,Comedy,Music,,
Fast Week,,5.29,15923,12176,531,ONA,1,Finished Airing,"Feb 15, 2015","None found, add some","None found, add some","None found, add some",Original,,1 min.,PG-13 - Teens 13 or older,0,Avant Garde,,,
Gijinka de Manabo!,,5.29,13395,12177,1,ONA,1,Finished Airing,"Nov 29, 2016","None found, add some","None found, add some",Yokohama Animation Lab,Other,,3 min.,PG - Children,1,"Comedy, Sci-Fi",,,
Haitoku Pistols no Kinkyuu Kaigi?,,5.29,15553,12178,577,ONA,1,Finished Airing,"May 25, 2017","None found, add some","None found, add some","None found, add some",Game,,2 min.,G - All Ages,0,Comedy,"Music, Parody, Strategy Game",,
Harbor Light Monogatari: Fashion Lala yori,Fashion Lala: The Story of the Harbour Light,5.29,10479,12179,2,OVA,1,Finished Airing,"Mar 11, 1988","None found, add some","None found, add some",Pierrot,Original,,48 min.,PG-13 - Teens 13 or older,1,Drama,Visual Arts,,
Channel 5.5,,5.28,14651,12180,736,ONA,4,Finished Airing,"Jan 28, 2014 to Mar 10, 2014","None found, add some","None found, add some",DLE,Unknown,,3 min. per ep.,PG-13 - Teens 13 or older,0,Comedy,Parody,,
Chuuko Video-ya no Onna Tenin X,,5.28,14442,12181,785,ONA,1,Finished Airing,"Nov 21, 2016","None found, add some","None found, add some","None found, add some",Manga,Shounen,6 min.,PG-13 - Teens 13 or older,0,Comedy,Workplace,,
