Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Themes,Duration,Rating,Favorites,Genres,Demographics,Premiered,Broadcast
Yoshida no Time Slip Fumai-kou,,5.23,16701,12304,449,ONA,3,Finished Airing,"Apr 1, 2018 to Jun 1, 2018","None found, add some","None found, add some",DLE,Original,"Historical, Parody",3 min. per ep.,G - All Ages,0,,,,
Tentoumushi no Otomurai,Ladybirds' Requiem,5.23,14717,12303,717,Movie,1,Finished Airing,2006,"None found, add some","None found, add some","None found, add some",Original,Music,5 min.,G - All Ages,1,Avant Garde,,,
Adesugata Mahou no Sannin Musume,,5.23,11667,12305,1,OVA,1,Finished Airing,"Mar 28, 1986","None found, add some","None found, add some",Pierrot,Original,Mahou Shoujo,29 min.,PG-13 - Teens 13 or older,1,Comedy,,,
Angel (Special),,5.23,15299,12306,615,Special,1,Finished Airing,2001,"None found, add some","None found, add some",RG Animation Studios,Original,,6 min.,G - All Ages,3,Avant Garde,,,
Aoshima Megu,,5.23,14727,12307,714,ONA,1,Finished Airing,"Jul 12, 2017","None found, add some","None found, add some","None found, add some",Original,,45 sec.,G - All Ages,0,Adventure,,,
Dokidoki Gakuen Kessen!! Youki Daimashiro,,5.23,16360,12308,482,OVA,1,Finished Airing,"Sep 20, 1988",Animaruya,"None found, add some","None found, add some",Unknown,,10 min.,G - All Ages,0,"Action, Fantasy",,,
Hawk no Onayami Soudanshitsu Special,Hawk's Trouble Consultation Room Special,5.23,15373,12309,603,Special,1,Finished Airing,"Sep 25, 2020","None found, add some","None found, add some",Studio Deen,Manga,,30 sec.,PG-13 - Teens 13 or older,0,Comedy,,,
Hayashi-fusai,,5.23,18557,12310,310,Special,1,Finished Airing,"May 3, 2013","None found, add some","None found, add some","None found, add some",Original,Music,3 min.,G - All Ages,0,,,,
Home My Home,,5.23,16297,12311,489,Movie,1,Finished Airing,1970,"None found, add some","None found, add some","None found, add some",Original,Music,3 min.,G - All Ages,0,Award Winning,Kids,,
663114,,5.22,9130,12312,4,Movie,1,Finished Airing,Sep 2011,"None found, add some","None found, add some","None found, add some",Original,,7 min.,G - All Ages,3,"Award Winning, Fantasy",,,
Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken,Camelot,5.22,13382,12313,1,OVA,1,Finished Airing,"Aug 25, 1990","None found, add some","None found, add some",Ashi Productions,Unknown,,48 min.,PG-13 - Teens 13 or older,3,"Adventure, Comedy, Fantasy",,,
Aware! Meisaku-kun: Ito-Yokado no Randsell,,5.22,18278,12314,326,ONA,1,Finished Airing,"Jul 6, 2018","None found, add some","None found, add some","None found, add some",Original,"Parody, School",1 min.,G - All Ages,0,Comedy,Kids,,
Channel 5.5 4th Season Prologue,,5.22,15427,12315,595,ONA,1,Finished Airing,Nov 2014,"None found, add some","None found, add some",DLE,Unknown,,3 min.,PG-13 - Teens 13 or older,0,Comedy,,,
Crocotires Traction AAA,,5.22,15395,12316,601,Movie,1,Finished Airing,1999,"None found, add some","None found, add some",Polygon Pictures,Original,,5 min.,G - All Ages,0,Sports,,,
Entotsuya Peroo,,5.22,14712,12318,718,Movie,1,Finished Airing,"Apr 13, 1930","None found, add some","None found, add some","None found, add some",Original,,22 min.,G - All Ages,0,,Kids,,
Elysium,,5.22,12141,12317,1,Movie,1,Finished Airing,"Aug 15, 2003","Hanho Heung-Up,       Big Film Entertainment","None found, add some","Toei Animation,       OLM Digital",Unknown,Mecha,1 hr. 26 min.,PG-13 - Teens 13 or older,1,"Action, Sci-Fi",,,
Fin-tan,,5.22,16951,12319,427,ONA,3,Finished Airing,"Feb 27, 2017 to Sep 15, 2017","None found, add some","None found, add some",Kenji Studio,Other,,2 min. per ep.,G - All Ages,1,Comedy,,,
Hyakka Zukan,Japanese-English Pictionary,5.22,13591,12320,1,Movie,1,Finished Airing,1989,"None found, add some","None found, add some","Yamamura Animation, Inc.",Unknown,,12 min.,G - All Ages,0,Comedy,,,
Joker: Marginal City,,5.22,11137,12322,2,OVA,1,Finished Airing,"Apr 21, 1992",BEAM Entertainment,"None found, add some",Studio Sign,Manga,,36 min.,R - 17+ (violence & profanity),0,"Action, Romance, Sci-Fi",,,
JaJa Uma! Quartet,Wild Cardz,5.22,10745,12321,2,OVA,2,Finished Airing,"May 21, 1997 to Sep 26, 1997","None found, add some",Central Park Media,"Movic,       Studio OX",Manga,,30 min. per ep.,PG-13 - Teens 13 or older,4,"Adventure, Comedy, Fantasy",Shounen,,
Keitai Shoujo,,5.22,8161,12323,5,ONA,6,Finished Airing,"Mar 20, 2007 to Apr 17, 2007","Milky Cartoon,       G-mode","None found, add some",Studio Hibari,Visual novel,School,7 min. per ep.,PG-13 - Teens 13 or older,1,"Comedy, Drama, Romance",,,
"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou",,5.22,15568,12324,575,TV,5,Finished Airing,"Jul 4, 2015 to Aug 1, 2015","None found, add some","None found, add some",DLE,Radio,,3 min. per ep.,G - All Ages,1,Comedy,,Summer 2015,Saturdays at 01:53 (JST)
Kowabon,,5.22,3820,12325,34,TV,13,Finished Airing,"Oct 4, 2015 to Dec 27, 2015","None found, add some","None found, add some",ILCA,Original,,3 min. per ep.,PG-13 - Teens 13 or older,20,Horror,,Fall 2015,Sundays at 01:42 (JST)
Makai Tenshou,Ninja Resurrection,5.22,7170,12326,7,OVA,2,Finished Airing,"Feb 27, 1998 to Mar 27, 1998","None found, add some",ADV Films,Phoenix Entertainment,Novel,"Historical, Samurai",40 min. per ep.,R+ - Mild Nudity,8,"Action, Supernatural",,,
Neo Satomi Hakkenden: Satomi-chanchi no Hachi Danshi,,5.22,15013,12327,664,ONA,1,Finished Airing,"Dec 21, 2011","None found, add some","None found, add some","None found, add some",Light novel,,1 min.,PG-13 - Teens 13 or older,0,Comedy,,,
Otsuki-sama to Oujo,The Princess and the Moon,5.22,15376,12329,603,Movie,1,Finished Airing,Aug 1983,"Shin-Ei Animation,       Shinano Kikaku","None found, add some",Toei Animation,Unknown,,25 min.,G - All Ages,0,Fantasy,,,
Organic,,5.22,16428,12328,475,ONA,1,Finished Airing,"Oct 21, 2009","None found, add some","None found, add some","None found, add some",Original,,4 min.,PG - Children,0,Comedy,,,
Pacusi no Uta,,5.22,16198,12330,499,Special,1,Finished Airing,1994,"None found, add some","None found, add some","None found, add some",Original,,1 min.,G - All Ages,0,Comedy,,,
Space Travelers The Animation,Space Travelers,5.22,13868,12331,929,OVA,1,Finished Airing,"Jun 23, 2000","Fuji TV,       Robot Communications",Media Blasters,"None found, add some",Unknown,Space,59 min.,PG-13 - Teens 13 or older,0,Sci-Fi,,,
Tapuri Card x Kaijuu Sakaba Kanpai: Kanegon no Shuchou,,5.22,17062,12332,419,ONA,1,Finished Airing,"Feb 5, 2017","None found, add some","None found, add some",DLE,Other,,1 min.,G - All Ages,0,Comedy,,,
Tomoe ga Yuku!,,5.22,11668,12333,1,OVA,2,Finished Airing,"Oct 21, 1991 to Jan 21, 1992",Movic,"None found, add some",animate Film,Manga,,44 min. per ep.,R - 17+ (violence & profanity),2,"Action, Drama, Romance, Suspense",Shoujo,,
Yans! Gans! Meat or Die,,5.22,16207,12334,497,ONA,12,Finished Airing,"Oct 2, 2009 to 2010",TOHO,"None found, add some","None found, add some",Original,,1 min. per ep.,PG - Children,2,"Adventure, Comedy",,,
Yodel no Onna,,5.22,12314,12335,1,TV,6,Finished Airing,"Sep 22, 2017 to Aug 14, 2019","None found, add some","None found, add some",DLE,Original,Music,30 sec. per ep.,G - All Ages,4,Comedy,,Fall 2017,Unknown
Zashiki Warashi no Tatami-chan,The House Spirit Tatami-chan,5.22,8248,12336,5,ONA,12,Finished Airing,"Apr 10, 2020 to Jun 26, 2020","None found, add some","None found, add some",Zero-G,Original,,4 min. per ep.,PG-13 - Teens 13 or older,3,"Comedy, Horror, Supernatural",,,
Shin Yaranai ka,,5.21,10377,12337,2,OVA,1,Finished Airing,"Apr 1, 2024",Cyzo,"None found, add some",Anime Tokyo,Manga,Parody,31 min.,PG-13 - Teens 13 or older,6,"Boys Love, Comedy",,,
Super Real Mahjong: Mahjong Battle Scramble - Konran-teki Sento Mahjong,,5.21,13203,12338,1,OVA,1,Finished Airing,"Dec 21, 1990","Seta Corporation,       Datam Polystar","None found, add some","None found, add some",Game,Strategy Game,45 min.,R+ - Mild Nudity,1,"Comedy, Fantasy, Ecchi",,,
"The Tales of Rien Village #1: ""Toilet ni Ittokiya""",,5.21,15314,12339,612,ONA,1,Finished Airing,2005,The Village of Marchen,"None found, add some","None found, add some",Original,,3 min.,G - All Ages,0,Fantasy,,,
Wena Wrist,,5.21,15993,12340,522,Special,1,Finished Airing,"Jan 28, 2020","None found, add some","None found, add some","None found, add some",Original,"Military, Music",54 sec.,G - All Ages,1,,,,
Yoshida no Matsue Beauty Daisakusen Prologue,,5.21,16254,12341,494,ONA,1,Finished Airing,"Mar 16, 2017","None found, add some","None found, add some","None found, add some",Original,Parody,2 min.,G - All Ages,0,Comedy,,,
Daimajuu Gekitou: Hagane no Oni,,5.21,9564,12342,3,OVA,1,Finished Airing,"Dec 10, 1987","None found, add some","None found, add some",AIC,Original,Mecha,56 min.,PG-13 - Teens 13 or older,3,"Horror, Sci-Fi",,,
Dokushin Apartment Dokudami-sou,,5.21,11003,12343,2,OVA,3,Finished Airing,"Dec 1, 1989 to Apr 1, 1990",Nichiei Agency,"None found, add some","Takahashi Studio,       Suna Kouhou",Manga,,55 min. per ep.,R+ - Mild Nudity,9,"Comedy, Slice of Life, Ecchi",Seinen,,
Ga Kan,Deep in Reflection,5.21,18747,12344,297,Movie,1,Finished Airing,2012,"None found, add some","None found, add some","None found, add some",Original,,5 min.,PG-13 - Teens 13 or older,1,Avant Garde,,,
Go-hiki no Kozaru-tachi,,5.21,16895,12345,432,Movie,1,Finished Airing,1956,Dentsu,"None found, add some","None found, add some",Original,Mythology,16 min.,G - All Ages,1,,,,
Hachimitsu Suicide Machine,,5.21,13728,12346,972,ONA,1,Finished Airing,"Mar 26, 2021","None found, add some","None found, add some",Usagi Ou,Original,,10 min.,PG-13 - Teens 13 or older,2,Horror,,,
Himitsukessha Taka no Tsume x Glass no Kamen desu ga,,5.21,16105,12347,511,ONA,1,Finished Airing,"Mar 28, 2013","None found, add some","None found, add some",DLE,Other,Parody,2 min.,G - All Ages,0,Comedy,,,
Kitty-chan wo Sagase! Toyama-shi Stamp Rally,Toyama City Stamp Rally: The Search for Hello Kitty!,5.21,15480,12348,587,ONA,1,Finished Airing,"Jul 20, 2016","None found, add some","None found, add some",DLE,Other,,2 min.,G - All Ages,0,Comedy,,,
Kyoudai Koguma,The Bear Brothers,5.21,15943,12349,528,Movie,1,Finished Airing,1932,"None found, add some","None found, add some","None found, add some",Unknown,,11 min.,G - All Ages,0,Adventure,,,
Life of the Dead,,5.21,16167,12350,502,ONA,4,Finished Airing,"Jul 26, 2011 to Jan 1, 2012","None found, add some","None found, add some",Studio Binzo,Original,,17 min. per ep.,R - 17+ (violence & profanity),2,"Comedy, Horror",,,
MapleStory,,5.21,8634,12351,4,TV,25,Finished Airing,"Oct 7, 2007 to Mar 30, 2008","TV Tokyo,       Dentsu,       Nexon","None found, add some",Madhouse,Game,,25 min. per ep.,PG - Children,4,"Action, Adventure, Comedy, Fantasy",Kids,Fall 2007,Unknown
Milk House Dreaming: Ai no Shiki,,5.21,13902,12352,918,OVA,1,Finished Airing,"Nov 28, 1987",Shogakukan-Shueisha Productions,"None found, add some",Mook Animation,Manga,Music,43 min.,G - All Ages,1,,Shoujo,,
