Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Genres,Demographics
Anima,,5.15,10887,12453,2,Movie,1,Finished Airing,Feb 2005,"None found, add some","None found, add some","None found, add some",Original,Music,4 min.,R+ - Mild Nudity,0,,,,
Chou Zenmairobo: Patrasche,,5.15,15350,12456,607,TV,13,Finished Airing,"Dec 7, 2013 to Mar 15, 2014","None found, add some","None found, add some",Nippon Animation,Unknown,"Historical, Mecha, Parody",2 min. per ep.,G - All Ages,0,Winter 2014,Unknown,"Comedy, Sci-Fi",
Brave Fire S0.9,,5.15,14988,12454,668,Special,1,Finished Airing,"Apr 29, 1987",Tezuka Productions,"None found, add some","None found, add some",Unknown,Mecha,6 min.,None,1,,,Sci-Fi,
Chainsaw Maid,,5.15,6955,12455,8,ONA,1,Finished Airing,"Dec 8, 2007",Pony Canyon,"None found, add some","None found, add some",Original,,6 min.,R - 17+ (violence & profanity),13,,,"Comedy, Horror, Supernatural",
Doubutsu Tonarigumi,The Animal Neighborhood Community,5.15,15955,12457,527,Movie,1,Finished Airing,1941,"None found, add some","None found, add some","None found, add some",Original,Historical,10 min.,G - All Ages,0,,,Comedy,Kids
Evil or Live Recap,,5.15,8948,12458,4,TV Special,1,Finished Airing,"Dec 13, 2017","None found, add some","None found, add some",Haoliners Animation League,Web manga,"Gore, Psychological, School, Survival",23 min.,R - 17+ (violence & profanity),3,,,Suspense,
Execute,,5.15,19668,12459,245,Special,1,Finished Airing,2019,"CEKAI,       MTV Japan","None found, add some","None found, add some",Original,Music,10 sec.,G - All Ages,0,,,Avant Garde,
Graphillion: Kazoeage Oneesan wo Sukue,Don't Count Naively,5.15,17829,12461,361,ONA,1,Finished Airing,"Jun 17, 2013","None found, add some","None found, add some","None found, add some",Original,,5 min.,G - All Ages,0,,,,Kids
Ficfyon7,,5.15,19178,12460,272,Movie,1,Finished Airing,2004,CaRTe bLaNChe,"None found, add some","None found, add some",Original,Psychological,3 min.,G - All Ages,1,,,Avant Garde,
Hakyuu Houshin Engi Recap,Hakyu Hoshin Engi Recap,5.15,12682,12462,1,TV Special,1,Finished Airing,"Apr 27, 2018","None found, add some","None found, add some",C-Station,Manga,Mythology,23 min.,PG-13 - Teens 13 or older,0,,,"Action, Adventure, Fantasy",Shounen
