Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Bulsajo Robot Phoenix King,Defenders of Space,4.51,15201,13118,629,Movie,1,Finished Airing,1984,Daekwang Planning,"None found, add some","None found, add some",Unknown,"Action, Sci-Fi","Mecha, Space",1 hr. 6 min.,PG - Children,2,,,
Great Rabbit,The Great Rabbit,4.51,12960,13119,1,Movie,1,Finished Airing,2012,"None found, add some","None found, add some","None found, add some",Original,Award Winning,Psychological,7 min.,G - All Ages,1,,,
Head Spoon,,4.51,15550,13120,578,Movie,1,Finished Airing,1972,"None found, add some","None found, add some",Takun Manga Box,Original,Avant Garde,,5 min.,R+ - Mild Nudity,0,,,
Ramen Tenshi Pretty Menma,Genshiken 2: Menma Special,4.51,8689,13117,4,Special,1,Finished Airing,"Jan 25, 2008","None found, add some",Media Blasters,Arms,Manga,Comedy,Parody,20 min.,PG-13 - Teens 13 or older,3,,,
Wheels,,4.51,14430,13121,788,Special,1,Finished Airing,2000,"None found, add some","None found, add some","None found, add some",Original,Comedy,,3 min.,G - All Ages,0,,,
Ushi Atama,Oxed-Man,4.50,15741,13122,551,Movie,1,Finished Airing,1968,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,3 min.,G - All Ages,0,,,
"Yume kara, Samenai",,4.50,11005,13123,2,OVA,1,Finished Airing,"Feb 26, 1987","None found, add some","None found, add some",Shaft,Manga,Romance,School,37 min.,PG-13 - Teens 13 or older,0,,,
Zawazawa,,4.50,14080,13124,875,Movie,1,Finished Airing,2013,"None found, add some","None found, add some","None found, add some",Original,,,1 min.,PG-13 - Teens 13 or older,1,,,
Chou Futsuu Toshi Kashiwa Densetsu R,,4.50,8435,13125,5,TV,10,Finished Airing,"Jul 6, 2020 to Sep 28, 2020","None found, add some","None found, add some",Super Normal Studio,Other,"Comedy, Fantasy",,5 min. per ep.,None,4,Summer 2020,Mondays at 21:55 (JST),
Cipher,,4.50,5900,13126,12,OVA,1,Finished Airing,"Mar 3, 1989",Victor Entertainment,"None found, add some",Magic Bus,Manga,"Avant Garde, Drama","Music, Showbiz",26 min.,PG-13 - Teens 13 or older,76,,,Shoujo
KochinPa! Dainiki,,4.49,12123,13127,1,TV,24,Finished Airing,"Dec 6, 2016 to May 16, 2017","None found, add some","None found, add some","None found, add some",Other,Comedy,,15 sec. per ep.,G - All Ages,1,Winter 2017,Unknown,
"Shiro no Kanga""roo"" no Uta","White kanga""roo""'s song",4.48,17614,13128,378,ONA,1,Finished Airing,"Sep 1, 2019","None found, add some","None found, add some","None found, add some",Original,,Music,48 sec.,G - All Ages,0,,,Kids
A Log Day of Timbre,,4.48,13782,13129,956,ONA,1,Finished Airing,"Feb 25, 2011","None found, add some","None found, add some","None found, add some",Original,Avant Garde,,2 min.,G - All Ages,0,,,
B.B. Fish,,4.48,9905,13130,3,OVA,1,Finished Airing,"Feb 25, 1994",Shueisha,"None found, add some",Production I.G,Manga,"Drama, Romance",,29 min.,R+ - Mild Nudity,3,,,Seinen
Mac the Movie,,4.47,15730,13132,552,Movie,1,Finished Airing,1985,"None found, add some","None found, add some",Takun Manga Box,Original,Avant Garde,,3 min.,G - All Ages,0,,,
Katsugeki Shoujo Tanteidan,,4.48,10048,13131,3,OVA,1,Finished Airing,"Nov 25, 1986",Japan Home Video,"None found, add some",TMS Entertainment,Original,"Action, Comedy",School,26 min.,PG-13 - Teens 13 or older,1,,,
Shinsatsushitsu,Consultation Room,4.47,11446,13133,1,Movie,1,Finished Airing,2005,"None found, add some","None found, add some","None found, add some",Original,"Avant Garde, Horror",,8 min.,PG-13 - Teens 13 or older,2,,,
2005-nen Uchuu no Tabi,,4.47,10486,13134,2,Special,1,Finished Airing,"Dec 31, 2005","None found, add some","None found, add some","None found, add some",Original,"Avant Garde, Sci-Fi",Space,1 min.,G - All Ages,1,,,
Blue Remains,,4.46,12527,13137,1,Movie,1,Finished Airing,"Aug 22, 2001","GAGA,       Arts Magic","None found, add some","None found, add some",Original,"Adventure, Sci-Fi",,1 hr. 17 min.,PG-13 - Teens 13 or older,1,,,
12-gatsu no Uta,December Song,4.46,13528,13136,1,Movie,1,Finished Airing,1971,"None found, add some","None found, add some","None found, add some",Other,,Music,1 min.,G - All Ages,1,,,Kids
Haruwo,,4.47,12598,13135,1,OVA,1,Finished Airing,"May 5, 2005",CoMix Wave Films,"None found, add some","None found, add some",Original,Action,,30 min.,PG-13 - Teens 13 or older,2,,,
Makura no Danshi,,4.46,3434,13138,42,TV,12,Finished Airing,"Jul 14, 2015 to Sep 29, 2015",Earth Star Entertainment,"None found, add some","feel.,       Assez Finaud Fabric",Original,Slice of Life,,4 min. per ep.,PG-13 - Teens 13 or older,59,Summer 2015,Tuesdays at 01:16 (JST),
Propagate,,4.45,14499,13139,773,Movie,1,Finished Airing,1935,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,4 min.,G - All Ages,0,,,
Rhythm,,4.45,15005,13140,665,Movie,1,Finished Airing,1935,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,2 min.,G - All Ages,0,,,
Ameya Tanuki,The Candy Man's Raccoon Dog Dance,4.45,15371,13141,604,Movie,1,Finished Airing,1931,"None found, add some","None found, add some","None found, add some",Original,Comedy,,4 min.,G - All Ages,0,,,
Buggy Map,,4.45,17020,13142,421,Special,2,Finished Airing,"Dec 9, 2014 to Apr 1, 2015","None found, add some","None found, add some","None found, add some",Original,Avant Garde,,1 min. per ep.,G - All Ages,0,,,
Urda,,4.44,9073,13143,4,ONA,5,Finished Airing,"Jan 5, 2002 to Jan 5, 2003","None found, add some",Media Blasters,Romanov Films,Original,"Action, Sci-Fi","Historical, Military",6 min. per ep.,PG-13 - Teens 13 or older,3,,,
Usagi ga Kowai,U-SA-GUI,4.43,11258,13144,2,Movie,1,Finished Airing,2002,"None found, add some","None found, add some","None found, add some",Original,"Avant Garde, Horror, Suspense","High Stakes Game, Strategy Game",12 min.,R - 17+ (violence & profanity),1,,,
Yokoo's 3 Animation Films,,4.43,12764,13145,1,Movie,3,Finished Airing,1964 to 1965,"None found, add some","None found, add some","None found, add some",Original,"Avant Garde, Romance",,5 min. per ep.,PG-13 - Teens 13 or older,3,,,
Play Jazz,,4.43,15901,13147,534,Movie,1,Finished Airing,1987,"None found, add some","None found, add some",Takun Manga Box,Original,Avant Garde,,5 min.,G - All Ages,0,,,
Kaitei no Boukun,The Underwater Tyrant,4.43,13173,13146,1,Movie,1,Finished Airing,1935,"None found, add some","None found, add some","None found, add some",Original,Adventure,,1 min.,G - All Ages,1,,,
