Name,Anime_url,Positive_ratio,Total_reviews
Maps,https://myanimelist.net/anime/1620/Maps,0.0,0
Kotatsu Neko,https://myanimelist.net/anime/5842/Kotatsu_Neko,64.96212365307774,1
Ninja & Soldier,https://myanimelist.net/anime/28991/Ninja___Soldier,0.0,0
Onigakure Yama no Soba no Hana,https://myanimelist.net/anime/29795/Onigakure_Yama_no_Soba_no_Hana,0.0,0
Oval x Over,https://myanimelist.net/anime/4103/Oval_x_Over,65.80166475242233,1
Pecola,https://myanimelist.net/anime/12359/Pecola,0.0,0
Peeping Life: Tezuka Pro - Tatsunoko Pro Wonderland,https://myanimelist.net/anime/22631/Peeping_Life__Tezuka_Pro_-_Tatsunoko_Pro_Wonderland,0.0,0
SD Gundam World Heroes,https://myanimelist.net/anime/44041/SD_Gundam_World_Heroes,0.0,0
Shiguang Dailiren x Laneige: Cheng Xiaoshi Po Fang Weiji,https://myanimelist.net/anime/51825/Shiguang_Dailiren_x_Laneige__Cheng_Xiaoshi_Po_Fang_Weiji,0.0,0
Sekai de Ichiban Tsuyoku Naritai!,https://myanimelist.net/anime/11763/Sekai_de_Ichiban_Tsuyoku_Naritai,39.49034242254493,19
Shuumatsu no Walküre Mini Countdown Anime,https://myanimelist.net/anime/55975/Shuumatsu_no_Walküre_Mini_Countdown_Anime,0.0,0
"Tantei wa Mou, Shindeiru. Mini Anime",https://myanimelist.net/anime/49510/Tantei_wa_Mou_Shindeiru_Mini_Anime,0.0,0
Time Bokan Series: Itadakiman,https://myanimelist.net/anime/5344/Time_Bokan_Series__Itadakiman,0.0,0
Teekyuu 6 Specials,https://myanimelist.net/anime/32816/Teekyuu_6_Specials,8.638308539296924,1
Xi Yangyang Yu Hui Tailang: Fei Ma Qi Yu Ji,https://myanimelist.net/anime/37391/Xi_Yangyang_Yu_Hui_Tailang__Fei_Ma_Qi_Yu_Ji,0.0,0
Yamato 2520,https://myanimelist.net/anime/6718/Yamato_2520,31.68824390683877,2
Yodomi no Sawagi,https://myanimelist.net/anime/33777/Yodomi_no_Sawagi,50.01219772905807,2
Soul Buster,https://myanimelist.net/anime/33775/Soul_Buster,32.122346401169615,4
Yasuke,https://myanimelist.net/anime/43697/Yasuke,39.26213263220512,102
Stratos 4 OVA: Stratos 4.1 - Dutch Roll,https://myanimelist.net/anime/27677/Stratos_4_OVA__Stratos_41_-_Dutch_Roll,0.0,0
Synduality: Kagaku Kouza,https://myanimelist.net/anime/55939/Synduality__Kagaku_Kouza,0.0,0
Sword Gai The Animation Part II,https://myanimelist.net/anime/37655/Sword_Gai_The_Animation_Part_II,29.07585534896193,9
Tono to Issho 1.5,https://myanimelist.net/anime/9794/Tono_to_Issho_15,0.0,0
Tobira wo Akete,https://myanimelist.net/anime/3192/Tobira_wo_Akete,57.30265204249263,2
Wacha Wacha the Movie,https://myanimelist.net/anime/53779/Wacha_Wacha_the_Movie,0.0,0
Usakame,https://myanimelist.net/anime/32454/Usakame,63.066569273574224,3
World Fool News (TV) Part II,https://myanimelist.net/anime/35332/World_Fool_News_TV_Part_II,0.0,0
