Name,positive_ratio,total_reviews
Starmyu in Halloween,0.0,1
Tantei Opera Milky Holmes: Summer Special,0.0,0
Shin Hokuto no Ken,0.2,10
Thermae Romae,0.7,10
Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo,0.0,1
Urusei Yatsura Movie 3: Remember My Love,0.6666666666666666,3
VS Knight Lamune & 40 Fire,1.0,1
Tsukuyomi: Moon Phase,0.5909090909090909,22
World Destruction: Sekai Bokumetsu no Rokunin,0.46153846153846156,13
Wu Geng Ji 4th Season,1.0,1
Xi Xing Ji: Jijie Pian,1.0,1
Xi You Ji,1.0,4
You Shou Yan,0.0,0
Shinpi no Sekai El-Hazard (TV),0.3333333333333333,3
"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",0.47368421052631576,76
Strike the Blood: Kieta Seisou-hen,0.0,1
T.P BON,0.6666666666666666,3
Taiyou no Yuusha Fighbird,0.0,0
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",0.6306306306306306,111
The iDOLM@STER Million Live!,1.0,2
Tiger Mask W,0.2,5
UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,1.0,2
UFO Princess Valkyrie 3: Seiresetsu no Hanayome,0.0,0
Wan Jie Shen Zhu 2nd Season,1.0,1
Under Ninja,0.5714285714285714,35
Xi Xing Ji: Chongsheng Pian,0.0,0
Ze Tian Ji 3rd Season,0.0,0
Yu☆Gi☆Oh! 5D's: Shinkasuru Kettou! Stardust vs. Red Demon's,0.5,72
Shoujo☆Kageki Revue Starlight Specials,0.0,0
"Shikabane Hime: Kuro – Soredemo, Hito to Shite",0.5,94
Animation Seisaku Shinkou Kuromi-chan 2,0.0,1
Belle to Kaijuu Ouji,0.0,0
Code Geass: Hangyaku no Lelouch Picture Drama,1.0,3
Can Ci Pin: Fangzhu Xingkong,0.6666666666666666,3
Dai Mahou Touge,0.6153846153846154,13
Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,0.49122807017543857,57
Fantastic Children: Befort no Kodomo-tachi no Sonogo,0.0,0
Deadman Wonderland: Akai Knife Tsukai,0.2222222222222222,9
Days OVA,0.0,1
Galaxy Angel Music Collection: Shouen to Shien no Cassoulet,0.0,0
gdgd Fairies 2,0.0,0
Fractale,0.5319148936170213,47
Gegege no Kitarou (2007),0.0,0
Hajimete no Eigo: Nippon Mukashibanashi,0.0,0
Guilty Crown: 4-koma Gekijou,1.0,1
Lengxue Kuang Yan,0.0,0
Makiba no Shoujo Katri,0.6666666666666666,3
Nanbaka: Shusseki Bangou no Tsuita Baka-tachi!,0.0,2
Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panic Dattebayo!,0.47368421052631576,19
One Piece 3D: Mugiwara Chase,0.5,6
Nekopara OVA,0.5357142857142857,28
Otogi Juushi Akazukin,0.5,2
Oroka na Tenshi wa Akuma to Odoru,0.5483870967741935,31
Kyokou Suiri,0.4583333333333333,120
Overman King Gainer,0.5,4
Persona 5 the Animation Specials,0.5,2
Pita Ten,0.6,5
Precure Super Stars! Movie,1.0,1
Project ARMS,0.6666666666666666,3
Healin' Good♡Precure,0.7,1110
Shiguang Zhaoxiangguan de Richang,0.0,1
Lupin III: Lupin Ansatsu Shirei,0.6,5
Kinnikuman II Sei,0.0,4
Lost Song,0.631578947368421,19
Koroshi Ai,0.4827586206896552,29
Macademi Wasshoi!,0.5714285714285714,7
Lupin III: Seven Days Rhapsody,0.6666666666666666,3
Mashin Eiyuuden Wataru,1.0,2
Mask Danshi wa Koishitakunai noni,0.0,2
Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,0.3333333333333333,3
Keijo!!!!!!!!,0.59375,128
Oda Nobuna no Yabou Recap,0.0,0
Namiuchigiwa no Muromi-san,0.5,14
Night Walker: Mayonaka no Tantei,0.625,8
Pig: Oka no Ue no Dam Keeper,1.0,1
Otogizoushi,0.75,8
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,0.3787878787878788,66
Pokemon Sun & Moon,0.5135135135135135,37
Rocket Girls,0.8,5
Rockman.EXE,0.5,4
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,0.46236559139784944,93
Sekai Meisaku Douwa: Hakuchou no Mizuumi,0.3333333333333333,3
Servamp Specials,0.0,0
Shinmai Maou no Testament Departures,0.25,8
Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou,0.42857142857142855,7
Sola Specials,0.0,2
Suki demo Kirai na Amanojaku,0.6875,16
Sword Art Online: Alicization - War of Underworld Recap,0.0,1
Tantei Opera Milky Holmes,0.5384615384615384,13
Onegai My Melody Sukkiri♪,0.0,0
Urayasu Tekkin Kazoku,1.0,1
Tezuka Osamu no Buddha: Owarinaki Tabi,0.0,0
Wo Jia Da Shixiong You Dian Kaopu,1.0,1
UQ Holder! Mahou Sensei Negima! 2,0.4230769230769231,26
Uchi no Kaisha no Chiisai Senpai no Hanashi,0.5,26
Zero no Tsukaima: Princesses no Rondo Picture Drama,0.0,3
Zhengjing Shao Zhu de Xingfu Shenghuo,0.0,0
"Zone of the Enders: Dolores, I",0.5,4
3x3 Eyes: Seima Densetsu,0.5,6
86 Special Edition: Senya ni Akaku Hinageshi no Saku,0.6666666666666666,6
Blade Runner: Black Out 2022,0.5555555555555556,9
Chimimo,1.0,3
Chuunibyou demo Koi ga Shitai! Movie: Take On Me Mini-Drama - Koukai Chokuzen no... Kaiko Gekijou,1.0,1
Doraemon: Kaette Kita Doraemon (Movie),0.0,0
Dubu Wangu,0.0,0
Gate Keepers,1.0,3
Aldnoah.Zero Part 2,0.2857142857142857,84
Gokujou Seitokai,0.625,8
Gravitation,0.6458333333333334,48
Hoshi no Kirby,0.5882352941176471,17
Iron Kid,0.8,5
"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",0.5714285714285714,7
16bit Sensation: Another Layer,0.5882352941176471,34
Ace wo Nerae! (1979),0.75,4
Ai Yori Aoshi: Enishi - Miyuki,0.75,4
Animation Seisaku Shinkou Kuromi-chan,0.75,4
Aoki Ryuusei SPT Layzner,0.6,5
Brotherhood: Final Fantasy XV,0.6153846153846154,13
Choujigen Game Neptune The Animation,0.375,40
Vanitas no Karte: En Route Pour le Gévaudan,0.5,216
Grisaia: Phantom Trigger The Animation - Stargazer,0.3333333333333333,3
Grisaia no Kajitsu Specials,0.5,4
Free! Take Your Marks: Character Butai Aisatsu,0.0,1
Grisaia: Phantom Trigger The Animation,0.4166666666666667,12
Endro~!,0.625,16
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,0.46153846153846156,13
Heat Guy J: Toriko - Angel,0.0,0
Hellsing: Psalm of the Darkness,0.16666666666666666,6
"Iriya no Sora, UFO no Natsu",0.6,10
Kyousou Giga,1.0,3
Magic Tree House,0.375,8
Kurogane no Linebarrels,0.5333333333333333,15
Mahou no Princess Minky Momo,1.0,2
Mazinger Z Movie: Infinity,0.0,1
Metal Fight Beyblade,0.7142857142857143,7
Osomatsu-san: Tamashii no Takoyaki Party to Densetsu no Otomarikai,0.5,2
Pokemon Movie 04: Celebi Toki wo Koeta Deai,0.7,10
"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",0.32558139534883723,43
Quanzhi Gaoshou 3,0.0,0
ReLIFE: Kanketsu-hen Specials,1.0,2
"Ququ Bucai, Zaixia Yeguai",0.7777777777777778,9
Prince of Stride: Alternative,0.5576923076923077,52
Seihou Bukyou Outlaw Star Pilot,0.0,0
Punch Line,0.559322033898305,59
Senki Zesshou Symphogear XV: Senki Zesshou Shinai Symphogear,0.0,1
Shi Yi Chang An: Mingyue Jishi You,0.75,4
Shaman King (2021),0.4,35
Ta Bu Dang Nuzhu Hen Duo Nian,0.0,1
Shinkon Gattai Godannar!! 2nd Season,0.5,4
Toaru Majutsu no Index-tan,0.6666666666666666,3
Wo Shi Da Shenxian 2nd Season,0.0,0
Wakaba*Girl: Onsen Tsukaritai,1.0,2
Wuxian Shijie,1.0,1
Tsukiuta. The Animation,0.625,8
Wan Jie Shen Zhu,0.6666666666666666,3
Vexille: 2077 Nihon Sakoku,0.6470588235294118,17
Yingxiong Zai Lin,0.4166666666666667,12
Youjo Senki Movie: Manner Eizou,0.5,2
Shinigami no Ballad.,0.5,18
